candidate_id,source_family,topology,variant,source_path,source_sha256
CAND_3749715170080E8E,ideal,7_2,canonical,C:\workspace\projects\SST-Workbench\SST_Fourier_vs_Ideal_Blind_Falsifier\SST_Fourier_vs_Ideal_Blind_Falsifier_v0.1.1\ideal_knots_data.js,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3
CAND_876DEFA9C0016C79,fseries,7_2,canonical,C:\workspace\projects\SST-Workbench\KnotPlot\Knots_FourierSeries\7_2\knot.7_2.fseries,6b43345f0304194b1f7e4abc672cdead4c9208e64d73f203382fa016f5f4d06f
CAND_6B41DAEC85796FF8,ideal,7_4,canonical,C:\workspace\projects\SST-Workbench\SST_Fourier_vs_Ideal_Blind_Falsifier\SST_Fourier_vs_Ideal_Blind_Falsifier_v0.1.1\ideal_knots_data.js,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3
CAND_459B8D07E161024E,fseries,7_4,canonical,C:\workspace\projects\SST-Workbench\KnotPlot\Knots_FourierSeries\7_4\knot.7_4.fseries,bfdfbacdf2011fd41abd90393d04421b9728c906941508165ee6ce3693b675d0
CAND_7727435FF99284A8,ideal,8_1,canonical,C:\workspace\projects\SST-Workbench\SST_Fourier_vs_Ideal_Blind_Falsifier\SST_Fourier_vs_Ideal_Blind_Falsifier_v0.1.1\ideal_knots_data.js,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3
CAND_89F55742FC41BA0B,fseries,8_1,canonical,C:\workspace\projects\SST-Workbench\KnotPlot\Knots_FourierSeries\8_1\knot.8_1.fseries,f3728d1157e836130bde8c8f67a147ccf720428e9130be0e49d276777ffa09a4
CAND_6835C39D1CA72DEA,ideal,8_17,canonical,C:\workspace\projects\SST-Workbench\SST_Fourier_vs_Ideal_Blind_Falsifier\SST_Fourier_vs_Ideal_Blind_Falsifier_v0.1.1\ideal_knots_data.js,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3
CAND_0673AF70FB9A87D6,fseries,8_17,canonical,C:\workspace\projects\SST-Workbench\KnotPlot\Knots_FourierSeries\8_17\knot.8_17.fseries,b685e784137498050897ff33e3dd6056e194367534f411a282bc267e35793f04
CAND_E2BBD9FDECC1583A,ideal,8_3,canonical,C:\workspace\projects\SST-Workbench\SST_Fourier_vs_Ideal_Blind_Falsifier\SST_Fourier_vs_Ideal_Blind_Falsifier_v0.1.1\ideal_knots_data.js,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3
CAND_A2534BB7D0203515,fseries,8_3,canonical,C:\workspace\projects\SST-Workbench\KnotPlot\Knots_FourierSeries\8_3\knot.8_3.fseries,c764fd76af4796e150803f2dd742f08959ffd43a81b9edfbbc630f2842f0b807
CAND_B7D9774987F8F8D9,ideal,9_2,canonical,C:\workspace\projects\SST-Workbench\SST_Fourier_vs_Ideal_Blind_Falsifier\SST_Fourier_vs_Ideal_Blind_Falsifier_v0.1.1\ideal_knots_data.js,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3
CAND_0AF113E03671A6E2,fseries,9_2,canonical,C:\workspace\projects\SST-Workbench\KnotPlot\Knots_FourierSeries\9_2\knot.9_2.fseries,1fe43f0103ced88682b8497432c3d69136aeb3191e783b875a739902842def28
