direction,beta,beta2,axis_projection_sq,energy_J,delta_E_over_E0,shape_rel_error
x,0.0,0.0,0.0,2.794038221961648e-37,0.0,0.0
y,0.0,0.0,0.0,2.794038221961648e-37,0.0,0.0
z,0.0,0.0,0.0,2.794038221961648e-37,0.0,0.0
diag,0.0,0.0,0.0,2.794038221961648e-37,0.0,0.0
x,0.0005,2.5e-07,0.0,2.794038221961648e-37,0.0,0.0
y,0.0005,2.5e-07,0.0,2.794038221961648e-37,0.0,3.7567099664470623e-16
z,0.0005,2.5e-07,2.5e-07,2.794038221961648e-37,0.0,0.0
diag,0.0005,2.5e-07,8.333333333333335e-08,2.794038221961648e-37,0.0,2.800086285575529e-16
x,0.001,1e-06,0.0,2.794038221961648e-37,0.0,3.5418601229677407e-16
y,0.001,1e-06,0.0,2.794038221961648e-37,0.0,3.6508658495397875e-16
z,0.001,1e-06,1e-06,2.794038221961648e-37,0.0,5.386073510886403e-16
diag,0.001,1e-06,3.333333333333334e-07,2.794038221961648e-37,0.0,3.8596525870432313e-16
x,0.002,4e-06,0.0,2.794038221961648e-37,0.0,3.5418601229677407e-16
y,0.002,4e-06,0.0,2.794038221961648e-37,0.0,3.6508658495397875e-16
z,0.002,4e-06,4e-06,2.794038221961648e-37,0.0,2.800086285575529e-16
diag,0.002,4e-06,1.3333333333333336e-06,2.794038221961648e-37,0.0,3.3131067730055765e-16
x,0.00364867628,1.331283859623464e-05,0.0,2.794038221961648e-37,0.0,3.5418601229677407e-16
y,0.00364867628,1.331283859623464e-05,0.0,2.794038221961648e-37,0.0,3.6508658495397875e-16
z,0.00364867628,1.331283859623464e-05,1.331283859623464e-05,2.794038221961648e-37,0.0,5.386073510886403e-16
diag,0.00364867628,1.331283859623464e-05,4.437612865411548e-06,2.794038221961648e-37,0.0,2.5044733109647085e-16
