pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_ABF0D45BE146,TORUS_T2_3,torus,CAND_33BBA633A481B3AE,CAND_F83DA1002B79D0C2,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_6EC1C26F1C59,TORUS_T2_3,torus,CAND_33BBA633A481B3AE,CAND_2D67DD6E10311311,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_1C2BF861A2A8,TORUS_T2_3,torus,CAND_33BBA633A481B3AE,CAND_D98FB1343DA582A5,0.5,0.5,total_beta,1.0,3,1.0
PAIR_FA06C3481CAE,TORUS_T2_3,torus,CAND_33BBA633A481B3AE,CAND_11FC1BA1FC3CA14B,1.0,1.0,total_beta,1.0,3,1.0
PAIR_FA20B4EBBCA1,TORUS_T2_5,torus,CAND_C83BE9EBDC8E9E4B,CAND_5488BCA15B9F18F9,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_076473CEB280,TORUS_T2_5,torus,CAND_C83BE9EBDC8E9E4B,CAND_B8BA9398C7A5D4E5,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_563123CA0648,TORUS_T2_5,torus,CAND_C83BE9EBDC8E9E4B,CAND_D74C6EF8D8B1C6F8,0.5,0.5,total_beta,1.0,3,1.0
PAIR_7E86A8F7B030,TORUS_T2_5,torus,CAND_C83BE9EBDC8E9E4B,CAND_F7EBFC7F05D84E08,1.0,1.0,total_beta,1.0,3,1.0
PAIR_9C998361A829,TORUS_T2_7,torus,CAND_C73A901E85ED6D0F,CAND_AFAC91B4F4AC7E7C,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_53DA0F51DB90,TORUS_T2_7,torus,CAND_C73A901E85ED6D0F,CAND_AF7019FD5A01C7BA,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_8EC92B1D729E,TORUS_T2_7,torus,CAND_C73A901E85ED6D0F,CAND_E0C1002242D618DA,0.5,0.5,total_beta,1.0,3,1.0
PAIR_EC698513D363,TORUS_T2_7,torus,CAND_C73A901E85ED6D0F,CAND_03276082903F45D9,1.0,1.0,total_beta,1.0,3,1.0
PAIR_812020B0A1DF,TORUS_T2_9,torus,CAND_49A2B0B18B4838B7,CAND_33CFF2C5DF055702,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_C1ABE6996985,TORUS_T2_9,torus,CAND_49A2B0B18B4838B7,CAND_1DC95C90DC5F5818,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_660D44ED9C1F,TORUS_T2_9,torus,CAND_49A2B0B18B4838B7,CAND_3FD54BB6812A7234,0.5,0.5,total_beta,1.0,3,1.0
