lambda_,chi_K,chi_cav,chi_E_hollow,residual_kinetic_to_2pi,residual_total_to_2pi,circulation,circulation_error,neumann_boundary_error,divergence_error,curl_error,farfield_decay_error,mesh_cells,dof,solver_residual,energy_refinement_error,solver_kind,analytic_total_horn_falsifies_2pi,gate_circulation_pass,gate_neumann_pass,gate_harmonic_pass,gate_farfield_pass,gate_kinetic_2pi_pass,gate_total_2pi_pass
1.05,4.045659421870748,10.363084621143827,14.408744043014575,-0.35611330494297094,1.2932228381916708,-6.234964704122761,0.007674547335365989,0.5335490675898378,6.470041181435047e-05,0.0007822125620952653,0.061442727697513175,10648,10648,0.0,nan,pybind11_regularized_ring,True,True,False,True,True,False,False
1.1,4.371915548349195,10.856564841198294,15.228480389547489,-0.3041880296999115,1.4236879297744747,-6.237515648296769,0.007268551960521008,0.5146028373759642,6.900889193360914e-05,0.0009364074133348716,0.061036749397678516,10648,10648,0.0,nan,pybind11_regularized_ring,True,True,False,True,True,False,False
1.2,5.104900634196596,11.84352528130723,16.948425915503826,-0.18752983007466026,1.6974257620792157,-6.241055580248466,0.006705154292199422,0.48251741904189965,7.442665771894479e-05,0.001052561006247188,0.060273941540529154,10648,10648,0.0,nan,pybind11_regularized_ring,True,True,False,True,True,False,False
1.5,14.912515127460857,14.804406601634037,29.716921729094892,1.373400496468061,3.729594986660406,-6.246071310196564,0.005906876077745649,0.41444081617944933,6.700679002927003e-05,0.002059351636585202,0.05894132531958754,10648,10648,0.0,nan,pybind11_regularized_ring,True,True,False,True,True,False,False
2.0,28.80479485464297,19.739208802178716,48.54400365682169,3.584425485864422,6.726018139454215,-6.248833600362915,0.00546724394351672,0.3453217141153346,0.00010604744930025208,0.002368470800399999,0.0655501296366839,10648,10648,0.0,nan,pybind11_regularized_ring,True,True,False,True,True,False,False
