geometry,N,fd_rel,circulation_rel,energy_rel,spectral_time_reversal_rel,spectral_parity_rel,ok
ring,24,6.995905499524056e-11,0.0,0.0,2.237417023621256e-16,2.237417023621256e-16,True
ring,32,1.0840409269043951e-10,0.0,0.0,9.143935676316677e-17,9.143935676316677e-17,True
trefoil,24,1.0633186497853679e-10,0.0,0.0,0.0,0.0,True
trefoil,32,1.0317812458020714e-10,0.0,0.0,0.0,0.0,True
