candidate_id,geometry_sha256,n_points,stratum_token,constructor,real_id,source_family,source_path,topology_hint,constructor_parameters_json
QG-171A086D0C3BAA7A,3f09d5988ae9979bc0a6067c64411e2657853cb0fd6698f063c26e3af075db3d,512,S-1034B2DDED,track_trefoil,shader_builtin_0000,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 1.8, ""p"": 2, ""q"": 3, ""z_weave"": 2.4}"
QG-50A0BEF5E1549236,fa3f2964a7fb08a2dee17fbea9b7b0f23f175194deaccd07ccbc34afb2e5fbd6,512,S-1034B2DDED,track_trefoil,shader_builtin_0001,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 1.8, ""p"": 2, ""q"": 3, ""z_weave"": 2.7}"
QG-EE46785835C3E3D4,947726609a5edcf38e04dbb2339248f9fca77bd14123ae24b86064511d9a1219,512,S-1034B2DDED,track_trefoil,shader_builtin_0002,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 1.8, ""p"": 2, ""q"": 3, ""z_weave"": 3.0}"
QG-68ED0D927B526220,d63f89d248bdae9f9d85844e4cd8575f94bb811b2478f0b6ee745bf98484c870,512,S-1034B2DDED,track_trefoil,shader_builtin_0003,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 1.8, ""p"": 2, ""q"": 3, ""z_weave"": 3.3}"
QG-8AA515848900CB02,e1cab5733adf8d1c4543cbd7b5c380f0fc0c4921e1856c6907387953ddafec72,512,S-1034B2DDED,track_trefoil,shader_builtin_0004,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.0, ""p"": 2, ""q"": 3, ""z_weave"": 2.4}"
QG-51C22B89651B565F,523d6f99aaadfadc0198c1ebae9e5745f9afab741f6520f0a33fbab4d2efca66,512,S-1034B2DDED,track_trefoil,shader_builtin_0005,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.0, ""p"": 2, ""q"": 3, ""z_weave"": 2.7}"
QG-B89A2F5F0F137E03,419ec26eb7d574054a0d2820c6439fd03a9974e545db6a32699026639df4e634,512,S-1034B2DDED,track_trefoil,shader_builtin_0006,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.0, ""p"": 2, ""q"": 3, ""z_weave"": 3.0}"
QG-FEF63C483EE7B53B,eb97a889f0d7de82036de3af7e4b8eca61d6e475694c7140e1797f5dad7d921a,512,S-1034B2DDED,track_trefoil,shader_builtin_0007,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.0, ""p"": 2, ""q"": 3, ""z_weave"": 3.3}"
QG-79812CB351B6593B,9132f1b81fcab80a01cda94d4f4e204f709a93a96feb59b38f5aba65f02307cd,512,S-1034B2DDED,track_trefoil,shader_builtin_0008,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.2, ""p"": 2, ""q"": 3, ""z_weave"": 2.4}"
QG-9963123A9B9E7320,2cd87e4e8c2f8124604981e9c182432d01c7d8b4bb8511cff6b2c6eae5a2aa81,512,S-1034B2DDED,track_trefoil,shader_builtin_0009,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.2, ""p"": 2, ""q"": 3, ""z_weave"": 2.7}"
QG-BE3D10EFEEB6E19B,ad9898c514bf8bcd0afd31b87be37d94cd024476dcf8623f4311d32fe32777de,512,S-1034B2DDED,track_trefoil,shader_builtin_0010,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.2, ""p"": 2, ""q"": 3, ""z_weave"": 3.0}"
QG-DB26B2E93DDC875F,76f0f9529d76d488240011355d71db8b51b8ca6f0f5bb2c7121bec6912cab9f1,512,S-1034B2DDED,track_trefoil,shader_builtin_0011,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.2, ""p"": 2, ""q"": 3, ""z_weave"": 3.3}"
QG-9248BFEA71996DDF,dfa421292b6246d97b4918b44b699ee317c55456940ad52b5f902529d684e20b,512,S-1034B2DDED,track_trefoil,shader_builtin_0012,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.4, ""p"": 2, ""q"": 3, ""z_weave"": 2.4}"
QG-C71B8F98E9221F32,882bef6eb4d359946b55a12b89a2c97530db9df161f803f79b39647eb4259db9,512,S-1034B2DDED,track_trefoil,shader_builtin_0013,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.4, ""p"": 2, ""q"": 3, ""z_weave"": 2.7}"
QG-5BED605C7DEAEF88,d6ba9b0df4a40ffd8ee4e2785f83cea75bdb34eb4c7a0ff63076f7df43fe4eb9,512,S-1034B2DDED,track_trefoil,shader_builtin_0014,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.4, ""p"": 2, ""q"": 3, ""z_weave"": 3.0}"
QG-4B6B5F112E493DC4,e0ea6158c948adb396c681a5eeeea556bc06c6bf42503b9b106ad8b87a46074b,512,S-1034B2DDED,track_trefoil,shader_builtin_0015,shader_derived,builtin:track_trefoil_compatibility_sweep,3_1_trefoil,"{""baseR"": 3.85, ""bulge_R"": 2.4, ""p"": 2, ""q"": 3, ""z_weave"": 3.3}"
