blind_id,monopole_1_over_r,v2_exponent_abs_error,monopole_plateau,pressure_poisson_monopole,pressure_phi_closure,tail_isotropy,beltrami_closure,overall
K_748D50CBD24B,FAIL,4.992175346499009,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_67DCA64D5325,FAIL,4.999159045760073,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_636F57E75791,FAIL,5.020426388511538,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_09A842E0569A,FAIL,4.998837769091202,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_850078665DBC,FAIL,5.053833491371277,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_7038F5A6042C,FAIL,5.001569183242899,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_358E1A9A4527,FAIL,5.179154255419691,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_BD3CD778D62A,FAIL,5.028816525760271,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_3E9F74D6D136,FAIL,5.0090644153394575,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_561E6B0C9EF9,FAIL,5.002215122940025,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_E35267BA16F5,FAIL,5.000592643858229,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_80115DEE62C2,FAIL,5.029721443806946,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_618679E87B08,FAIL,5.041143935437679,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_45123D0A11E0,FAIL,5.113361029016233,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_3719FE6CF7F3,FAIL,5.000430050070343,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_7FCE20C0D942,FAIL,4.999108887198234,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_01EF1A6D0EDD,FAIL,5.036517218489899,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_8DC4886E5889,FAIL,4.99948277652669,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_F596C587BC92,FAIL,5.012792037964447,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_022A555CD803,FAIL,5.008814227890475,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_9F1C7BBCF48D,FAIL,5.002526102090277,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_5338971BFF6D,FAIL,5.012493087660539,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_BD5C87299F3E,FAIL,5.015748524015842,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_6E9B542696F7,FAIL,6.3683979016072225,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_8A7BC76626D2,FAIL,5.018786084039351,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_6D78DE897C78,FAIL,5.001252303297879,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_6041FDFA8F9E,FAIL,5.066620148809604,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_CFB668027E58,FAIL,5.047226359531628,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_EE26043CACA9,FAIL,5.11189144855049,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_D6EDFA1B8DB1,FAIL,5.1325560495913045,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_7B1A65A00864,FAIL,5.01866189734409,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_AF7A1C1F902C,FAIL,5.005388566328567,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_0AD82E5DD387,FAIL,5.038741472861077,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_A4BC4F5443C5,FAIL,5.043607849257863,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_F6D2C3B98DE5,FAIL,5.020431343287221,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_AD0937D636A0,FAIL,4.99967754382756,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_776C03DD68BB,FAIL,4.999091023890935,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_7D6BD59FA0AD,FAIL,5.001573648594285,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_6E59569148E0,FAIL,4.9992354688118805,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_C2010E752023,FAIL,5.001094339437035,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_8DE9E57FC226,FAIL,4.999389337220077,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_3F1C2FEFC82A,FAIL,5.000756521001332,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_A44DC02B8992,FAIL,4.999487037841948,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_9A8DB49B5D79,FAIL,5.000042339951689,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_A63D60BD324B,FAIL,5.000391041106631,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_2AC991D03267,FAIL,5.000852101818179,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_73757787973D,FAIL,5.000235175183218,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_4F2305363305,FAIL,5.000255209891597,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_2628B62D17F2,FAIL,5.000288265388242,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
