blind_id,status,n_input,thickness_raw,length_raw,ropelength_estimate,extent_core,tail_v2_exponent,tail_v2_fit_r2,tail_velocity_exponent,tail_mu_amp_log_slope,tail_mu_amp_fit_r2,tail_mu_poisson_log_slope,tail_mu_poisson_fit_r2,tail_mu_phi_log_slope,tail_mu_phi_fit_r2,tail_mu_amp_norm_median,tail_mu_poisson_norm_median,tail_mu_phi_norm_median,tail_poisson_to_amp_ratio,tail_phi_to_amp_ratio,tail_poisson_to_phi_ratio,tail_poisson_positive_fraction,tail_anisotropy_median,tail_beltrami_misalignment_median,poisson_identity_rel_rms_max,divergence_rms_norm_max,mu_amp_phys_m3_s2,mu_poisson_phys_m3_s2,mu_phi_phys_m3_s2,mass_amp_kg,mass_poisson_kg,mass_phi_kg,thickness_limiter,thickness_local_raw,thickness_nonlocal_raw
K_748D50CBD24B,OK,300,0.14221181950133843,3.1550384288181825,22.185486690777406,3.531559949374663,5.992175346499009,0.9999999054514146,2.9960876732495043,-4.992175346499017,0.9999998637789003,-4.992530344839191,0.9999998866633368,-4.989652749648475,0.9999997650593015,1.4309061308532522e-07,8.585970772938138e-07,8.575161316544615e-07,6.000373181585508,5.9928189079958925,1.0012605542909925,1.0,0.4327651328217168,0.9999999999998832,1.4204348984233656e-16,1.8418304688549817e-18,9.52324049514157e-09,5.714299686883657e-08,5.707105570467657e-08,142.6852328355269,856.1646445145794,855.086761228542,curvature,0.14221181950133843,0.4961566215848868
K_67DCA64D5325,OK,300,0.20515361373875166,46.25189017609869,225.45003879384325,10.883446984989263,5.999159045760073,0.9999999988312789,2.9995795228800364,-4.999159045760081,0.9999999983169473,-4.9991763375054,0.9999999984272452,-4.9988774117701835,0.9999999969939921,8.614087431678729e-08,5.168475585269486e-07,5.167793629236135e-07,6.000026847025216,5.999235171715718,1.0001319627063847,1.0,0.4501928859423997,0.9999738723473593,1.480057231660301e-16,2.3677755085016733e-19,5.733012424032027e-09,3.439822845852127e-08,3.439368977413612e-08,85.8968344849951,515.3833129844519,515.3153105814262,curvature,0.20515361373875166,0.49998613458906005
K_636F57E75791,OK,300,0.1976265260795058,43.89579653353407,222.11490230757104,15.324072075752369,6.020426388511538,0.9999993106809765,3.010213194255769,-5.0204263885115274,0.9999990087266579,-5.027414991335403,0.99999821520543,-5.0272645902073325,0.9999982352752173,2.1120651890970066e-09,1.2712438071795271e-08,1.2711592815743041e-08,6.0189610327465095,6.018560829165392,1.000066494896783,1.0,0.45264944426970405,0.9996092249821089,1.535897042360897e-16,5.2860343670777904e-20,1.405662069893684e-10,8.460625223899885e-10,8.460062672905672e-10,2.106081641361168,12.676423331135679,12.675580469720678,curvature,0.1976265260795058,0.4999848511891537
K_09A842E0569A,OK,300,0.18144800362314284,16.375521889307155,90.24911579252301,8.79189001144811,5.998837769091202,0.9999999982425818,2.999418884545601,-4.9988377690912005,0.9999999974691216,-4.998955371128767,0.9999999984329895,-4.998498428964999,0.9999999960734587,5.1756341413144856e-08,3.105444125134346e-07,3.104816853982483e-07,6.000122961445723,5.998910991791886,1.0002020316113198,1.0,0.4405112050986209,0.9988623783957584,1.433908976743871e-16,2.8490400553353694e-19,3.444587145154823e-09,2.0667946422344226e-08,2.0663771687254302e-08,51.609714054729686,309.66463033343166,309.6020809261541,curvature,0.18144800362314284,0.4999946500667945
K_850078665DBC,OK,300,0.14497988312579504,22.434566965422153,154.7426200223675,14.1485630417124,6.053833491371277,0.9999955673383414,3.0269167456856385,-5.053833491371272,0.9999936396234003,-5.071263774454279,0.9999891144731686,-5.071087661527153,0.9999891715289699,5.2541321427363395e-09,3.1786502820464375e-08,3.178402497322314e-08,6.0498103125190985,6.049338712800264,1.000077958887942,1.0,0.45548759390316396,0.9996702952140264,1.4188965468344344e-16,6.780129928335703e-20,3.4968306382679953e-10,2.115516205652646e-09,2.115351295218064e-09,5.239247019564592,31.69645064879682,31.69397982137549,curvature,0.14497988312579504,0.49999141853984663
K_7038F5A6042C,OK,300,0.18552853953977896,23.687543903156826,127.67601125905487,11.475009611457763,6.001569183242899,0.9999999952977129,3.0007845916214495,-5.0015691832429,0.9999999932294147,-5.0024046886396745,0.9999999837984569,-5.0021389060235135,0.9999999870156783,2.8659484162958092e-08,1.7201732066612462e-07,1.7199699456593792e-07,6.002108052190771,6.0013988244855145,1.000118177066047,1.0,0.4409020793739264,0.9983257674231252,1.4453685343779846e-16,1.491728441239855e-19,1.9074008718363767e-09,1.1448426131604814e-08,1.1447073350061479e-08,28.578290934425738,171.52999013536723,171.5097216196677,curvature,0.18552853953977896,0.4999990121545886
K_358E1A9A4527,OK,300,0.16395289930824997,25.986758015923055,158.5013630473531,14.335180162384631,6.179154255419691,0.9999582595873024,3.0895771277098456,-5.1791542554196806,0.999940585910735,-5.231805885221781,0.999907608381265,-5.2316359939294665,0.9999077588199979,8.780035457651514e-10,5.414661787360618e-09,5.4142523602723945e-09,6.167015854864136,6.166549538879197,1.0000756202446763,1.0,0.6562202554024199,0.9949134914589378,1.4838736016272247e-16,6.960431575820538e-20,5.843457332119076e-11,3.6036694014400427e-10,3.603396911683915e-10,0.8755161338446095,5.399321878609057,5.398913611440774,curvature,0.16395289930824997,0.4999996113931504
K_BD3CD778D62A,OK,300,0.16669411287630895,29.596197154042617,177.54794481556593,15.162830108522094,6.028816525760271,0.9999985657184375,3.0144082628801354,-5.028816525760266,0.9999979385789995,-5.038859061299527,0.9999962251992826,-5.038703182694497,0.9999962556865659,2.435691458932178e-09,1.4678531960150837e-08,1.4677529268556954e-08,6.026433235753923,6.026021569657954,1.0000683147398677,1.0,0.467101135746497,0.9979889869993256,1.4016775653572328e-16,5.796024013566745e-20,1.6210480223144853e-10,9.76913767842918e-10,9.768470347918457e-10,2.4287910676992124,14.63694721308479,14.635947362148027,curvature,0.16669411287630895,0.5000000717591818
K_3E9F74D6D136,OK,300,0.16666341375427413,28.525235294051722,171.1547522727986,13.429218505186928,6.0090644153394575,0.9999998652192997,3.0045322076697287,-5.009064415339463,0.9999998060328572,-5.01228122254132,0.9999996437328873,-5.012087472290771,0.9999996551865143,1.629989279698323e-08,9.794223850910478e-08,9.793379390089277e-08,6.008765807786898,6.008247730256133,1.0000862277246254,1.0,0.4461764770755766,0.9996297702169504,1.4493823488516655e-16,9.30799784276775e-20,1.0848216791001826e-09,6.518439412923149e-09,6.517877391186319e-09,16.253714683190488,97.66476503787887,97.65634435351004,curvature,0.16666341375427413,0.4999997438859917
K_561E6B0C9EF9,OK,300,0.18548140074496472,28.933079643037107,155.98911549530422,11.728776266053451,6.002215122940025,0.9999999908422789,3.0011075614700125,-5.002215122940031,0.9999999868148282,-5.003263999869833,0.999999970775699,-5.003009197558468,0.9999999749877255,2.5049914257568854e-08,1.503661289936554e-07,1.5034911153440203e-07,6.002660426201745,6.0019810841857035,1.0001131862974095,1.0,0.44804837453299456,0.9999642979904753,1.4357336040739587e-16,1.381493327019735e-19,1.6671698633036973e-09,1.0007454562209275e-08,1.0006321983673257e-08,24.978947055177283,149.9401369763013,149.92316772805026,curvature,0.18548140074496472,0.49999317912716684
