axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio
-1.0,f41a58ef9154da62,cfa25639bff984fe,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,1,1,P00000,gaussian,CLOSED,0.0,0.0,nan,nan,False,False,0.6483472220200477,0.2942500000000001,0.87758844468564,True,False,True,0.0,-1.0236263728781445,1.0236263728781445,6.138162784447481,-0.09010598511384792,3262.8730965840373,4222.973505253891,0.6483472220200477,1.3207793553866565,0.7750169388273632
-1.0,93793db049ba0128,82f5c98fd052b8bc,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00001,gaussian,CLOSED,0.016661960927772293,0.01893503401975056,0.8799541691264465,-0.12788545340425217,False,True,1.2312476144103808,0.07387500000000002,0.27720283985099703,True,True,True,0.016661960927772293,-1.265008581607277,1.265008581607277,4.966911211935325,-0.5600736465380423,524.9388120410451,486.15895730151294,1.2312476144103808,1.3207793553866565,0.9577743447064611
-1.0,13cbcb77bb77d71b,e2a48f0656ec45fc,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,3,P00002,gaussian,TIE,0.03639695631361905,0.03626125064844826,1.0037424420095717,0.003735456496634325,False,True,-1.7715222286595877,0.0036249999999999893,0.25183032613271955,True,True,True,0.03639695631361905,-1.3887675174537015,1.3887675174537015,4.524288787154077,-0.8779821926480077,334.8637331498198,336.0776141824879,-1.7715222286595877,1.3207793553866565,1.051475791009121
-0.5,2779e8226ca0090a,9776d953c528f35b,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,1,1,P00003,gaussian,SYMMETRIC_CONTROL,0.006730675926605582,0.005113363666475935,1.3162906459844692,0.27481766412941405,False,True,0.09350426829004045,0.04237499999999983,0.19366273937206893,True,True,True,0.006730675926605582,-1.5510875877578145,1.5510875877578145,4.050825599257285,-0.5259050206697752,559.0446622752182,582.7341798391305,0.09350426829004045,1.3207793553866565,1.1743729801892122
-0.5,c044ee44f2c7b232,02e3110304768987,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,1,2,P00004,gaussian,TIE,0.014127325979715614,0.013955847364996755,1.0122872146249466,0.012212339517072728,False,True,-1.168821536647705,0.011375000000000135,0.3550497938331456,True,True,True,0.014127325979715614,-1.5132461479415917,1.5132461479415917,4.152123774262602,-0.4910672847586175,598.7049102928797,605.5151786474613,-1.168821536647705,1.3207793553866565,1.145722138803866
-0.5,36ec25224344ddb3,87b2a162df89d761,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,3,P00005,gaussian,TIE,0.018538913449333626,0.018529760968584563,1.0004939338302983,0.0004938118851374945,False,True,-2.869906978296591,0.00024999999999997247,0.5018696295603033,True,True,True,0.018538913449333626,-1.5028218487952154,1.5028218487952154,4.180924912834279,-0.4878613155182067,602.6392856274829,602.488625806076,-2.869906978296591,1.3207793553866565,1.1378296023980978
0.5,fb3ad3c1e32c4a64,ba3fe215cc6c23ae,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,1,1,P00006,gaussian,INDETERMINATE,0.0002462100697658553,0.00022581437937175663,nan,nan,False,False,nan,nan,0.11973481237243677,False,False,False,0.0002462100697658553,-0.06464210367872592,0.06464210367872592,97.19957967963562,-0.008046398752209423,nan,nan,nan,1.3207793553866565,0.04894239406081724
0.5,d54596bb938eb104,16abab91d49cc678,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,2,P00007,gaussian,TIE,0.0009431451671552368,0.0009393735438292043,1.004014998294156,0.0040069596979545605,False,True,-0.3175718842357313,0.11262499999999998,0.13491721599562984,True,True,True,0.0009431451671552368,-0.06785043839089318,0.06785043839089318,92.60345925816317,0.005820205526107912,50514.43516046808,44825.24690052036,-0.3175718842357313,1.3207793553866565,0.051371516456683294
0.5,b1f14e30d015d591,48b7dedec1f25afd,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,3,P00008,gaussian,TIE,0.00178973042692716,0.001799878756018117,0.9943616909339397,-0.005654264332703207,False,True,1.9674578870959534,0.3756250000000001,0.15767836101769425,True,True,True,0.00178973042692716,-0.0736478783712247,0.0736478783712247,85.31386709483974,0.010314529169401213,28503.90840343553,39210.688997476005,1.9674578870959534,1.3207793553866565,0.055760924844001955
1.0,78b63eeffc39c0c8,2d4bae53a8ef7096,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,1,1,P00009,gaussian,INDETERMINATE,0.00030593183396682594,0.0002729696224685466,nan,nan,False,False,nan,nan,0.3352965317624899,False,False,False,0.00030593183396682594,-0.06463334652287087,0.06463334652287087,97.21274922622561,-0.005689412729048716,nan,nan,nan,1.3207793553866565,0.04893576376649947
