knot,parent,file,component,closed,input_points,resampled_points,length_units,rms_radius_units,bbox_x,bbox_y,bbox_z,segment_mean,segment_cv,curvature_mean,curvature_max,writhe_midpoint,note
knot_0.1_final,knot_0.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_0.1_final.txt,1,True,300,1200,3.1550442638899527,0.5021361508690618,1.004261771769713,1.0044121715056495,0.0,0.002629203553241627,1.749338836260145e-05,1.9914742249753197,4.220945213230619,0.0,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_10.123_final,knot_10.123_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.123_final.txt,1,True,300,1200,46.2556586594002,1.811408084323466,4.097273971593956,4.028641483190015,2.7847526520100034,0.03854638221616683,0.0011777768055915734,1.055810846747457,3.224198591770839,-0.006603598511208508,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_10.1_final,knot_10.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.1_final.txt,1,True,300,1200,43.89911578115507,2.0042870303259863,5.307408668746971,4.949432968153698,2.3815175842389302,0.03658259648429589,0.0010561474842008508,1.04951470857749,3.4206240209124927,3.5683618454749633,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_3.1_final,knot_3.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_3.1_final.txt,1,True,300,1200,16.37644714065092,1.2393116219711329,2.966489578054851,2.7831411078280373,1.069546896269475,0.013647039283875768,0.00010365494303922876,1.0627223745750591,3.7913797908479006,3.414021851819105,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_4.1_final,knot_4.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_4.1_final.txt,1,True,300,1200,22.43500310380535,1.4633050601447597,3.0878087683455013,3.7398041596774294,1.5119827852940997,0.01869583591983779,0.00036395765751017,0.990689617971654,4.422943964915711,0.22400243522130708,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_5.1_final,knot_5.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.1_final.txt,1,True,300,1200,23.68798077457531,1.4908823776549427,3.712674812978155,3.382429719256902,1.7536627482294693,0.019739983978812756,0.00035719122787627983,1.0812567187754436,3.366944036890269,6.286931319498021,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_5.2_final,knot_5.2_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.2_final.txt,1,True,300,1200,25.988309281876248,1.5883635890654724,3.074140808834283,4.116825075190002,1.6818389211988434,0.02165692440156354,0.0003708452337241175,1.005021726860786,3.8787352911224873,4.79317100470311,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_6.1_final,knot_6.1_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.1_final.txt,1,True,300,1200,29.597144657476168,1.7010987042848413,3.215810507594284,4.793535586344557,1.9535592095009857,0.024664287214563475,0.0004911609246892057,1.0179562416135366,3.6811354331334245,1.352251680253989,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_6.2_final,knot_6.2_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.2_final.txt,1,True,300,1200,28.530129802904582,1.50898404264896,2.853067012431625,3.8875837640859374,3.1299596954925413,0.023775108169087154,0.0002963424223016556,1.0400296244196638,3.6620994653596974,2.7840681276228745,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
knot_6.3_final,knot_6.3_final,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,1,True,300,1200,28.934004358975002,1.500052660827746,2.9810919100086863,3.7115541910673606,3.002477954862844,0.024111670299145835,0.0004275170564953545,1.0019468951627464,3.2197532965707714,0.0025221652363484497,"Geometry-only diagnostics; source-file units are retained. Midpoint writhe is a convergence diagnostic, not an exact invariant."
