knot,mode_id,family,m,phase,polarization,roughness_lambda_per_R2,retained_norm_fraction,omega_rad_s,gap_eV,status
knot_0.1_final,kelvin_m01_N_cos,kelvin,1,cos,N,7576.161048436464,5.2746723150403836e-05,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m01_B_cos,kelvin,1,cos,B,6.713949612163774,0.35364487727814803,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m01_N_sin,kelvin,1,sin,N,11845.55917720275,5.179571241095879e-05,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m01_B_sin,kelvin,1,sin,B,6.715558010035577,0.3534852387981585,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m02_N_cos,kelvin,2,cos,N,2580.071303673001,0.9228099510159105,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m02_B_cos,kelvin,2,cos,B,5.6848269007583045,0.9999999804912115,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m02_N_sin,kelvin,2,sin,N,1046.764342619185,0.9593527112426087,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m02_B_sin,kelvin,2,sin,B,5.6723006973244505,0.9999999664499568,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m03_N_cos,kelvin,3,cos,N,5026.654096029904,0.7035225644866022,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m03_B_cos,kelvin,3,cos,B,10.670103012509724,0.9999999888412565,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m03_N_sin,kelvin,3,sin,N,1532.6170470409072,0.9404518206578755,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m03_B_sin,kelvin,3,sin,B,10.686293712710421,0.9999999176407999,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m04_N_cos,kelvin,4,cos,N,14225.66416235603,0.7479596267719453,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m04_B_cos,kelvin,4,cos,B,17.686618841741524,0.9999999682709522,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m04_N_sin,kelvin,4,sin,N,1711.6545727939592,0.9212218117396462,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m04_B_sin,kelvin,4,sin,B,17.668394878913745,0.9999999627904349,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
