knot_target,knot_source,orientation_deg,impact_parameter_R,separation_R,core_radius_R,gamma_proxy,velocity_rms_proxy,shape_velocity_rms_proxy,translation_fraction,rotation_fraction,shape_fraction,mode_capture_fraction,dominant_mode_id,dominant_mode_fraction,writhe_directional_response_per_Rrms,min_segment_distance_R,interpretation
knot_0.1_final,knot_0.1_final,135.0,0.0,4.0,0.05,1.0,0.005716302065609435,0.0009235346454251791,0.7514550608594176,0.22244280337735928,0.026102135763222976,0.9999999972250208,kelvin_m02_N_cos,0.7429169549932126,-0.00044897014462050576,2.000016321633423,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_0.1_final,knot_0.1_final,135.0,0.35,3.0,0.05,1.0,0.018790757827897697,0.005310188200766701,0.5955966623101924,0.3245429827999079,0.07986035488990066,0.9999999962417025,kelvin_m02_N_cos,0.6793907851762014,-0.0005931506959137603,1.020285640891073,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_0.1_final,knot_0.1_final,135.0,0.35,4.0,0.05,1.0,0.005633458361944058,0.0009033742872165431,0.7531300863435929,0.2211549880223822,0.025714925634023552,0.999999997259949,kelvin_m02_N_cos,0.7445720598499413,-0.0004891373370418807,2.015232704310244,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,0.0,0.0,3.0,0.05,1.0,0.026056119807843718,0.01751861341299361,0.5392025350856177,0.008754231032507442,0.45204323388187434,0.5599725557764995,kelvin_m08_B_cos,0.09974506618175696,1.4903000659310157,0.8807473319421942,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,0.0,0.0,4.0,0.05,1.0,0.009733447229129602,0.005145912493138912,0.709958336512431,0.010535469745483804,0.2795061937420864,0.5898495713791342,kelvin_m08_B_cos,0.10471497305033085,1.28176935792766,1.8659372085110097,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,0.0,0.35,3.0,0.05,1.0,0.025507837542948268,0.016968004070588648,0.5470602903608761,0.01043873183575255,0.44250097780337233,0.5480581637477148,kelvin_m08_B_cos,0.09088239595193565,1.532283016620643,0.8493271303398214,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,0.0,0.35,4.0,0.05,1.0,0.009611457667387135,0.0050633939806935474,0.7118730412085112,0.010600159494833476,0.2775267992966562,0.5862664076299493,kelvin_m08_B_cos,0.1032468344687929,1.2785594722228895,1.848502331742136,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,45.0,0.0,3.0,0.05,1.0,0.02587831536353563,0.016918756346755215,0.5593924161731608,0.013177712488473487,0.42742987133836696,0.5923822129294495,kelvin_m08_B_cos,0.08005138831948676,1.5144665060392182,0.8013691561151822,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,45.0,0.0,4.0,0.05,1.0,0.009723938311828004,0.0051302550491859,0.7108657607716176,0.010782766870620008,0.2783514723577634,0.5955114811473642,kelvin_m08_B_cos,0.10087982717608324,1.2818596662214459,1.7953598938957909,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,45.0,0.35,3.0,0.05,1.0,0.025180360553767146,0.01626019297136152,0.5693360319072993,0.013672180467263649,0.4169917876254362,0.6258586451539068,kelvin_m08_B_cos,0.07723532733613565,1.4774047480352326,0.8827671905934136,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
