pair_id,candidate_a,candidate_b,valid,winner_anonymous,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,comparison,topology,source_a,source_b,variant_a,variant_b,source_sha256_a,source_sha256_b,winner_source,log_ratio_fseries_over_reference
PAIR_42F58110D533,CAND_A2534BB7D0203515,CAND_E2BBD9FDECC1583A,True,B,0.05516307985255867,3,4,fseries_vs_ideal,8_3,fseries,ideal,canonical,canonical,c764fd76af4796e150803f2dd742f08959ffd43a81b9edfbbc630f2842f0b807,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,ideal,0.05516307985255867
PAIR_2F284AB29303,CAND_432A35379F0CEB42,CAND_B3EC38709D42CB05,True,A,-0.09856763365654132,5,1,fseries_vs_ideal,4_1,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,2a603bb0e169a0217daeabfa179d43abd1ec42372dd51c5605926ddab4412c61,ideal,0.09856763365654132
PAIR_5A1CD043EA74,CAND_248C32DDB600B428,CAND_2AA172367B3AA886,True,A,-0.22152528040288585,5,1,fseries_vs_ideal,5_2,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,66d4967373194aa89dcedbb17483f89ac4e4f628826eda9fcb5b06169d7ff3b8,ideal,0.22152528040288585
PAIR_E3297B4D7A99,CAND_0AF113E03671A6E2,CAND_B7D9774987F8F8D9,True,B,1.2977101303606169,2,5,fseries_vs_ideal,9_2,fseries,ideal,canonical,canonical,1fe43f0103ced88682b8497432c3d69136aeb3191e783b875a739902842def28,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,ideal,1.2977101303606169
PAIR_C615B15C4CEA,CAND_1E5E2B09B4B8C551,CAND_C3986071925BB7B5,True,A,-0.10500596984457539,4,2,fseries_vs_ideal,6_2,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,83f985f8562cc67b67ccf55a6200df0a75ee105c9085beeb94a7bc4f83dc24e5,ideal,0.10500596984457539
PAIR_6C71F11FFE9D,CAND_D6B0C3E27893DFA4,CAND_7EC3A0C20817164B,True,A,-0.7943327887418004,4,3,fseries_vs_ideal,10_1,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,a211ddc4c5376e680de437783edc6060e6c14ab3c1de526d94eb3ad58db9c1eb,ideal,0.7943327887418004
PAIR_3E9D017385B6,CAND_876DEFA9C0016C79,CAND_3749715170080E8E,True,B,0.2917435734397696,2,4,fseries_vs_ideal,7_2,fseries,ideal,canonical,canonical,6b43345f0304194b1f7e4abc672cdead4c9208e64d73f203382fa016f5f4d06f,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,ideal,0.2917435734397696
PAIR_56D2E1070B84,CAND_D1BC264E75ED07F7,CAND_7CAECDD540CA31A3,True,B,0.43397736805742765,0,6,fseries_vs_ideal,7_1,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,fecaf3a5cc5cf6b119aed022bf5ca681155db23d179a5393708944e61f907572,fseries,-0.43397736805742765
PAIR_7536D10E62B9,CAND_0673AF70FB9A87D6,CAND_6835C39D1CA72DEA,True,A,-0.17362285061832747,6,0,fseries_vs_ideal,8_17,fseries,ideal,canonical,canonical,b685e784137498050897ff33e3dd6056e194367534f411a282bc267e35793f04,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,fseries,-0.17362285061832747
PAIR_93ADBD970BA2,CAND_89F55742FC41BA0B,CAND_7727435FF99284A8,True,B,0.13905320388514583,1,5,fseries_vs_ideal,8_1,fseries,ideal,canonical,canonical,f3728d1157e836130bde8c8f67a147ccf720428e9130be0e49d276777ffa09a4,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,ideal,0.13905320388514583
PAIR_F74D934F8F48,CAND_9105D75F85D96750,CAND_B0C72E6F79101B90,True,TIE,0.0,3,3,fseries_vs_ideal,3_1,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,f29c73b439fe4d645e67e8577ce0700cb006d393526e8674d251fe5b95583c4d,tie,-0.0
PAIR_7BE3B2B9D29A,CAND_6DE0C4D86E4A5C19,CAND_A163482828DAB384,True,B,0.38889564448513086,1,5,fseries_vs_ideal,5_1,fseries,ideal,canonical,canonical,fe0e3bafc612fd517b5e54083f53e58caa8fc8ad424ea3baae0c0eae02da3638,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,ideal,0.38889564448513086
PAIR_8D455B1E2ED2,CAND_840F53698F7DE277,CAND_9BF7FFC85759677A,True,B,0.052804225116578375,2,4,fseries_vs_ideal,6_1,fseries,ideal,canonical,canonical,d9d4d4b5776c21de35cae284b26b1831ff30ad21e65c9cbf899c2946fbd4f7a4,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,ideal,0.052804225116578375
PAIR_F8C3CE5A39A2,CAND_6B41DAEC85796FF8,CAND_459B8D07E161024E,True,A,-0.8673252268615352,5,2,fseries_vs_ideal,7_4,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,bfdfbacdf2011fd41abd90393d04421b9728c906941508165ee6ce3693b675d0,ideal,0.8673252268615352
