link_id,common_name,conway,components,topology_sample_n,source_active_mode_max,spectral_cutoff_mode,working_active_mode_max,qm_sample_n,spectral_strict_nyquist_pass,spectral_nonlinear_sampling_pass,spectral_tail_contaminated_risk,all_circulation_sectors,automorphism_order_proxy,automorphism_quotient_applied,higher_linking_required,higher_linking_computed,best_signs,readiness_level,readiness_label,blocking_warnings,relative_equilibrium_score,primary_gradient_norm,primary_gradient_cancellation_ratio,primary_negative_modes,hessian_scheme,step_convergence_pass,symplectic_rank,symplectic_dimension,unstable_linear_modes,lowest_frequency_ratio_count,quantization_ready_candidate
L4a1,,4,2,512,255,192,192,1152,True,True,True,4,1,False,False,False,--,1,pair-linking-sector-resolved,spectral_sampling_or_tail_gate_not_resolved,0.15328284527981995,3.7611907370946165,0.26915022512267184,5,full-central,True,20,20,10,5,False
L6n1,,"2,2,2-",3,512,255,192,192,1152,True,True,True,8,1,False,False,False,-+-,1,pair-linking-sector-resolved,spectral_sampling_or_tail_gate_not_resolved,0.1858938894393718,9.03542559348474,0.47932397005879485,7,full-central,True,30,30,10,10,False
L6a4,Borromean rings,.1,3,512,255,192,191,1152,True,True,True,8,6,False,True,False,---,1,pair-linking-sector-resolved,spectral_sampling_or_tail_gate_not_resolved;higher_link_invariant_required_but_not_computed,0.19694357061597606,9.423474634885958,0.5170995741923187,6,full-central,False,30,30,12,9,False
