blind_id,source,topology_class,components,status,TBK_block_diagonal_growth_penalty,component_count,core_clearance_radii,core_radius_norm,floquet_rho_non,floquet_valid,jacobian_convergence,linking_drift_max,nearest_inter_distance,nearest_relevant_rate,nearest_self_distance,normalized_growth,ringdown_core_event,ringdown_max_recurrence,rpo_found,shape_velocity_ratio,thickness_norm
B01,fremlin_3_1,knot,1,PASS,4.396975843441487e-06,1,1.1111111111111112,0.16572651466451707,nan,False,0.007151221577616235,0.0,inf,0.25532207709847954,0.36828114369892684,1.8663023623588543e-05,False,0.01470451834809194,False,0.3486601650603119,0.18414057184946342
B02,fremlin_5_2,knot,1,FAIL,0.05536887205594534,1,1.1111111111111112,0.1023529885481661,nan,False,0.007406781148794132,0.0,inf,-0.09860529010111672,0.22745108566259134,0.12410273308342758,False,0.03168914425548851,False,0.5525759176864571,0.11372554283129567
B03,link_0.3.1,unlink,3,FAIL,0.04548886901242104,3,1.9312311586432882,0.16062718525778236,nan,False,0.002308561041087514,6.963586172844421e-10,1.423615744631332,3.7402475237961415e-08,0.4204736417578704,1.0,False,0.00301351816617714,False,0.2523953164774142,0.17847465028642484
B04,knot_5.1,knot,1,PASS,-0.01973361286577481,1,1.111155406931599,0.11973463573628593,nan,False,0.006579908493475051,0.0,inf,-0.4492367730987667,0.2660875757907191,0.04783388136043388,False,0.02680880317292393,False,0.3288199727351012,0.1330384841514288
B05,knot_0.1,unknot,1,FAIL,-0.0187888432571573,1,1.109161228976394,0.8963173982278155,nan,False,0.00035555114190169787,0.0,inf,0.0,0.5806324583953943,1.0,False,0.0020380644738949303,False,0.00012039514017957602,0.9959082202531283
B06,fremlin_5_1,knot,1,PASS,4.332570320892974e-09,1,1.1111111111111112,0.10809417565776548,nan,False,0.006202450817557595,0.0,inf,0.02886996296648528,0.240192297697897,6.91149102910132e-07,False,0.018089273045047847,False,0.336065426503584,0.12010463961973943
B07,knot_3.1,knot,1,PASS,-1.1046780801427619e-05,1,1.1111741707273906,0.17290880312667234,nan,False,0.009586061132451158,0.0,inf,-0.052643238179738885,0.38425385032649506,0.0001026362531441485,False,0.008892592350124082,False,0.32631870940352486,0.19212089236296925
B08,link_6.3.1,link,3,FAIL,-0.1140105064126202,3,1.1111661132206705,0.08455752747591767,nan,False,0.012213323453074075,0.0002458492112416,0.18791491829793097,-0.538937388604731,0.18795611389709882,0.44522037015919114,True,0.019817702707237747,False,0.4561388177102458,0.0939528083065752
B09,knot_5.2,knot,1,FAIL,0.10492963913320397,1,1.1111201738353598,0.10917687258429913,nan,False,0.01587179802435659,0.0,inf,0.409829225178256,0.24261725128933473,0.1395775659339072,False,0.0439354619179431,False,0.479466188868942,0.1213076362047768
B10,torus_6.9,torus_link,3,FAIL,-0.10731319267925862,3,1.1111613422742743,0.026082843608896133,nan,False,0.044631163292037396,0.0,0.05796449502958201,-0.5803153557559101,0.0797876692891412,1.0,True,6.131206287993611e-16,False,0.5542584882731643,0.028980937343217925
B11,link_6.3.3,link,3,FAIL,-0.006422229469070969,3,1.1111401413690953,0.1037905837032231,nan,False,0.02168636757102448,0.00026227194617156613,0.2306517676975605,-0.8770461117294999,0.3830503260734259,0.24384325028362996,False,0.020003586534857797,False,0.4339815976689351,0.115322870781359
B12,knot_4.1,knot,1,PASS,-0.006614211320569893,1,1.1112808302858155,0.12634986006506443,nan,False,0.012467106445206991,0.0,inf,-0.09550682892767375,0.2808010822353076,0.04741212314996579,False,0.029151461906074788,False,0.47676901497710283,0.14038873340562716
B13,fremlin_4_1,knot,1,PASS,-0.00393060393196133,1,1.1111111111111112,0.12190520865011348,nan,False,0.004864519510672899,0.0,inf,-1.1144710961993718e-15,0.27090046366691883,0.04878329382571951,False,0.026233667977092135,False,0.46283412651823846,0.13545023183345942
B14,fremlin_0_1,unknot,1,FAIL,-1.8886718177656912e-13,1,1.1111111111111112,0.895826060479381,nan,False,0.00010932264767077498,0.0,inf,0.0,0.5806729407959197,1.0,False,0.0020382116411503345,False,3.015102702193641e-07,0.9953622894215344
B15,torus_2.3,torus_knot,1,PASS,4.76582581355674e-08,1,1.1111283681487163,0.17290796122061233,nan,False,0.00949398935493568,0.0,inf,-3.6346223283011106e-05,0.384245881581961,1.1427848150353168e-06,False,0.00911582461468133,False,0.32674601444954005,0.19211995691179148
B16,link_0.2.1,unlink,2,FAIL,-1.419000825563588e-09,2,3.1521262557107015,0.15019223825355038,nan,False,0.0006144146546623391,1.6271720093032582e-10,0.9468497952059467,-8.617569368918606e-14,0.44254459563112275,1.0,False,0.003211406335916458,False,0.10321646941044925,0.1668802647261671
B17,link_2.2.1,link,2,PASS,-0.007666621377100961,2,1.1209462390793794,0.08549301837112437,nan,False,0.0010420427907571264,6.847644941965214e-06,0.1916661548213123,0.08972071140648938,0.4386670963732947,0.007937262431185461,False,0.006941002608736064,False,0.28915331544892126,0.09499224263458263
