line_length_density_m2,orientation_factor,crossing_density_m2,q_states,entropy_per_crossing_nats,eta_area_m2,predicted_g_m3_kg_s2,packing_fraction,model_name,g_ratio_to_observed,eta_ratio_target_over_model,required_ln_q_for_observed_g,required_bits_per_crossing
1.603417171254733e+29,0.5,8.017085856273665e+28,2,0.6931471805599453,5.557020457583106e+28,1.1494337928422437e+30,1.0,maximal-packing,1.7221787945436132e+40,1.7221787945436132e+40,1.193723375858031e+40,1.7221787945436135e+40
28827.803252428963,0.5,14413.901626214481,2,0.6931471805599453,9990.955273078978,6.393209584946158e+54,1.797897875190531e-25,density-weighted,9.578846598064455e+64,9.578846598064457e+64,6.639550512464602e+64,9.578846598064457e+64
1.603417171254733e+29,0.5,8.017085856273665e+28,2,0.6931471805599453,5.557020457583106e+28,1.1494337928422437e+30,1.0,user-packing,1.7221787945436132e+40,1.7221787945436132e+40,1.193723375858031e+40,1.7221787945436135e+40
