index,minrad_dim
0,0.9932043463982106
1,1.0009088822174255
2,0.9890162577688111
3,1.01065690971141
4,0.9933763368854808
5,1.00781700863886
6,0.9980962968001198
7,1.0082527024309569
8,1.0035273068031487
9,0.9888550568819787
10,0.995217247082373
11,1.007775033759548
12,0.9960175277478454
13,0.9981177120999487
14,0.998360766676266
15,0.9906268556674707
16,1.004273550217403
17,1.0098181717048673
18,0.9974380371316365
19,0.99609673188781
20,0.9929563101857828
21,1.011052994718377
22,0.9983156942492439
23,0.9869345660719949
24,1.003812864456953
25,1.004982249789013
26,0.99640169970643
27,1.0076804515960531
28,0.9909944371438947
29,1.000725962728709
30,1.007638380000218
31,0.9822490254496197
32,1.0006372340708094
33,1.003865220932933
34,0.9955334839879455
35,1.01950289932063
36,0.9906645314442223
37,0.9864747161356855
38,1.0132483200711142
39,0.9855483527579649
40,0.9919399651646011
41,1.0032570307886557
42,1.0057191576952593
43,1.0030856085671678
44,1.0048496377014546
45,0.9915049173416869
46,0.9969902928442552
47,0.9844451446042021
48,0.9927903069777042
49,0.9838442466899321
50,1.0043038942542353
51,0.990559881791507
52,0.9972189235009185
53,0.9806086986448409
54,0.9988977683402762
55,0.973954834328238
56,1.002972239856378
57,0.9815458565312772
58,0.9890706557342701
59,0.9806221695958716
60,0.9807772704654956
61,0.9670088422041111
62,0.9663935173248788
63,0.9419318432717741
64,0.9535139758502322
65,0.9390224715188716
66,0.9426971990225839
67,0.9609671200995044
68,0.9449104268244363
69,0.8968746859481587
70,0.873978005726501
71,0.8291815332843966
72,0.8336407940917204
73,0.8011248674279632
74,0.6601430922497026
75,0.5805036116820418
76,0.507013191188317
77,0.6338450501102907
78,0.9725843530005773
79,0.9698666349413636
80,0.9642668791123234
81,0.7723184401873728
82,0.5120158865520837
83,0.5473241931078993
84,0.6533800671902931
85,0.7854955845986399
86,0.7940191914029386
87,0.8241075506970144
88,0.8779631083811529
89,0.8967865371717734
90,0.9567295833208299
91,0.950205551128977
92,0.9338692958656698
93,0.923737933708837
94,0.9519979725633182
95,0.9434191036048272
96,0.9633684904283332
97,0.9795505745581197
98,0.970394596875713
99,0.990665899884685
100,0.9995098266080893
101,0.9877293153668666
102,0.9800353097848167
103,0.966223585955325
104,0.9847365135823576
105,0.9927250667644787
106,0.9953750771676008
107,1.003361781362988
108,0.9920805177833879
109,0.9836277003257362
110,0.999865976077216
111,0.9912639916188809
112,0.9903859800538197
113,0.9942820895690976
114,1.0045830745541102
115,1.0032383436845593
116,1.0015222433223467
117,0.9964589723770052
118,0.9992744988878343
119,0.989542989159678
120,0.9968783505587131
121,0.9965733880116159
122,1.0031017957758175
123,1.0068760233704113
124,0.9976191378095317
125,0.9990299013986599
126,0.9965027029055906
127,1.0028915188600938
128,1.004905271874805
129,0.9864892879566216
130,0.9997705622080667
131,1.0141960581158473
132,0.9976775971938192
133,0.9941642956544846
134,1.0095148439231063
135,0.9933787631480052
136,0.9914305568554136
137,1.003525816476108
138,1.0026128617634142
139,0.9882801402836314
140,1.025251289048576
141,0.9886528563124952
142,0.995107262456782
