group_id,dimension,members,classification,branch_sign,omega_rad_s,omega_hat,sigma_s^-1,sigma_hat,fourier_m,circularity_eigs
0,1,0,oscillatory,-1,-3.0383814890442614e+20,-0.7827409582727951,-256.0,-6.595014024419515e-19,-16,-0.999966722471
1,1,1,oscillatory,1,3.0383814890442614e+20,0.7827409582727951,-256.0,-6.595014024419515e-19,16,0.999966722471
2,2,2;8,oscillatory,-1,-2.988060445707702e+20,-0.7697773650490439,4032.0,1.0387147088460737e-17,-9;15,-0.999965260579;-0.999965260579
3,2,3;9,oscillatory,1,2.988060445707702e+20,0.7697773650490439,4032.0,1.0387147088460737e-17,-15;9,0.999965260579;0.999965260579
4,2,4;6,oscillatory,-1,-3.0257530613784576e+20,-0.7794876513367661,4096.0,1.0552022439071224e-17,-16;16,-0.999966363011;-0.999966363011
5,2,5;7,oscillatory,1,3.0257530613784576e+20,0.7794876513367661,4096.0,1.0552022439071224e-17,-16;16,0.999966363011;0.999966363011
6,2,10;16,oscillatory,-1,-2.925879127280995e+20,-0.7537583546161912,2432.000000014901,6.265263323236928e-18,-15;15,-0.999963340049;-0.999963340049
7,2,11;17,oscillatory,1,2.925879127280995e+20,0.7537583546161912,2432.000000014901,6.265263323236928e-18,-15;15,0.999963340049;0.999963340049
8,2,12;14,oscillatory,-1,-2.8401598672708626e+20,-0.7316755529783129,-9216.0,-2.3742050487910256e-17,-15;16,-0.999960465705;-0.999960465705
9,2,13;15,oscillatory,1,2.8401598672708626e+20,0.7316755529783129,-9216.0,-2.3742050487910256e-17,-16;15,0.999960465705;0.999960465705
10,2,18;20,oscillatory,-1,-2.7322161603637215e+20,-0.70386733966189,9216.0,2.3742050487910256e-17,15;16,-0.999956423248;-0.999956423248
11,2,19;21,oscillatory,1,2.7322161603637215e+20,0.70386733966189,9216.0,2.3742050487910256e-17,-16;-15,0.999956423248;0.999956423248
12,2,22;24,oscillatory,-1,-2.6037067342554317e+20,-0.6707610323394574,11264.0,2.901806170744587e-17,-16;15,-0.999950889401;-0.999950889401
13,2,23;25,oscillatory,1,2.6037067342554317e+20,0.6707610323394574,11264.0,2.901806170744587e-17,-15;16,0.999950889401;0.999950889401
14,2,26;28,oscillatory,-1,-2.4566131520536012e+20,-0.6328671168112083,-12543.999999999993,-3.2315568719655606e-17,15,-0.999943382;-0.999943382
15,2,27;29,oscillatory,1,2.4566131520536012e+20,0.6328671168112083,-12543.999999999993,-3.2315568719655606e-17,-15,0.999943382;0.999943382
16,2,30;32,oscillatory,-1,-2.2932125987467497e+20,-0.5907722363168101,-8448.0,-2.1763546280584403e-17,14;16,-0.999933177596;-0.999933177596
17,2,31;33,oscillatory,1,2.2932125987467497e+20,0.5907722363168101,-8448.0,-2.1763546280584403e-17,-16;-14,0.999933177596;0.999933177596
18,2,34;36,oscillatory,-1,-2.1160459544344094e+20,-0.5451309666332464,-7168.0,-1.8466039268374644e-17,-16;16,-0.999919172634;-0.999919172634
19,2,35;37,oscillatory,1,2.1160459544344094e+20,0.5451309666332464,-7168.0,-1.8466039268374644e-17,-16;16,0.999919172634;0.999919172634
20,2,38;40,oscillatory,-1,-1.927881279161305e+20,-0.4966564091204938,-384.0,-9.892521036629273e-19,-16;16,-0.9998996423;-0.9998996423
21,2,39;41,oscillatory,1,1.927881279161305e+20,0.4966564091204938,-384.0,-9.892521036629273e-19,-16;16,0.9998996423;0.9998996423
22,2,42;44,oscillatory,-1,-1.731672854850486e+20,-0.44610963919709123,-2048.0,-5.276011219535612e-18,-16;16,-0.999871805154;-0.999871805154
