pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00000,91c05ddf1773c7b9,59a6ad84af6a17c7,geometry/91c05ddf1773c7b9.npz,geometry/59a6ad84af6a17c7.npz
P00001,f9ad6521cc16eaf0,49238ad8829bae54,geometry/f9ad6521cc16eaf0.npz,geometry/49238ad8829bae54.npz
P00002,4a3d49d4a6d7abb1,67174cefa038104d,geometry/4a3d49d4a6d7abb1.npz,geometry/67174cefa038104d.npz
P00003,c79db9c1264d0337,d09128eab6ba5c75,geometry/c79db9c1264d0337.npz,geometry/d09128eab6ba5c75.npz
P00004,5a064132a11051da,5dea72e5e8597663,geometry/5a064132a11051da.npz,geometry/5dea72e5e8597663.npz
P00005,f46273f272519c6e,78967922de41d5fd,geometry/f46273f272519c6e.npz,geometry/78967922de41d5fd.npz
P00006,e79010af339989f3,80dbea7560fe6024,geometry/e79010af339989f3.npz,geometry/80dbea7560fe6024.npz
P00007,82aaf8ed31c97b15,997782c24aa0e13e,geometry/82aaf8ed31c97b15.npz,geometry/997782c24aa0e13e.npz
P00008,0cd26a3dd6f2c3a5,e15971d56370a6e6,geometry/0cd26a3dd6f2c3a5.npz,geometry/e15971d56370a6e6.npz
P00009,96dcaf9fc7b2d45a,a52f362819a41995,geometry/96dcaf9fc7b2d45a.npz,geometry/a52f362819a41995.npz
P00010,da39ddb928b6723d,c20eddf591bc7fbe,geometry/da39ddb928b6723d.npz,geometry/c20eddf591bc7fbe.npz
P00011,0fef4728bcf4ef59,3b0b0da3cc822c49,geometry/0fef4728bcf4ef59.npz,geometry/3b0b0da3cc822c49.npz
P00012,710173249fd233b7,70d3d581c7c8861c,geometry/710173249fd233b7.npz,geometry/70d3d581c7c8861c.npz
P00013,05a40db5e73b3ef0,923147eaeb53e3aa,geometry/05a40db5e73b3ef0.npz,geometry/923147eaeb53e3aa.npz
P00014,267c97e67bec85b9,d99539c35209d03a,geometry/267c97e67bec85b9.npz,geometry/d99539c35209d03a.npz
P00015,04196f05a7802478,8508c40eb6bbc294,geometry/04196f05a7802478.npz,geometry/8508c40eb6bbc294.npz
