direction,beta,beta2,axis_projection_sq,energy_J,delta_E_over_E0,shape_rel_error
x,0.0,0.0,0.0,1.6365388273785015e-37,0.0,0.0
y,0.0,0.0,0.0,1.6365388273785015e-37,0.0,0.0
z,0.0,0.0,0.0,1.6365388273785015e-37,0.0,0.0
diag,0.0,0.0,0.0,1.6365388273785015e-37,0.0,0.0
x,0.0005,2.5e-07,0.0,1.6365388273785015e-37,0.0,1.1897481209779982e-16
y,0.0005,2.5e-07,0.0,1.6365388273785015e-37,0.0,2.8652929047393967e-16
z,0.0005,2.5e-07,2.5e-07,1.6365388273785015e-37,0.0,3.4482176508326287e-16
diag,0.0005,2.5e-07,8.333333333333335e-08,1.6365388273785015e-37,0.0,1.0641430698437791e-16
x,0.001,1e-06,0.0,1.6365388273785015e-37,0.0,1.1897481209779982e-16
y,0.001,1e-06,0.0,1.6365388273785015e-37,0.0,2.8652929047393967e-16
z,0.001,1e-06,1e-06,1.6365388273785015e-37,0.0,3.4482176508326287e-16
diag,0.001,1e-06,3.333333333333334e-07,1.6365388273785015e-37,0.0,1.1897481209779982e-16
x,0.002,4e-06,0.0,1.6365388273785015e-37,0.0,0.0
y,0.002,4e-06,0.0,1.6365388273785015e-37,0.0,0.0
z,0.002,4e-06,4e-06,1.6365388273785015e-37,0.0,3.981658777865274e-16
diag,0.002,4e-06,1.3333333333333336e-06,1.6365388273785015e-37,0.0,2.8652929047393967e-16
x,0.00364867628,1.331283859623464e-05,0.0,1.6365388273785015e-37,0.0,2.660357674609448e-16
y,0.00364867628,1.331283859623464e-05,0.0,1.6365388273785015e-37,0.0,0.0
z,0.00364867628,1.331283859623464e-05,1.331283859623464e-05,1.6365388273785015e-37,0.0,1.0641430698437791e-16
diag,0.00364867628,1.331283859623464e-05,4.437612865411548e-06,1.6365388273785015e-37,0.0,1.0641430698437791e-16
