source,source_family,canonical_id,variant,kind,topology_class,sha256
fremlin:10_1:knot.10_1,fremlin,10_1,knot.10_1,fseries,knot,a211ddc4c5376e680de437783edc6060e6c14ab3c1de526d94eb3ad58db9c1eb
fremlin:10_1:knot.10_1n,fremlin,10_1,knot.10_1n,fseries,knot,acde57b23c64b43156ea37eaef04a7733064eb7a6fc571eae8ba0fe2a4453caa
fremlin:12a_1202:knot.12a_1202,fremlin,12a_1202,knot.12a_1202,fseries,knot,caa73875bab307dce64baa1e0cb9e0a0054edf8649ececcea64a61f67aab0089
fremlin:12a_1202:knot.12a_1202z6,fremlin,12a_1202,knot.12a_1202z6,fseries,knot,99d4553339b63ae269c3e1ca5bf70171a002155b492e300533e1dae985897cd7
fremlin:15331:knot.15331,fremlin,15331,knot.15331,fseries,knot,fd5fc08c7652f044f91b5f7d5da74937689efa4c7e3b6a3f19caec6c6152ce7e
fremlin:1_1:knot.1_1,fremlin,1_1,knot.1_1,fseries,unknot,03921dfa09a446acd2feb91a1a9d3e4825aea162422df274aeb27af84b15fbf3
fremlin:3_1:knot.3_1,fremlin,3_1,knot.3_1,fseries,knot,f29c73b439fe4d645e67e8577ce0700cb006d393526e8674d251fe5b95583c4d
fremlin:3_1:knot.3_1p,fremlin,3_1,knot.3_1p,fseries,knot,ed13ffeeaaaef3a082313298f3992605ba96dedc1456551f152a70b24a52ede2
fremlin:3_1:knot.3_1u,fremlin,3_1,knot.3_1u,fseries,knot,cbdbaf08a467b769f4d7040ba9cb8c9fefa11d928c8dc1602b862c0b77fecc24
fremlin:4_1:knot.4_1,fremlin,4_1,knot.4_1,fseries,knot,2a603bb0e169a0217daeabfa179d43abd1ec42372dd51c5605926ddab4412c61
fremlin:4_1:knot.4_1d,fremlin,4_1,knot.4_1d,fseries,knot,35cde5f38a8f28ade098a4264aef444d9409a675b4d8c3c4431b0bfe8a54f966
fremlin:4_1:knot.4_1p,fremlin,4_1,knot.4_1p,fseries,knot,525ef21b7446fb820fc55e324bca18f4adb81f43a8063d6d42f40bdd1ddab44a
fremlin:4_1:knot.4_1z,fremlin,4_1,knot.4_1z,fseries,knot,0c1627082758aa6de4c30e49d78c79611634574329794233a5cc889741658933
fremlin:5_1:knot.5_1,fremlin,5_1,knot.5_1,fseries,knot,fe0e3bafc612fd517b5e54083f53e58caa8fc8ad424ea3baae0c0eae02da3638
fremlin:5_1:knot.5_1p,fremlin,5_1,knot.5_1p,fseries,knot,d1eae317d534a7e9e94bebe51729017e065c7f486bc83daf0a8a7beb48a8e3db
fremlin:5_1:knot.5_1u,fremlin,5_1,knot.5_1u,fseries,knot,40967dce870e753ec58ddf60ea1e24ee6be8f56ed896bc95ac8d2057145548cd
fremlin:5_2:knot.5_2,fremlin,5_2,knot.5_2,fseries,knot,66d4967373194aa89dcedbb17483f89ac4e4f628826eda9fcb5b06169d7ff3b8
fremlin:5_2:knot.5_2d,fremlin,5_2,knot.5_2d,fseries,knot,b5f29f0ef2fe0ca1dfea4ae85b0c3e887406979e31dd8aeb74ebd5e70bc2a3a4
fremlin:5_2:knot.5_2r,fremlin,5_2,knot.5_2r,fseries,knot,dc00c055ee281227174e7d5d870666718c2dfb79f9401c2e1add366b4de8f03a
fremlin:6_1:knot.6_1,fremlin,6_1,knot.6_1,fseries,knot,d9d4d4b5776c21de35cae284b26b1831ff30ad21e65c9cbf899c2946fbd4f7a4
fremlin:6_2:knot.6_2,fremlin,6_2,knot.6_2,fseries,knot,83f985f8562cc67b67ccf55a6200df0a75ee105c9085beeb94a7bc4f83dc24e5
fremlin:6_2:knot.6_2d,fremlin,6_2,knot.6_2d,fseries,knot,74a25b30a81bd39f686b602956f5b88dca4aa4d14fc387fb34cbf092e474b7c3
fremlin:6_2:knot.6_2p,fremlin,6_2,knot.6_2p,fseries,knot,48c7201e671b8c576f2418575a3b7dd0b6db266757584b35609afd9de195caa3
fremlin:6_3:knot.6_3d,fremlin,6_3,knot.6_3d,fseries,knot,9ebd76337b5d9615358acebb607db3f180b222f3718da380e38ceeb254aa4c59
fremlin:6_3:knot.6_3z,fremlin,6_3,knot.6_3z,fseries,knot,f8664bea8c0296953216ddf86503c741dac9b8dd77af30ca5e19bd96de62f9d3
