blind_id,source,topology_class,components,status,component_count,core_radius_norm,thickness_norm,core_clearance_radii,shape_velocity_ratio,normalized_growth,jacobian_convergence,nearest_self_distance,nearest_inter_distance,nearest_relevant_rate,TBK_block_diagonal_growth_penalty,ringdown_max_recurrence,ringdown_core_event,linking_drift_max,rpo_found,floquet_valid,floquet_rho_non,analysis_scope,jacobian_reference_eps,jacobian_convergence_eps_count,jacobian_robustness_eps_count,jacobian_robustness_relative_drift_max,dominant_kmax_boundary_weight,dominant_kelvin_k,kmax_basis_present,min_component_nyquist_k,spectral_nyquist_fraction,spectral_nyquist_safe,reduced_mode_count,spectral_extension_fast_path
B100,fremlin:8_16:knot.8_16,knot,1,LINEAR_FAIL,1,0.01525498621276673,0.01694998468085192,1.1111111111111112,0.7356493821853011,0.23385191581490428,0.24100422404778218,0.004567369625852662,inf,-0.10614638748603528,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.018518977563316864,3,True,360,0.08888888888888889,True,127,True
B101,fremlin:3_1:knot.3_1u,knot,1,LINEAR_PASS,1,0.12758157115741287,0.1417573012860143,1.1111111111111112,0.4903994299081207,0.10250683542865201,0.029153929825550807,0.2835146025720286,inf,-0.1263010274496611,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.00010448599278931045,2,True,360,0.08888888888888889,True,127,True
B102,knotplot:knot_7.4,knot,1,LINEAR_FAIL,1,0.08794087529561379,0.0977120836617931,0.6484408837585619,0.47617248031653514,0.03086414480019376,0.09855754329790392,0.19542589796397844,inf,0.011249577633296443,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.008773001512825547,14,True,360,0.08888888888888889,True,127,True
B103,fremlin:8_2:knot.8_2,knot,1,LINEAR_PASS,1,0.059789176298927015,0.0664324181099189,1.111111111111111,0.36575859227906193,0.06350664910390809,0.07869123504905423,0.1328648362198378,inf,0.06577265206745297,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.017897252174462062,4,True,360,0.08888888888888889,True,127,True
B104,fremlin:6_3:knot.6_3z,knot,1,LINEAR_FAIL,1,0.0774350004738845,0.08603888941542723,1.1111111111111112,0.3238083874608735,0.17951041168885792,0.030947496078038175,0.17207777883085446,inf,-0.722929364760992,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,6.9113176267135445e-28,5,True,360,0.08888888888888889,True,127,True
B105,fremlin:3_1:knot.3_1p,knot,1,LINEAR_PASS,1,0.14554124204031058,0.16171249115590064,1.1111111111111112,0.30453939602151653,0.06238258091499539,0.028816502718051862,0.3234249823118013,inf,-0.058242849773796124,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,1.858038064776874e-27,3,True,360,0.08888888888888889,True,127,True
B106,fremlin:8_5:knot.8_5,knot,1,LINEAR_FAIL,1,0.048597190225963934,0.05399687802884882,1.1111111111111112,0.4445678513708165,0.1473812817682891,0.0528443091454587,0.1409062679840633,inf,-0.10141655618852274,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.024214217589164814,4,True,360,0.08888888888888889,True,127,True
B107,fremlin:8_10:knot.8_10s,knot,1,LINEAR_FAIL,1,0.055350470174139126,0.06150052241571014,1.1111111111111112,0.33812924405790845,0.12339641959216244,0.07175588249484861,0.12300104483142028,inf,-0.6623397920592782,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.018919621020970855,10,True,360,0.08888888888888889,True,127,True
B108,fremlin:10_1:knot.10_1,knot,1,LINEAR_FAIL,1,0.01921163483648789,0.02134626092943099,1.1111111111111112,0.616374015920392,0.4130694071549524,0.09664885501030439,0.004369135652595731,inf,0.609655860797338,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.03502156307222344,12,True,360,0.08888888888888889,True,127,True
B109,fremlin:7_5:knot.7_5d,knot,1,LINEAR_FAIL,1,0.012436536923121248,0.013818374359023609,1.1111111111111112,0.8950052829501712,0.39312083542993337,0.3343492643072172,1.262715246531271e-15,inf,0.22264848324074718,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0006375964455496119,13,True,360,0.08888888888888889,True,127,True
B11,fremlin:8_2:knot.8_2d,knot,1,LINEAR_FAIL,1,0.02300400210309074,0.025560002336767487,1.111111111111111,0.561867212385872,0.36116359693940475,0.1140862926033314,9.71340326664067e-15,inf,0.23386623094175668,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.00282331967118755,28,True,360,0.08888888888888889,True,127,True
B110,fremlin:8_12:knot.8_12d,knot,1,LINEAR_FAIL,1,0.0001617932050865029,0.00017977022787389211,1.1111111111111112,0.9662410063199448,0.3394784327778859,0.6549777037160226,1.4902489359300866e-14,inf,-1.283237978123161,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.003276066930981328,15,True,360,0.08888888888888889,True,127,True
B111,knotplot:knot_6.2,knot,1,LINEAR_FAIL,1,0.09912847390585834,0.11014274878428704,0.6517578365549246,0.29624688705902263,0.05618147632234173,0.08392231908068395,0.22028744956619078,inf,-0.5725790901858641,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.013803503170790349,3,True,360,0.08888888888888889,True,127,True
B112,knotplot:link_2.2.1,link,2,LINEAR_PASS,2,0.08543019852161014,0.09492244280178905,1.1112018641001065,0.29006847093338123,0.005876162643667556,0.12026421045607819,0.26612973832794934,0.1898603916953107,0.00579856138818057,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.008077449250161382,5,True,180,0.17777777777777778,True,254,True
B113,fremlin:8_8:knot.8_8d,knot,1,LINEAR_FAIL,1,0.0011826783451477016,0.001314087050164113,1.1111111111111112,0.9878722748066059,0.20327893292737298,0.5914060594522745,1.0968707118257839e-14,inf,-0.06763951381140294,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.07590309755963136,10,True,360,0.08888888888888889,True,127,True
B114,fremlin:8_15:knot.8_15p,knot,1,LINEAR_FAIL,1,0.016503877790517898,0.01833764198946433,1.1111111111111112,0.706049764903885,0.41209782977581294,0.18956301367304376,0.0007263221381710139,inf,-1.9094591380847151e-13,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0014614725099303047,2,True,360,0.08888888888888889,True,127,True
B115,fremlin:8_6:knot.8_6,knot,1,LINEAR_FAIL,1,0.03814584846192294,0.04238427606880327,1.1111111111111112,0.5357916120774422,0.1568500574241665,0.03639201489751405,0.10803519042931585,inf,5.818232410533284e-13,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.003424737036966702,8,True,360,0.08888888888888889,True,127,True
B116,fremlin:8_20:knot.8_20r,knot,1,LINEAR_FAIL,1,0.017944757045856324,0.01993861893984036,1.1111111111111112,0.7391256830115762,1.0,0.08424155863133417,0.02300995160685726,inf,-0.0015821521574297948,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.010652899938237183,11,True,360,0.08888888888888889,True,127,True
B117,fremlin:7_1:knot.7_1,knot,1,LINEAR_FAIL,1,0.08672326641021283,0.09635918490023647,1.111111111111111,0.3300084735668485,0.18212540921424994,0.019276160402050255,0.19271836980047294,inf,-0.1837881785498726,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,1.4477798301840927e-13,2,True,360,0.08888888888888889,True,127,True
B118,fremlin:8_3:knot.8_3,knot,1,LINEAR_FAIL,1,0.04135390151909027,0.045948779465655856,1.1111111111111112,0.47841299107042756,0.4539502084875617,0.043016055476860195,0.09189755893131171,inf,-0.40088198498259797,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0012306151374288934,6,True,360,0.08888888888888889,True,127,True
B119,fremlin:8_15:knot.8_15,knot,1,LINEAR_FAIL,1,0.015651463517359892,0.017390515019288767,1.111111111111111,0.5173595069011178,0.508805818149329,0.13497242446691812,0.005503556512481235,inf,-0.20758493094149022,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.004500098720198694,14,True,360,0.08888888888888889,True,127,True
B12,knotplot:link_9.2.40,link,2,LINEAR_FAIL,2,0.05877142905684421,0.06530158784093801,1.1111167611891355,0.5716943377281579,0.029161444700779054,0.2283392156066162,0.13060383980819557,0.13060398586808264,-1.2450085132493003,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.002716845125569296,3,True,142,0.22535211267605634,True,254,True
B120,fremlin:5_2:knot.5_2d,knot,1,LINEAR_FAIL,1,0.01628525568292327,0.01809472853658141,1.1111111111111112,0.76579706809777,0.30579245904505004,0.25375656343210556,7.7694249093867e-15,inf,0.6311882890690258,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.023854227627469922,6,True,360,0.08888888888888889,True,127,True
B121,fremlin:7_2:knot.7_2r,knot,1,LINEAR_FAIL,1,0.01577882655258109,0.017532029502867877,1.111111111111111,0.6950734399423909,0.7154322326040711,0.10810324567417866,0.010367230354844688,inf,0.04623349961014278,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0029176075301609724,2,True,360,0.08888888888888889,True,127,True
B122,knotplot:torus_2.9,torus_knot,1,LINEAR_FAIL,1,0.0703040298222884,0.07811558869143155,0.7259736011609473,0.33879153677121887,0.2351930134331548,0.01845271992874747,0.15623346977124447,inf,0.3854514430223457,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,7.400031020981406e-07,2,True,360,0.08888888888888889,True,127,True
B123,knotplot:link_4.2.1,link,2,LINEAR_FAIL,2,0.12241819434358522,0.13602021593731692,1.111113305382073,0.6831685985809998,0.03118392890985366,0.1882024381704082,0.24341975089175313,0.2720409691120119,-0.7485875943253693,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,4.870065881235211e-05,3,True,173,0.18497109826589594,True,254,True
B124,knotplot:link_6.3.1,link,3,LINEAR_FAIL,3,0.08411955256946547,0.0934661695216283,1.043466497647431,0.46715646949031214,0.028973534733106526,0.31181277490458514,0.1427239645054247,0.186939557765423,0.525475845809019,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.004160998598340706,2,True,105,0.3047619047619048,True,381,True
B125,fremlin:1_1:knot.1_1,unknot,1,LINEAR_FAIL,1,0.8972284460911493,0.9969204956568325,1.1111111111111112,6.07112465825156e-09,0.310691772365006,0.015548268508559972,0.5260640968175084,inf,0.0,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,1.3320093538021978e-27,2,True,360,0.08888888888888889,True,127,True
B126,fremlin:7_4:knot.7_4,knot,1,LINEAR_FAIL,1,0.024455406428999783,0.027172673809999756,1.111111111111111,0.9269991408629398,0.9935365516397614,0.10584540387331436,3.114680500523854e-16,inf,-0.14316610290427242,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.02280850450342752,23,True,360,0.08888888888888889,True,127,True
B127,fremlin:7_1:knot.7_1p,knot,1,LINEAR_FAIL,1,0.05835220562639228,0.06483578402932476,1.1111111111111112,0.2646870283135243,0.18601747702779273,0.030784662813986525,0.12967156805864952,inf,-0.13918785872081185,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,1.1523307239130576e-06,3,True,360,0.08888888888888889,True,127,True
B13,fremlin:8_15:knot.8_15d,knot,1,LINEAR_FAIL,1,0.03486749052451681,0.03874165613835202,1.1111111111111112,0.680490991331263,0.8020368060999928,0.06056576000375336,3.3631113834009025e-15,inf,0.3048939138185838,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.029993580753184288,3,True,360,0.08888888888888889,True,127,True
B14,fremlin:9_2:knot.9_2,knot,1,LINEAR_FAIL,1,0.014976794517758983,0.01664088279750998,1.1111111111111112,0.8370583828786723,0.8966984115243728,0.1640542393802996,0.0031093909389314565,inf,-0.4020844408416868,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.00997460859598763,11,True,360,0.08888888888888889,True,127,True
B15,fremlin:8_17:knot.8_17,knot,1,LINEAR_FAIL,1,0.05483214424225107,0.0609246047136123,1.1111111111111112,0.4227831838335932,0.13337248433551346,0.03518485264362741,0.1218492094272246,inf,0.3429641525383993,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.017493221053583446,7,True,360,0.08888888888888889,True,127,True
B16,knotplot:knot_8.1,knot,1,LINEAR_FAIL,1,0.07670971388195873,0.08523301542439858,0.7286987734121665,0.474665237809667,0.0652721927130443,0.06113896165834391,0.17047114093262022,inf,-0.24974143638594387,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.015169033183376774,2,True,360,0.08888888888888889,True,127,True
