id,conway,D,component_count,total_L,component_lengths,max_harmonic
L8a19,.2:2 0,1.0,3,37.443804,13.237413|13.091085|11.115306,255
L8a20,"(2,2)(2,2)",1.0,3,37.407828,13.800958|11.806632|11.800238,255
L8a21,"2,2,2,2",1.0,4,37.66426,10.364046|9.323038|8.995673|8.981503,255
L8n1,"2 1 1,2,2-",1.0,2,33.308983,24.621347|8.687636,255
L8n2,"2 2,2,2-",1.0,2,32.107248,23.717113|8.390135,254
L8n3,"4,2,2-",1.0,3,30.286524999999997,11.005096|10.985035|8.296394,255
L8n4,"3 1,2,2-",1.0,3,32.547026,13.397621|10.73356|8.415845,255
L8n5,"(2,2)(2,2-)",1.0,3,33.368256,12.649289|11.917912|8.801055,255
L8n6,"(2,2)-(2,2)",1.0,3,32.734373000000005,15.967033|8.383972|8.383368,255
L8n7,"2,2,2,2-",1.0,4,33.686703,8.508227|8.483726|8.349067|8.345683,255
L8n8,"2,2,2,2--",1.0,4,33.128052000000004,8.282137|8.282075|8.281914|8.281926,255
L9a1,.3 1,1.0,2,40.884921,30.232443|10.652478,255
L9a2,.4,1.0,2,40.531121999999996,29.250055|11.281067,254
L9a3,.2 2,1.0,2,41.363171,29.959543|11.403628,256
L9a4,"2 2 1,2,2",1.0,2,41.255368,31.865105|9.390263,255
L9a5,"(2 1,2)(2,2)",1.0,2,41.293897,28.996363|12.297534,255
L9a6,"(3,2)(2,2)",1.0,2,41.128938000000005,28.358301|12.770637,256
L9a7,"2 3,2,2",1.0,2,40.218441,27.999784|12.218657,254
L9a8,"2 2,2,2+",1.0,2,41.44397,30.759222|10.684748,256
L9a9,.3:2 0,1.0,2,41.24403,28.904501|12.339529,255
L9a10,.3:2,1.0,2,40.356989,28.475965|11.881024,255
L9a11,"2 1 1,2,2+",1.0,2,40.876058,25.023228|15.85283,254
L9a12,"4 1,2,2",1.0,2,40.538201,28.221512|12.316689,256
L9a13,"3 1 1,2,2",1.0,2,40.855348,28.584679|12.270669,254
L9a14,"5,2,2",1.0,2,39.835826,27.816183|12.019643,255
L9a15,"3 2,2,2",1.0,2,40.400133,27.662374|12.737759,255
L9a16,"2 1,2,2++",1.0,2,41.286694999999995,30.317724|10.968971,255
L9a17,"3,2,2++",1.0,2,41.281351,31.016657|10.264694,255
L9a18,2 5 2,1.0,2,40.544868,29.881046|10.663822,255
L9a19,.2 1:2 0,1.0,2,41.516937,29.889803|11.627134,253
L9a20,8*2,1.0,2,41.500444,29.116734|12.38371,254
L9a21,.3.2,1.0,2,41.004996000000006,25.647701|15.357295,255
L9a22,.3.2 0,1.0,2,40.383997,25.170486|15.213511,255
L9a23,"3 1,2 1,2",1.0,2,40.479471000000004,26.145702|14.333769,254
L9a24,"3 1,3,2",1.0,2,40.396551,25.456056|14.940495,255
L9a25,3 1 3 2,1.0,2,40.146663,25.691048|14.455615,255
L9a26,2 2 2 1 2,1.0,2,41.338068,27.042578|14.29549,256
L9a27,2 2 1 1 1 2,1.0,2,40.995055,21.420546|19.574509,255
L9a28,"4,2 1,2",1.0,2,40.255808,23.625519|16.630289,255
L9a29,"4,3,2",1.0,2,39.871843,23.226591|16.645252,255
L9a30,4 3 2,1.0,2,39.927853999999996,25.643379|14.284475,255
L9a31,.2.2.2 0,1.0,2,41.017797,23.607786|17.410011,255
L9a32,2:2:2,1.0,2,41.213469,26.584644|14.628825,254
L9a33,"2 1,2 1,2 1",1.0,2,40.92996,23.505426|17.424534,255
L9a34,3 3 1 2,1.0,2,39.99847,24.27035|15.72812,255
L9a35,3 1 1 1 3,1.0,2,40.190256,23.837023|16.353233,255
L9a36,6 1 2,1.0,2,39.21834,19.824726|19.393614,255
L9a37,3 2 1 1 2,1.0,2,40.610305999999994,23.982939|16.627367,254
L9a38,4 1 1 3,1.0,2,39.856766,20.56193|19.294836,255
L9a39,5 1 1 2,1.0,2,39.658879999999996,20.110626|19.548254,255
L9a40,4 1 4,1.0,2,39.335342,20.464666|18.870676,255
L9a41,"3,3,2 1",1.0,2,40.207422,23.687801|16.519621,255
L9a42,2:2 0:2 0,1.0,2,40.911028,20.925434|19.985594,255
L9a43,"2 1,2,2,2",1.0,3,41.422036,21.017624|11.575016|8.829396,255
L9a44,"3,2,2,2",1.0,3,41.158949,21.034069|10.991241|9.133639,255
L9a45,"2,2,2+++",1.0,3,40.870927,22.635872|9.220269|9.014786,255
L9a46,.2 1 1,1.0,3,41.017848,18.711931|11.238757|11.06716,255
L9a47,"2 1 1 1,2,2",1.0,3,40.798183,18.215862|13.392897|9.189424,255
L9a48,"4,2,2+",1.0,3,40.166901,17.128965|13.907724|9.130212,255
L9a49,"3 1,2,2+",1.0,3,40.611529,17.417322|14.233603|8.960604,254
L9a50,"2 1 2,2,2",1.0,3,40.399281,18.024044|11.741819|10.633418,255
L9a51,.2 1:2,1.0,3,41.047127,17.401968|12.075224|11.569935,255
L9a52,"(2,2+)(2,2)",1.0,3,40.692242,16.433727|15.031979|9.226536,255
L9a53,".(2,2)",1.0,3,41.322839,19.336014|11.796752|10.190073,255
L9a54,"(2,2)1(2,2)",1.0,3,40.917113,19.269693|10.841366|10.806054,255
L9a55,"2,2,2,2+",1.0,4,40.867584,13.991325|9.168604|8.855843|8.851812,255
L9n1,"3 2,2,2-",1.0,2,35.57676,27.150475|8.426285,254
L9n2,"3 1 1,2,2-",1.0,2,37.060064,28.276917|8.783147,255
L9n3,"2 3,2,2-",1.0,2,35.025136,26.431185|8.593951,254
L9n4,"5,2,2-",1.0,2,33.157981,24.597996|8.559985,255
L9n5,"4 1,2,2-",1.0,2,36.200352,27.703565|8.496787,253
L9n6,"(3,2)(2,2-)",1.0,2,37.107201,28.376249|8.730952,254
L9n7,"2 2 1,2,2-",1.0,2,36.999224999999996,28.19993|8.799295,254
L9n8,"(2 1,2)(2,2-)",1.0,2,37.330778,28.731833|8.598945,254
L9n9,"(2 1,2)-(2,2)",1.0,2,36.802337,28.303998|8.498339,255
L9n10,"(2 1,2-)(2,2)",1.0,2,37.365128999999996,27.394978|9.970151,255
L9n11,"(3,2-)(2,2)",1.0,2,36.680367000000004,23.947962|12.732405,255
L9n12,"(3,2)-(2,2)",1.0,2,36.161828,27.803802|8.358026,256
L9n13,"3,2 1,2 1-",1.0,2,35.552082,20.294121|15.257961,255
L9n14,"4,2 1,2-",1.0,2,34.542429,22.902111|11.640318,255
L9n15,"4,3,2-",1.0,2,33.135044,21.827566|11.307478,255
L9n16,"3 1,3,2-",1.0,2,35.286608,21.23926|14.047348,254
L9n17,"3 1,2 1,2-",1.0,2,36.500986,22.401981|14.099005,254
L9n18,"3,3,3-",1.0,2,33.996685,17.780621|16.216064,255
L9n19,2:-2 0:-2 0,1.0,2,34.675358,18.290913|16.384445,255
L9n20,"2 1,2,2,2-",1.0,3,37.501471,20.541018|8.542136|8.418317,255
L9n21,"3,2,2,2--",1.0,3,36.455762,19.797504|8.34616|8.312098,254
L9n22,"3,2,2,2-",1.0,3,37.214554,20.274014|8.533942|8.406598,255
L9n23,"2 1 2,2,2-",1.0,3,35.968138,17.106981|10.496027|8.36513,255
L9n24,"2 1 1 1,2,2-",1.0,3,37.185024999999996,17.732632|10.88741|8.564983,255
L9n25,"(2,2+)(2,2-)",1.0,3,36.415109,16.9452|10.961699|8.50821,255
L9n26,"(2,2+)-(2,2)",1.0,3,36.431049,18.991184|9.06878|8.371085,255
L9n27,".-(2,2)",1.0,3,37.579017,19.97471|9.21148|8.392827,255
L9n28,".(2,2-)",1.0,3,38.034631000000005,19.893042|9.792818|8.348771,255
