axis,case,value,stage,q,cell_over_core,backend,n_nodes,ring_radius_over_core,image_shell,core_model,fd_eps_over_core,spectral_abscissa,gap_after_neutral,gap_mode_branch,unstable_count,mode_min_overlap_prev,mode_median_overlap_prev,gap_mode_overlap_prev,self_jacobian_norm,interaction_jacobian_norm,interaction_to_self_norm,neutral_effective_norm,fd_roundoff_floor,neutral_signal_to_fd_floor,neutral_signal_gate_ok,neutral_gap_normalized,neutral_abscissa_normalized,neutral_positive_count,raw_rms,shape_rms,relative_shape_residual,equilibrium_gate_ok,interaction_decay_exponent
resolution,N32,32,coarse,2.31,10.074424655013587,cpp,32,4.0,2,0,0.0001,0.02212887197256674,0.007564957960240929,6,8,1.0,1.0,1.0,0.5954337493135075,0.09136691185780905,0.15344597440630225,0.011909747567271029,2.220446049250313e-12,5363673470.6038475,True,1.3523194725506597e-05,2.718831197573196e-13,0,0.028389911404567352,0.0023357652037348914,0.08227448020000214,False,
resolution,N32,32,coarse,2.335,10.329459929369532,cpp,32,4.0,2,0,0.0001,0.019649948387697704,0.004966637553945531,6,8,0.2829299244570388,0.9484468508387587,0.917057599904947,0.5954337493135075,0.0751108996223834,0.12614484769964904,0.00963601683606891,2.220446049250313e-12,4339676183.225576,True,1.508283516186879e-05,-1.0262328045863725e-13,0,0.030514936469659686,0.0019675177117264193,0.06447720163804627,False,7.836708608308578
resolution,N32,32,coarse,2.36,10.59095145243378,cpp,32,4.0,2,0,0.0001,0.01761624507926608,0.0023850404444824263,7,6,0.1238306886914916,0.9917554877192941,0.46902705708901543,0.5954337493135075,0.06206837356231039,0.1042406038184278,0.007853889868462879,2.220446049250313e-12,3537077548.5018334,True,1.598964518251463e-05,-3.118832910030747e-15,0,0.03240404072852285,0.0016353679129178064,0.050468024238665844,False,7.62916424895263
resolution,N32,32,coarse,2.385,10.859062664920515,cpp,32,4.0,2,0,0.0001,0.01593693486852839,0.005638973839501733,11,6,0.0807140717160265,0.9923403791648175,0.9990590940318854,0.5954337493135075,0.05155278326731333,0.08658021707158857,0.006446169243186892,2.220446049250313e-12,2903096540.1583643,True,1.652017254609431e-05,3.944407048366342e-13,0,0.03406835507666599,0.0013482224161847326,0.03957403910904268,True,7.425215047547919
resolution,N32,32,coarse,2.41,11.133961145065307,cpp,32,4.0,2,0,0.0001,0.014544422595708215,0.004977660773502284,10,6,0.21279562221809242,0.9948074522231769,0.9995811662684029,0.5954337493135075,0.04303247726741672,0.07227080647852106,0.005325344315025201,2.220446049250313e-12,2398321867.2767086,True,1.680457653895039e-05,1.3139010456955408e-13,0,0.03552681857188352,0.001105969410146432,0.03113055023231699,True,7.226043388560433
resolution,N32,32,coarse,2.435,11.41581871336694,cpp,32,4.0,2,0,0.0001,0.013386357513309147,0.004364308762234707,10,6,0.26498887791293985,0.9862466999503491,0.999705713289462,0.5954337493135075,0.03609307161680504,0.06061643576370633,0.004425995593127766,2.220446049250313e-12,1993291210.3953664,True,1.693395049534028e-05,-3.671119186299406e-14,0,0.036801064328990954,0.0009045760217083852,0.024580159248160195,True,7.034167638025227
resolution,N32,32,coarse,2.46,11.704811539980854,cpp,32,4.0,2,0,0.0001,0.012421159194300643,0.0037792369170838616,11,6,0.31794334175388134,0.9967253456973453,0.9997027737274691,0.5954337493135075,0.0304110680060419,0.051073806348907305,0.0036989837073955014,2.220446049250313e-12,1665874164.6275916,True,1.695316048468534e-05,4.013722854580748e-13,0,0.037912691901850835,0.0007386615531572771,0.01948322622591768,True,6.851772145989474
resolution,N32,32,coarse,2.485,12.001120254831195,cpp,32,4.0,2,0,0.0001,0.01161526998160499,0.003205960003768004,10,6,0.10079234209936572,0.9968759257294059,0.9996393181834029,0.5954337493135075,0.025733629821840482,0.04321829229785768,0.0031071513024699196,2.220446049250313e-12,1399336544.7987282,True,1.690991945852088e-05,7.200809332217738e-13,0,0.038881929150744184,0.0006027375130404065,0.015501738885012868,True,6.680317257088067
resolution,N32,32,coarse,2.51,12.30493006051041,cpp,32,4.0,2,0,0.0001,0.010941328228419622,0.002624530766286722,11,6,0.1314639417117797,0.9964202479974358,0.9995206869896829,0.5954337493135075,0.021862748666979966,0.03671734881031878,0.0026221882056406366,2.220446049250313e-12,1180928582.5818481,True,1.6809141851876255e-05,4.765180948816497e-13,0,0.03972707022856155,0.0004917571665791174,0.012378389942925401,True,6.520579018298029
resolution,N32,32,coarse,2.535,12.616430848036902,cpp,32,4.0,2,0,0.0001,0.010376875868990528,0.0020005465516502686,11,6,0.1388998366153803,0.9918936310594382,0.9992982024520399,0.5954337493135075,0.018642878360507455,0.03130974416885399,0.0022223540041187637,2.220446049250313e-12,1000859266.4834594,True,1.669297767055596e-05,1.0549055728882768e-13,0,0.040464329670276224,0.0004013158182235218,0.009917767611465346,True,6.372799943784378
