link_id,conway,crossings,components,total_length_D,standard_ropelength,length_imbalance_cv,max_curvature_Dinv,bending_integral,spectral_entropy,spectral_tail,total_abs_linking,signed_linking,linking_integer_error,refined_mutual_min_D,contact_edges,contact_cycle_rank,mirror_proxy,best_relative_equilibrium_score
L4a1,4,4,2,20.010572978253894,40.02114595650779,0.13355507470596212,4.964881302620721,37.05811923895264,0.060467415510538594,8.780309707240067e-10,2.0000357207456827,2.0000357207456827,3.572074568269912e-05,0.9998309679292819,2048,0,0.29637624815740543,0.157243785920535
L5a1,2 1 2,5,2,25.051152971943942,50.102305943887885,0.24938382651446403,5.017497766823974,38.625929556765364,0.08570216568553694,4.243259764085029e-09,1.912328327687454e-08,-1.912328327687454e-08,1.912328327687454e-08,0.9997955328722773,1453,0,0.2522489076293687,0.23630893230546265
L6a1,2 2 2,6,2,29.305871660606705,58.61174332121341,0.3277614447664856,5.034640654930548,47.86876387770228,0.12250635896440575,1.0898083527209542e-08,2.0000730526749932,-2.0000730526749932,7.305267499324586e-05,0.9996197920174972,1183,0,0.29254677384946387,0.33697379805826305
L6a2,3 3,6,2,28.347013771312582,56.694027542625165,0.0006099511362446213,5.665165226626972,52.96311059729507,0.13317381137666134,3.112433855907896e-09,3.0000850326512993,-3.0000850326512993,8.503265129933268e-05,0.9995093812828664,2039,0,0.29416567807211036,0.38679923215910267
L6a3,6,6,2,27.18158576755969,54.36317153511938,2.6618284638439675e-05,3.7233462061058016,48.63107364806024,0.11236682339202242,2.1851559654224557e-09,3.000091843107595,3.000091843107595,9.184310759513536e-05,0.9996739133848035,2048,0,0.312014037888256,0.21393783605231326
L6a4,.1,6,3,29.00625680579349,58.01251361158698,2.1021915054731555e-06,3.5002573843651956,49.00426293325392,0.01227133675297395,6.593153430633828e-10,1.2363036035214158e-10,8.44299532241108e-11,7.891390840517452e-11,0.9999724640735455,3978,112,0.0006876919144189695,0.19886536408048403
L6a5,"2,2,2",6,3,28.9102563913009,57.8205127826018,0.12184728805815526,5.6051860624879595,53.76384465977829,0.04267004020944839,1.1641671309616328e-09,3.0000453779057814,1.000011082829802,1.7147537989758987e-05,0.999787597760498,3194,23,0.27921007632990946,0.21953279164721745
L6n1,"2,2,2-",6,3,25.174941707742448,50.349883415484896,0.003750836550443978,6.203145320714005,40.39472324515669,0.011583820757901292,4.774386789431871e-10,3.000024701606235,-1.000007742742283,9.1517852853773e-06,0.9998610193321703,3364,135,0.316769985909559,0.18736987701078403
L7a1,.2,7,2,33.270502978421185,66.54100595684237,0.3734246689746562,4.322693424581734,50.066026272463006,0.08455946571612843,1.7620031379623423e-08,9.419701634040741e-06,-9.419701634040741e-06,9.419701634040741e-06,0.9993680518500465,899,0,0.3147116775927157,0.20164057102570623
L7a2,"2 1,2,2",7,2,33.05890083908985,66.1178016781797,0.4335410336368615,4.746873889626085,48.44096019289725,0.1269546520750847,1.521966538634917e-08,2.0000922102493823,2.0000922102493823,9.221024938232958e-05,0.999519576459982,860,0,0.3201698201480906,0.22944346788112369
L7a3,"3,2,2",7,2,32.59229260191959,65.18458520383918,0.29012704497320474,5.149933668220398,54.395719036033626,0.1165714449373435,9.54504153862229e-09,1.1492757163368962e-07,1.1492757163368962e-07,1.1492757163368962e-07,0.999639195156438,908,0,0.29203698833609215,0.26122078400747906
L7a4,2 3 2,7,2,33.03713981929671,66.07427963859342,0.3867254779325469,3.8547509040409214,52.249869210682824,0.13646794283258265,1.8823256861422887e-08,2.3468850953043645e-06,-2.3468850953043645e-06,2.3468850953043645e-06,0.9992989741904782,1045,0,0.282939026101456,0.2784718876495822
L7a5,3 1 1 2,7,2,32.523676609027234,65.04735321805447,0.12879923108425392,4.693160579069373,48.49710284994255,0.1436526647386258,4.964642899330477e-09,1.0000314468056046,1.0000314468056046,3.144680560462909e-05,0.9995524473603021,1415,0,0.27170147175983406,0.2722950115152324
L7a6,4 1 2,7,2,32.12594920437007,64.25189840874015,0.1367055663925026,4.575676426391792,60.476759286595126,0.14627545978310721,8.09109517308996e-09,1.0000346733732457,1.0000346733732457,3.467337324569719e-05,0.9994270716753311,1485,0,0.29102429352104303,0.2573865772346529
L7a7,"2,2,2+",7,3,32.97597214270288,65.95194428540576,0.2762671088269636,5.913130044082121,45.76803849356301,0.06228035773774567,2.121029801954364e-09,3.0000541778484155,1.000009462607887,2.235762026425725e-05,0.9997302334138334,2497,0,0.2518134777974506,0.2662486730873252
L7n1,"3,2,2-",7,2,27.766259229727574,55.53251845945515,0.4017482508966695,5.024880076265905,36.125439771546105,0.05782493332398891,5.67728219872395e-09,2.0000323243534117,-2.0000323243534117,3.23243534117168e-05,0.9998729940518335,615,0,0.17642479064933403,0.2055081141212386
L7n2,"2 1,2,2-",7,2,28.91878944174882,57.83757888349764,0.41484354058975853,4.1769295640768815,41.47592896619335,0.07581452694502824,9.672366237148056e-09,1.114195544352453e-06,-1.114195544352453e-06,1.114195544352453e-06,0.9996789604191644,1022,0,0.24373739999830593,0.2263727862572241
