pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_BEBA6E101D05,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_994108B98381411F,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_3F1209A59A8C,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_817E50CD7B3DB5EE,0.75,0.75,total_beta,1.0,3,1.0,general
PAIR_E99333BCDE43,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_530F66CC61ABE54C,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_05138592DC28,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_766764CD23FAE6B7,1.5,1.5,total_beta,1.0,3,1.0,general
PAIR_FA3F55680807,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_8AE94B03525A3DB8,2.0,2.0,total_beta,1.0,3,1.0,general
PAIR_1B4F176F97AE,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_26C640A7F47C26C1,-2.0,-2.0,total_beta,1.0,3,1.0,general
PAIR_736B0AF6833C,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_A2D1BB0A72CFE789,-1.5,-1.5,total_beta,1.0,3,1.0,general
PAIR_F3AE7BDCFE0E,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_E6CC9DE2D3B9C532,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_7E083E90EAE8,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_B4CA1511F8058348,-0.75,-0.75,total_beta,1.0,3,1.0,general
PAIR_6A1B809B2F4D,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_A4D72742C192AAAC,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_61AAD32452B1,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_83E872EDFD385415,-0.25,-0.25,total_beta,1.0,3,1.0,general
PAIR_A01798059150,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_0A2B2388CE13AD72,0.25,0.25,total_beta,1.0,3,1.0,general
PAIR_AF6772ACC728,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_845CCBF129BEA1A0,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_E0A5BDBB89D8,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_59D567FFDC42F5E6,0.75,0.75,total_beta,1.0,3,1.0,general
PAIR_2BBEC5F3EE95,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_7852BA43CA70CBF1,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_348513C126C1,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_4A6DA1F05651077A,1.5,1.5,total_beta,1.0,3,1.0,general
PAIR_0F5672E179DB,TORUS_T2_9,torus,CAND_0B937FDDC610EA1B,CAND_CFB3561530CE4503,2.0,2.0,total_beta,1.0,3,1.0,general
PAIR_4D086092A8E6,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_C179BF35B3D4401E,-2.0,-2.0,total_beta,1.0,3,1.0,general
PAIR_2A84152D113C,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_261EB29869ED3FBA,-1.5,-1.5,total_beta,1.0,3,1.0,general
PAIR_216459ACE751,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_1C5A41BD99A449B7,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_04CC2531F1F1,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_2C97736D31DD5370,-0.75,-0.75,total_beta,1.0,3,1.0,general
PAIR_99FEF6CEC315,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_685034BC22C42557,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_AD0B36D2F3A2,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_EC9D2320DD023013,-0.25,-0.25,total_beta,1.0,3,1.0,general
PAIR_DDC0DF64ABED,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_15B0FAB741889B82,0.25,0.25,total_beta,1.0,3,1.0,general
PAIR_A2EF8C90E739,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_C7BD348E2444E008,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_95DFFF05F5E1,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_0AEE5B31E10267C4,0.75,0.75,total_beta,1.0,3,1.0,general
PAIR_D713D86309E6,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_EB14DB5A5B8C5A30,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_38CD6D97BCFA,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_23EA47678F34D9CF,1.5,1.5,total_beta,1.0,3,1.0,general
PAIR_7BACA767B67C,TWIST_4_1,twist,CAND_A2C20509B7C05230,CAND_8E570E6163095703,2.0,2.0,total_beta,1.0,3,1.0,general
PAIR_26DF0C8F7DAB,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_F9E0EC8E7747A8CF,-2.0,-2.0,total_beta,1.0,3,1.0,general
PAIR_D642B37924A8,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_8CF4646ABE4362DA,-1.5,-1.5,total_beta,1.0,3,1.0,general
PAIR_02BA73F41504,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_EE6651AA7FF8CBBD,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_4EA77E40ACCF,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_414E1DA894A20D77,-0.75,-0.75,total_beta,1.0,3,1.0,general
PAIR_C028DCFF79AB,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_7F2E734F13721C7A,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_A8A58544A628,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_3B1CA1BC798BA971,-0.25,-0.25,total_beta,1.0,3,1.0,general
PAIR_35395555660B,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_A52970183193042D,0.25,0.25,total_beta,1.0,3,1.0,general
PAIR_120D8FC39114,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_805FDF7BF5DE3B0E,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_11E1101989B9,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_337B01B13364BB20,0.75,0.75,total_beta,1.0,3,1.0,general
PAIR_57188A92576B,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_DBB06A327E7D59A7,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_82C9E9317353,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_9FA425E8ED6FB8C2,1.5,1.5,total_beta,1.0,3,1.0,general
PAIR_AB101F56F23A,TWIST_5_2,twist,CAND_833F77C8012019B6,CAND_90C9DDD4A6EAFF82,2.0,2.0,total_beta,1.0,3,1.0,general
PAIR_57986E7FB295,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_3178612B0F163118,-2.0,-2.0,total_beta,1.0,3,1.0,general
PAIR_F282B7E85D83,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_2842EC0B44D6B614,-1.5,-1.5,total_beta,1.0,3,1.0,general
PAIR_84B187C6BAB7,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_57EB6B860AB21CAC,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_0A0DA4BC6F43,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_3F308A4BCEB13CD9,-0.75,-0.75,total_beta,1.0,3,1.0,general
PAIR_2A60DABD1F91,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_EE69249A80F0C374,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_5FBE8651979F,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_FDB51FAA02CD23AB,-0.25,-0.25,total_beta,1.0,3,1.0,general
PAIR_1C3774F74C21,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_A47EDDBF84076AEC,0.25,0.25,total_beta,1.0,3,1.0,general
PAIR_C271235222E2,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_B42DBC57294BC88A,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_38ECB991D898,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_7D96CEA746587C00,0.75,0.75,total_beta,1.0,3,1.0,general
PAIR_B9C8EDE65B37,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_F702D84230A6C51E,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_A0C1569D6F18,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_876FCC9187B04AC2,1.5,1.5,total_beta,1.0,3,1.0,general
PAIR_CB1A42994BA1,TWIST_7_2,twist,CAND_B9CD37204C9E580F,CAND_CBEC8E921AC65083,2.0,2.0,total_beta,1.0,3,1.0,general
PAIR_4B0FBB8084AC,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_AA5ED753609E4686,-2.0,-2.0,total_beta,1.0,3,1.0,general
PAIR_2E916159A62B,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_5722F3AB1F3BA276,-1.5,-1.5,total_beta,1.0,3,1.0,general
PAIR_AE2DBD3138F9,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_BE971437AD4B8926,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_400B9C02C4AD,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_B89DC2E6FD680434,-0.75,-0.75,total_beta,1.0,3,1.0,general
PAIR_F44533DCE5F2,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_7A9066CE71E013A5,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_63D60E2A9A6C,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_33EC326F8813447D,-0.25,-0.25,total_beta,1.0,3,1.0,general
PAIR_A83B214AD9A4,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_5FA244C461FE2753,0.25,0.25,total_beta,1.0,3,1.0,general
PAIR_610FE1EFBB95,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_1E98C7D5A82A3308,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_CCF994DA6959,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_034692412CCAAD2A,0.75,0.75,total_beta,1.0,3,1.0,general
PAIR_8DEC9F2C8084,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_2151DD2D1F53FFDD,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_1CCD7A3C15D2,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_ABF6696C05834A34,1.5,1.5,total_beta,1.0,3,1.0,general
PAIR_0EF6037E984B,TRIPLE_GEAR_T3_3,triple_gear,CAND_E54F45B88D960129,CAND_C8D7A00CB5CC6AA5,2.0,2.0,total_beta,1.0,3,1.0,general
