n,D,offset_over_D,eps_over_D,channel_phase_rad,gamma_plus,gamma_minus,backend,period_hat,dt_hat,step,shift,recurrence_rms_over_D,plus_rms_over_D,minus_rms_over_D,endpoint_vectorfield_error,pair_min_distance_over_D,segment_max_over_min,accepted
28,1.0,0.25,0.1,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,19,0.41732832404522396,0.47427007970262025,0.3512744676170774,0.5641639326192357,0.34261815628723596,2.616012320178938,False
28,1.0,0.25,0.07,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,19,0.42776783532476786,0.4871954534264494,0.3586240817868646,0.5804988033385609,0.3437646747386526,2.6597341388465017,False
28,1.0,0.35,0.1,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.4318773464738083,0.518162966847803,0.3233314469426044,0.7732218246670731,0.4437906023336902,11.078512334338095,False
28,1.0,0.25,0.04,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,19,0.43487453114520924,0.49599320731078184,0.3636240558311495,0.5918990587441089,0.34470384084990097,2.6890683972502836,False
28,1.0,0.35,0.07,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.44483365401227837,0.5340971782856124,0.33240662392795,0.8465468201758294,0.4737260157325951,9.760695302944852,False
28,1.0,0.65,0.1,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.4481070213316266,0.40216722044311937,0.48975640060591463,1.0149947801473107,0.2586490393030213,3.8983699541152705,False
28,1.0,0.35,0.04,1.5707963267948966,1.0,-1.0,cpp,0.18,0.006,30,0,0.4543891463829239,0.5461524914342583,0.3386095816738755,0.8692629033086325,0.4722500014046249,7.929935512689068,False
28,1.0,0.65,0.07,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.45834610253322133,0.4105580958866405,0.501601783606004,1.021869618345351,0.29140308264348763,4.106472295252625,False
28,1.0,0.65,0.1,3.141592653589793,1.0,-1.0,cpp,0.18,0.006,30,0,0.4589215906712056,0.5256560303077694,0.3806623051596473,1.2829159571414261,0.4576663635873074,13.298431052504833,False
28,1.0,0.65,0.07,3.141592653589793,1.0,-1.0,cpp,0.18,0.006,30,0,0.46530166492263564,0.5315873981884821,0.3878480589699446,1.2660719452949432,0.47889650531631334,14.398306460493885,False
28,1.0,0.65,0.04,0.0,1.0,-1.0,cpp,0.18,0.006,30,0,0.4655161213959594,0.4167682463325881,0.5096221614175882,1.0333539232253153,0.30463972231032893,4.24913958513827,False
28,1.0,0.65,0.04,3.141592653589793,1.0,-1.0,cpp,0.18,0.006,30,0,0.46934346215852657,0.5359703628753031,0.39153842858807664,1.2436182652672363,0.4640693319529558,14.575474039093642,False
28,1.0,0.35,0.1,3.141592653589793,1.0,-1.0,cpp,0.18,0.006,30,0,0.4888909695753626,0.5611108681650337,0.4039595943801289,1.9021951656178258,0.2262485115394749,4.76269005530397,False
28,1.0,0.5,0.1,3.141592653589793,1.0,-1.0,cpp,0.18,0.006,30,0,0.4949810588706497,0.5564424923299514,0.4247166702768459,1.2294098156055275,0.1697513990511503,10.08747509634366,False
28,1.0,0.35,0.04,3.141592653589793,1.0,-1.0,cpp,0.18,0.006,30,0,0.49584180970622294,0.5780106772968459,0.39701619291450313,2.1443385801684363,0.30790276093400043,5.211818447206209,False
