amplitude_over_R,steepness_proxy_mA_over_R,omega_hat,phase_rms,amp_mean
0.005,0.015,-11.301308412793926,0.03927385127214138,0.00464054039659968
0.02,0.06,-11.249856398254154,0.038347548839181296,0.018485352680342647
0.05,0.15000000000000002,-10.988751373699715,0.03415037598859105,0.045299132692633165
