kr_c,omega_hat_longwave,frequency_longwave_Hz,omega_hollow_rad_s,frequency_hollow_Hz
0.01,-0.0002485550850823252,3.0711216656707292e+16,-1.8329173475937523e+17,2.917178561484314e+16
0.03,-0.0017426202358402775,2.1531640600121757e+17,-1.2672163836517545e+18,2.016837514252124e+17
0.05,-0.004202079736515505,5.192047515509229e+17,-3.029944486643707e+18,4.822306423433812e+17
0.1,-0.013342583043262293,1.6485961591412065e+18,-9.502782264574185e+18,1.512414770532977e+18
0.2,-0.03950738856185027,4.881493248314888e+18,-2.798612763880785e+19,4.454130551716983e+18
0.5,-0.1323848370272947,1.6357337491854215e+19,-1.0165875677752787e+20,1.6179493649720277e+19
1.0,-0.1829657578292062,2.2607065261168394e+19,-2.3573110288055507e+20,3.751777026394447e+19
