link_id,component_a,component_b,sampled_min_distance_D,refined_min_distance_D,refined_t,refined_u,contact_sample_count,contact_coverage_a,distance_q01_D,distance_q05_D
L2a1,1,2,0.9999999999999998,0.9999999999999998,2.405281875404685,3.141592653589793,256,1.0,0.9999999999999999,0.9999999999999999
L4a1,1,2,0.9999858727126346,0.9998322058490772,0.5317012430189081,1.5327349512453616,256,1.0,0.9999950847894762,0.9999996299396807
L5a1,1,2,1.000005328215122,0.9998112778930173,2.953561577282245,1.7310657984833842,184,0.71875,1.0000089696020005,1.0000331603159611
L6a1,1,2,0.9999966082248505,0.9996483290609757,5.780319633560537,4.9485661720267515,152,0.59375,1.0000169901147686,1.0000638903194239
L6a2,1,2,0.9999886372082508,0.9996323305505963,3.767118553434477,5.0176886867842505,256,1.0,0.9999997391214586,1.0000024746337441
L6a3,1,2,0.9999947715017673,0.9997503714997026,5.115610974890769,3.9151157391344227,256,1.0,0.9999966097470526,1.000004727935086
L6a4,1,2,0.9999953432077731,0.9999926511370667,5.39784117536407,4.712955803523949,226,0.8828125,0.9999971223919727,1.00000128039959
L6a4,1,3,0.99999474251707,0.9999724640735477,1.2960879736500235,6.16202523299229,58,0.2265625,1.000019268432312,1.0000451531809478
L6a4,2,3,0.9999984705646805,0.999995584822433,1.9621874714372207,1.5714232521626859,226,0.8828125,1.0000016936592055,1.0000063873597873
L6a5,1,2,0.9999911720305446,0.9998037040486374,2.6617108347140563,1.3081348859920072,136,0.53125,0.999993907449804,1.000003902235124
L6a5,1,3,0.9999947645286075,0.999828237945153,5.852479469823136,4.972150265861891,138,0.5390625,1.0000026013823458,1.0000108026477155
L6a5,2,3,1.000036447527587,0.9999279335733235,4.751399267089349,3.0282018607634043,135,0.52734375,1.0000493470658198,1.0000599359997593
L6n1,1,2,0.9999852551989244,0.9998975646281942,1.7743112505317713,5.264387904658694,158,0.6171875,0.9999918683039163,1.0000004043363646
L6n1,1,3,0.9999940392105451,0.9999285774680235,5.186806205423988,0.8456187546557304,145,0.56640625,0.9999965136534199,1.0000008789520902
L6n1,2,3,1.0000137313329185,0.9999257659813917,4.039825149798617,2.54044875793413,127,0.49609375,1.0000209420936157,1.0000279123848361
L7a1,1,2,1.0000041048835646,0.9994344207930287,2.689792198527708,4.5539396141354676,118,0.4609375,1.0000159830666586,1.0001035697905258
L7a2,1,2,1.0000311857566475,0.999711408016572,4.575076249057209,4.589183751959377,112,0.4375,1.0000555271280553,1.0001187966958078
L7a3,1,2,1.0000125728977707,0.9996391951564384,0.4884402409915091,1.8527989384643027,118,0.4609375,1.0000466580951413,1.000136332876538
L7a4,1,2,1.0000001456876673,0.9992989741904792,3.895474686511094,4.087514697926111,134,0.5234375,1.0000101888158481,1.0000900395471375
L7a5,1,2,0.9999941712986311,0.9997288102836075,1.417563919701855,4.991064026760716,180,0.703125,1.0000031731274173,1.000017000906114
L7a6,1,2,0.999996388054755,0.9994566580979605,0.20799490343590002,4.965508606145305,189,0.73828125,1.0000048126423378,1.0000230149770664
L7a7,1,2,1.0000003139020195,0.9998878455792517,0.9243618173811401,4.872601549534573,99,0.38671875,1.0000146469435558,1.000038906420989
L7a7,1,3,1.000013409548918,0.9998183164293312,3.1306922141435014,4.794329630287686,100,0.390625,1.000027477812713,1.000053390738786
L7a7,2,3,1.0000086982458498,0.9999139866661463,2.5690328002545173,2.025484554486429,122,0.4765625,1.0000240513999878,1.000082599904223
L7n1,1,2,1.0000045430732474,0.9998840447827694,6.17757654472903,5.026997746326578,80,0.3125,1.0000670591552792,1.0001318196810698
L7n2,1,2,1.000001779426496,0.9996801352310589,0.722339401156051,4.628214052077658,130,0.5078125,1.0000189704095885,1.0000790420493615
