link_id,backend,circulation_class,signs,epsilon_D,relative_equilibrium_score,normal_rigid_residual_rms,omega_norm,translation_norm,impulse_norm_D2,neumann_energy_proxy,neumann_self_energy_proxy,neumann_mutual_energy_proxy,mutual_energy_fraction,pair_helicity_proxy_Gamma2
L2a1,cpp,co-oriented,--,0.1,0.17785744513276047,0.04157340669847494,0.0648227074827292,0.2413896988647004,4.439711634187608,1.1219561906952569,1.1219561906952569,0.0,0.0,-2.0003570277041622
L2a1,cpp,mixed,-+,0.1,0.1778574451327605,0.041573406698474945,0.06482270748272917,0.2413896988647005,4.439711634187608,1.1219561906952569,1.1219561906952569,0.0,0.0,2.0003570277041622
L2a1,cpp,mixed,+-,0.1,0.1778574451327605,0.041573406698474945,0.06482270748272917,0.2413896988647005,4.439711634187608,1.1219561906952569,1.1219561906952569,0.0,0.0,2.0003570277041622
L2a1,cpp,co-oriented,++,0.1,0.17785744513276047,0.04157340669847494,0.0648227074827292,0.2413896988647004,4.439711634187608,1.1219561906952569,1.1219561906952569,0.0,0.0,-2.0003570277041622
L4a1,cpp,co-oriented,--,0.1,0.14700728798288085,0.030548863554115707,0.01886987147606374,0.22185857971233958,9.47383339910996,1.812705292368641,1.2499467324643043,0.5627585599043368,0.31045231802075596,4.002033200766673
L4a1,cpp,mixed,-+,0.1,0.49690076281308493,0.08114910456161736,0.09954721991108303,0.05460301976542142,0.22769146460845036,0.6871881725599674,1.2499467324643043,-0.5627585599043369,-0.8189293447934419,-4.002033200766673
L4a1,cpp,mixed,+-,0.1,0.49690076281308493,0.08114910456161736,0.09954721991108303,0.05460301976542142,0.22769146460845036,0.6871881725599674,1.2499467324643043,-0.5627585599043369,-0.8189293447934419,-4.002033200766673
L4a1,cpp,co-oriented,++,0.1,0.14700728798288085,0.030548863554115707,0.01886987147606374,0.22185857971233958,9.47383339910996,1.812705292368641,1.2499467324643043,0.5627585599043368,0.31045231802075596,4.002033200766673
L5a1,cpp,co-oriented,--,0.1,0.2258740460846766,0.045517114500426566,0.021845737825084213,0.22235857679347096,8.78326855187178,1.2480060960391204,1.246845984186329,0.0011601118527913012,0.000929572264489112,-1.1315979011199293e-06
L5a1,cpp,mixed,-+,0.1,0.22442582846273426,0.04511978462983059,0.02157985717611331,0.22219969478483573,8.768475655933827,1.2456858723335378,1.246845984186329,-0.0011601118527913012,-0.0009313036926541271,1.1315979011199293e-06
