pair_id,candidate_a,candidate_b,valid,winner_anonymous,decision_basis,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,delta_far_profile_nu_blind,delta_far_profile_r2_blind,delta_far_profile_coeff_A_minus_B_blind,delta_far_profile_boundary_hit_blind,delta_pressure_ladder_n_blind,delta_pressure_ladder_nu_span_blind
PAIR_673B966C03E4,CAND_9D114410B0C38C1E,CAND_C382D67228A2EB4D,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.05924731057724586,4,0,0.1,0.3781139970315385,0.05175704274665431,True,0,nan
PAIR_076473CEB280,CAND_B8BA9398C7A5D4E5,CAND_C83BE9EBDC8E9E4B,True,TIE,FULL_HORIZON_PRIMARY_METRICS,0.0047647717570187265,2,2,2.8499999999999996,0.9836534689444174,-0.009941514007133655,False,0,nan
PAIR_53DA0F51DB90,CAND_C73A901E85ED6D0F,CAND_AF7019FD5A01C7BA,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.06695616708870611,3,1,3.025,0.9846835141755773,0.010768001935131501,False,0,nan
PAIR_2E691F54F3FA,CAND_25F1C163BF4FA6B1,CAND_3419A12C5E54B7F6,True,B,CONTACT_GATE,inf,0,0,2.35,0.8403812870741676,-0.009375371287322881,False,0,nan
PAIR_6DE33521ED20,CAND_B7D4734121B88ACD,CAND_25F1C163BF4FA6B1,True,B,CONTACT_SURVIVAL_ONLY,,0,0,4.0,0.5404882822300909,-0.0021599844401533085,True,0,nan
PAIR_7E86A8F7B030,CAND_F7EBFC7F05D84E08,CAND_C83BE9EBDC8E9E4B,True,B,FULL_HORIZON_PRIMARY_METRICS,0.03357353633190074,2,2,0.1,0.18850462769515108,-0.0946389074407638,True,0,nan
PAIR_1C2BF861A2A8,CAND_33BBA633A481B3AE,CAND_D98FB1343DA582A5,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.06332280368132429,4,0,0.1,0.16199341636043418,0.020844485155115534,True,0,nan
PAIR_FA06C3481CAE,CAND_33BBA633A481B3AE,CAND_11FC1BA1FC3CA14B,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.11819584789638027,4,0,0.8499999999999999,0.619070373948797,0.028330064410638837,False,0,nan
PAIR_AACDC4DC41B7,CAND_25F1C163BF4FA6B1,CAND_731296490C96B842,True,A,CONTACT_SURVIVAL_ONLY,,0,0,4.0,0.3412202406912602,0.004077579704400387,True,0,nan
PAIR_C1ABE6996985,CAND_49A2B0B18B4838B7,CAND_1DC95C90DC5F5818,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.0987988947220443,4,0,3.05,0.9838422222897901,0.012842965724004682,False,0,nan
