path,kind,status,reason,sample_id,source,rows_or_frames
C:\workspace\solo_projects\SST-Workbench\SST_vArrow_Spectral_Blind_Falsifier\SST_vArrow_Spectral_Blind_Falsifier_v0.2.0\campaigns\demo_spectrum\manifest.csv,manifest,excluded,demo/synthetic excluded by default,,manifest,
C:\workspace\solo_projects\SST-Workbench\SST_vArrow_Spectral_Blind_Falsifier\SST_vArrow_Spectral_Blind_Falsifier_v0.2.0\campaigns\imported_library_excerpts\vortexlab_7-6-24b_diag_excerpt.csv,vortexlab_diag_csv,diagnostic_only,scalar VortexLab diagnostics: no spatial k information,imported_library_excerpts_vortexlab_7-6-24b_diag_excerpt,recursive_discovery,
