carrier_id,carrier_self_gap_core,combined_initial_gap_core,helix_turns,hole_clearance,max_abs_gauss_link,n_threads,status
TORUS_T2_3,11.3066601339996,11.3066601339996,1.0,0.6618174420968784,2.0022651645560865,1,PASS
TORUS_T2_3,11.3066601339996,5.609806315619817,1.0,0.6618174420968784,2.0022696416270778,2,PASS
TORUS_T2_3,11.3066601339996,4.85802601059427,1.0,0.6618174420968784,2.00226083784031,3,PASS
TORUS_T2_3,11.3066601339996,3.96628476429334,1.0,0.6618174420968784,2.0022696416270778,4,PASS
TORUS_T2_3,11.3066601339996,3.296827392023442,1.0,0.6618174420968784,2.002268835045105,5,PASS
TORUS_T2_5,12.788887540266177,12.788887540266177,1.0,0.672276080607461,2.0004345550338973,1,PASS
TORUS_T2_5,12.788887540266177,5.717379546317733,1.0,0.672276080607461,2.000441034391597,2,PASS
TORUS_T2_5,12.788887540266177,4.951183259623443,1.0,0.672276080607461,2.0004418036879312,3,PASS
TORUS_T2_5,12.788887540266177,4.042342063671564,1.0,0.672276080607461,2.000442008230905,4,PASS
TORUS_T2_5,12.788887540266177,3.3600472110612243,1.0,0.672276080607461,2.000441034391597,5,PASS
TORUS_T2_7,14.047428040507166,14.047428040507166,1.0,0.6747152195687994,1.99794497260174,1,PASS
TORUS_T2_7,14.047428040507166,5.742467528205253,1.0,0.6747152195687994,1.997951502605744,2,PASS
TORUS_T2_7,14.047428040507166,4.972909179360731,1.0,0.6747152195687994,1.9979516551746863,3,PASS
TORUS_T2_7,14.047428040507166,4.06007997241274,1.0,0.6747152195687994,1.997951768049826,4,PASS
TORUS_T2_7,14.047428040507166,3.374791192111782,1.0,0.6747152195687994,1.9979516581374053,5,PASS
TORUS_T2_9,11.690382004904826,11.690382004904826,1.0,0.6720434371057341,1.9948292830797822,1,PASS
TORUS_T2_9,11.690382004904826,5.714986670918109,1.0,0.6720434371057341,1.994836424512435,2,PASS
TORUS_T2_9,11.690382004904826,4.949111055525558,1.0,0.6720434371057341,1.994836584477813,3,PASS
TORUS_T2_9,11.690382004904826,4.040650233469425,1.0,0.6720434371057341,1.9948365538026447,4,PASS
TORUS_T2_9,11.690382004904826,3.358640939735513,1.0,0.6720434371057341,1.9948366571724037,5,PASS
TRIPLE_GEAR_T3_3,5.411047609387979,5.411047609387979,1.0,0.6675345113012162,1.0004467362165035,1,PASS
TRIPLE_GEAR_T3_3,5.411047609387979,5.411047609387979,1.0,0.6675345113012162,1.0004614861894559,2,PASS
TRIPLE_GEAR_T3_3,5.411047609387979,4.908949119001713,1.0,0.6675345113012162,1.0004614861894559,3,PASS
TRIPLE_GEAR_T3_3,5.411047609387979,4.007860424176624,1.0,0.6675345113012162,1.0004614861894559,4,PASS
TRIPLE_GEAR_T3_3,5.411047609387979,3.3313856226683605,1.0,0.6675345113012162,1.0004614861894559,5,PASS
