lambda_,solver_kind,bem_enabled,bem_panels,bem_n_eta,bem_n_phi,bem_self_term,bem_rhs_flux_before_projection,bem_rhs_flux_after_projection,bem_linear_residual,bem_sigma_l2,bem_predicted_neumann_error,raw_ring_circulation,ring_scale_to_plus_2pi,circulation_signed,circulation_magnitude_error,circulation_signed_error,bem_correction_circulation,neumann_boundary_error,neumann_boundary_error_direct_probe,offset_probe,offset_probe_min_error,offset_probe_max_error,offset_probe_last_error,divergence_error,curl_error,farfield_decay_error,chi_K,chi_cav,chi_E_hollow,residual_kinetic_to_2pi,residual_total_to_2pi,analytic_total_horn_falsifies_2pi,gate_circulation_pass,gate_circulation_orientation_pass,gate_bem_correction_no_circulation_pass,gate_neumann_pass,gate_neumann_first_acceptance_pass,gate_offset_probe_pass,gate_harmonic_pass,gate_farfield_pass,gate_kinetic_2pi_pass,gate_total_2pi_pass,mesh_cells,dof,n_ring,n_surface,n_volume,box_radius,source_eps,solver_residual,energy_refinement_error,audit_kind,panel_grid,delta_chi_K_from_previous,rel_delta_chi_K_from_previous
1.2,pybind11_bem_neumann_corrected,True,128,8,16,0.5,-2.42861286636753e-15,-1.0130785099704553e-15,7.029105599202336e-16,0.5860691208822759,3.284271478982805e-16,-6.241055580248471,-1.0067504168789085,6.283185196474,1.7619341208252592e-08,1.7619341208252592e-08,-1.107055865000317e-07,3.284271478982805e-16,0.3357555658163925,"[{'offset': 0.1, 'neumann_error_offset': 0.5224917522847005, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3866026954092518, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.3694715182372575, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.367743985863519, 'samples': 512}]",0.367743985863519,0.5224917522847005,0.367743985863519,1.2762227051085462e-05,0.0025866733719097533,0.004559077548770413,14.924054542213032,11.84352528130723,26.76757982352026,1.3752370513662573,3.260192643520133,True,True,True,True,True,True,False,True,True,False,False,5768,5896,256,32,18,6.0,0.08,7.029105599202336e-16,nan,panel_refinement,8x16,nan,nan
1.2,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-9.298117831235686e-16,-7.008282842946301e-16,9.043298908667263e-16,0.6117023081517733,4.425780039649543e-16,-6.241055580248471,-1.0067504168789085,6.283185421354282,1.817146721982965e-08,1.817146721982965e-08,1.1417469577418293e-07,4.425780039649543e-16,0.2390943845818401,"[{'offset': 0.1, 'neumann_error_offset': 0.6117027706768922, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3561272505636458, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.30049322091818814, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.29531345257865427, 'samples': 512}]",0.29531345257865427,0.6117027706768922,0.29531345257865427,2.4236404092821694e-05,0.0025882334487462803,0.004617323896016309,15.426701068810589,11.84352528130723,27.270226350117817,1.4552357307022303,3.3401913228561058,True,True,True,True,True,True,False,True,True,False,False,5768,6056,256,32,18,6.0,0.08,9.043298908667263e-16,nan,panel_refinement,12x24,0.502646526597557,0.033680292790126826
1.2,pybind11_bem_neumann_corrected,True,512,16,32,0.5,4.822531263215524e-15,-8.1601392309949e-15,1.3709822734467505e-15,0.625410545409127,7.205103519474617e-16,-6.241055580248471,-1.0067504168789085,6.283185142860206,2.6152241594523673e-08,2.6152241594523673e-08,-1.6431938132561996e-07,7.205103519474617e-16,0.33622836303454745,"[{'offset': 0.1, 'neumann_error_offset': 0.7736880047266548, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.9998638585628539, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.9999999859409727, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.9999999999985921, 'samples': 512}]",0.7736880047266548,0.9999999999985921,0.9999999999985921,0.0010969969029182495,0.002598866281218254,0.004646373209877097,16.805903589933234,11.84352528130723,28.649428871240463,1.6747426294637033,3.5596982216175794,True,True,True,True,True,True,False,True,True,False,False,5768,6280,256,32,18,6.0,0.08,1.3709822734467505e-15,nan,panel_refinement,16x32,1.3792025211226449,0.08940359413012094
1.2,pybind11_bem_neumann_corrected,True,1152,24,48,0.5,7.559491227437931e-15,1.6822480908285087e-15,2.1645131979809038e-15,0.6397142241472948,1.1057941647132453e-15,-6.241055580248471,-1.0067504168789085,6.283185265231677,6.676217134682361e-09,6.676217134682361e-09,-4.1947906613548636e-08,1.1057941647132453e-15,0.3241657092373416,"[{'offset': 0.1, 'neumann_error_offset': 0.614414541074515, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.41635296170251107, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.3601235025254209, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.35427165592172655, 'samples': 512}]",0.35427165592172655,0.614414541074515,0.35427165592172655,0.00030429358766919415,0.002574717743177631,0.004676926362191705,18.024426974044236,11.84352528130723,29.867952255351465,1.8686766493180336,3.7536322414719097,True,True,True,True,True,True,False,True,True,False,False,5768,6920,256,32,18,6.0,0.08,2.1645131979809038e-15,nan,panel_refinement,24x48,1.218523384111002,0.07250567502011017
