pair_id,candidate_a,geometry_a,candidate_b,geometry_b
PAIR_47442281EAFD,CAND_75AE734F9C297BAF,geometry/CAND_75AE734F9C297BAF.npz,CAND_A33A2F97AD9562ED,geometry/CAND_A33A2F97AD9562ED.npz
PAIR_AFC9BDD93BC6,CAND_74014ED4C91E1524,geometry/CAND_74014ED4C91E1524.npz,CAND_8AD55AA003CA6E0D,geometry/CAND_8AD55AA003CA6E0D.npz
PAIR_835BF6906694,CAND_74014ED4C91E1524,geometry/CAND_74014ED4C91E1524.npz,CAND_24E0DAFA2C69EC10,geometry/CAND_24E0DAFA2C69EC10.npz
PAIR_C16D13D133CF,CAND_3C32F9322216CA46,geometry/CAND_3C32F9322216CA46.npz,CAND_C360440B30471306,geometry/CAND_C360440B30471306.npz
PAIR_90D4D327BDC9,CAND_6F6F0E1613D41344,geometry/CAND_6F6F0E1613D41344.npz,CAND_36133B01BA9AF25C,geometry/CAND_36133B01BA9AF25C.npz
PAIR_319EF59771D9,CAND_294032415601F581,geometry/CAND_294032415601F581.npz,CAND_77C4D04C4ADEAC6C,geometry/CAND_77C4D04C4ADEAC6C.npz
PAIR_94C5C16959A8,CAND_75AE734F9C297BAF,geometry/CAND_75AE734F9C297BAF.npz,CAND_36C2B1641A4238BE,geometry/CAND_36C2B1641A4238BE.npz
PAIR_5279A564C574,CAND_9415227ADA5CDABC,geometry/CAND_9415227ADA5CDABC.npz,CAND_6F6F0E1613D41344,geometry/CAND_6F6F0E1613D41344.npz
PAIR_6557306C9DF0,CAND_0ECE40036EF94C65,geometry/CAND_0ECE40036EF94C65.npz,CAND_0661E96CA381A64B,geometry/CAND_0661E96CA381A64B.npz
PAIR_7DB1E2222CE6,CAND_74014ED4C91E1524,geometry/CAND_74014ED4C91E1524.npz,CAND_183EC35F328ECDCA,geometry/CAND_183EC35F328ECDCA.npz
PAIR_8B3E986587D1,CAND_618328F5F5E7D2A4,geometry/CAND_618328F5F5E7D2A4.npz,CAND_E491AFCA48321742,geometry/CAND_E491AFCA48321742.npz
PAIR_694247F74CA3,CAND_C360440B30471306,geometry/CAND_C360440B30471306.npz,CAND_352CDB374D9682F8,geometry/CAND_352CDB374D9682F8.npz
PAIR_EFDE2988853C,CAND_679059491CAEFEE9,geometry/CAND_679059491CAEFEE9.npz,CAND_6F6F0E1613D41344,geometry/CAND_6F6F0E1613D41344.npz
PAIR_7D2BDB47ABB8,CAND_77C4D04C4ADEAC6C,geometry/CAND_77C4D04C4ADEAC6C.npz,CAND_40CCA9A4E1D962DF,geometry/CAND_40CCA9A4E1D962DF.npz
PAIR_B5D4D8F96716,CAND_2CB2C0D17DE09CA4,geometry/CAND_2CB2C0D17DE09CA4.npz,CAND_337797251A33CBD9,geometry/CAND_337797251A33CBD9.npz
PAIR_8BD0BB09D765,CAND_BD1529C09903E5A3,geometry/CAND_BD1529C09903E5A3.npz,CAND_0661E96CA381A64B,geometry/CAND_0661E96CA381A64B.npz
PAIR_7637B0257623,CAND_2CB2C0D17DE09CA4,geometry/CAND_2CB2C0D17DE09CA4.npz,CAND_BC3FEB79C5466577,geometry/CAND_BC3FEB79C5466577.npz
PAIR_8B5FB8871E3C,CAND_77C4D04C4ADEAC6C,geometry/CAND_77C4D04C4ADEAC6C.npz,CAND_7FFB8E4B5500E2FD,geometry/CAND_7FFB8E4B5500E2FD.npz
PAIR_347A335D7F29,CAND_C177DEDF8B0EA57A,geometry/CAND_C177DEDF8B0EA57A.npz,CAND_C360440B30471306,geometry/CAND_C360440B30471306.npz
PAIR_15E1B3FD2D6C,CAND_3B4101DD15C12964,geometry/CAND_3B4101DD15C12964.npz,CAND_46735136E4242219,geometry/CAND_46735136E4242219.npz
PAIR_C9131B6288D8,CAND_74014ED4C91E1524,geometry/CAND_74014ED4C91E1524.npz,CAND_7A68BAB9BC30C673,geometry/CAND_7A68BAB9BC30C673.npz
PAIR_97329C3D6718,CAND_AE6541F4AFBF8A08,geometry/CAND_AE6541F4AFBF8A08.npz,CAND_75AE734F9C297BAF,geometry/CAND_75AE734F9C297BAF.npz
PAIR_08E30F72728B,CAND_C360440B30471306,geometry/CAND_C360440B30471306.npz,CAND_8CF81D0AE6B11819,geometry/CAND_8CF81D0AE6B11819.npz
PAIR_9C156D79EE9E,CAND_E491AFCA48321742,geometry/CAND_E491AFCA48321742.npz,CAND_7B7B30CCD5F7633A,geometry/CAND_7B7B30CCD5F7633A.npz
PAIR_F6492D81DA2B,CAND_6F6F0E1613D41344,geometry/CAND_6F6F0E1613D41344.npz,CAND_AED304F90A6C91B0,geometry/CAND_AED304F90A6C91B0.npz
PAIR_C5160318FA58,CAND_3B4101DD15C12964,geometry/CAND_3B4101DD15C12964.npz,CAND_5283A8514FB6B4DD,geometry/CAND_5283A8514FB6B4DD.npz
PAIR_DCFFF238F3C3,CAND_5E146753DFB61C58,geometry/CAND_5E146753DFB61C58.npz,CAND_0661E96CA381A64B,geometry/CAND_0661E96CA381A64B.npz
PAIR_5567229D7A2D,CAND_7B6F9919A8832899,geometry/CAND_7B6F9919A8832899.npz,CAND_2CB2C0D17DE09CA4,geometry/CAND_2CB2C0D17DE09CA4.npz
PAIR_4F93BB526D85,CAND_3B4101DD15C12964,geometry/CAND_3B4101DD15C12964.npz,CAND_3841C78A359F3BB9,geometry/CAND_3841C78A359F3BB9.npz
PAIR_AFC12A265C37,CAND_7405E3F877FC1690,geometry/CAND_7405E3F877FC1690.npz,CAND_2CB2C0D17DE09CA4,geometry/CAND_2CB2C0D17DE09CA4.npz
PAIR_FF2954AD715E,CAND_E4C4E595BAAB0C0C,geometry/CAND_E4C4E595BAAB0C0C.npz,CAND_3B4101DD15C12964,geometry/CAND_3B4101DD15C12964.npz
PAIR_50BA4D9D8112,CAND_E491AFCA48321742,geometry/CAND_E491AFCA48321742.npz,CAND_018F528D0A8DA167,geometry/CAND_018F528D0A8DA167.npz
PAIR_86B864FBBA34,CAND_9453FAABC40B5CC1,geometry/CAND_9453FAABC40B5CC1.npz,CAND_E491AFCA48321742,geometry/CAND_E491AFCA48321742.npz
PAIR_941CFE14E887,CAND_75AE734F9C297BAF,geometry/CAND_75AE734F9C297BAF.npz,CAND_533B4D4750E28054,geometry/CAND_533B4D4750E28054.npz
PAIR_F4574871E939,CAND_0661E96CA381A64B,geometry/CAND_0661E96CA381A64B.npz,CAND_3F1BB38B9BC9B167,geometry/CAND_3F1BB38B9BC9B167.npz
PAIR_2786D60C32A1,CAND_9B1F3CFCBEF2A3DA,geometry/CAND_9B1F3CFCBEF2A3DA.npz,CAND_77C4D04C4ADEAC6C,geometry/CAND_77C4D04C4ADEAC6C.npz
