cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status
0,1,0,oscillatory,-0.5016627461724635,0.0,23,-0.99992901561,1.0000709894287692,1.0000709894287692,True,2.6161251692057377,UNDERRESOLVED
1,1,1,oscillatory,0.5016627461724635,0.0,23,0.99992901561,1.0000709894287692,1.0000709894287692,True,2.6161251692057377,UNDERRESOLVED
2,2,2;4,oscillatory,-0.497730904811903,-2.110404487814245e-17,23,-0.99992745658;-0.99992745658,31.129000141837775,39.750657908843124,True,2.6161251692057377,UNDERRESOLVED
3,2,3;5,oscillatory,0.497730904811903,-2.110404487814245e-17,23,0.99992745658;0.99992745658,31.129000141837775,39.750657908843124,True,2.6161251692057377,UNDERRESOLVED
4,2,6;8,oscillatory,-0.4860522803178744,-2.638005609767806e-18,22,-0.999922575147;-0.999922575147,22.392866967462005,23.253490124830524,True,2.6161251692057377,UNDERRESOLVED
5,2,7;9,oscillatory,0.4860522803178744,-2.638005609767806e-18,22,0.999922575147;0.999922575147,22.392866967462005,23.253490124830524,True,2.6161251692057377,UNDERRESOLVED
6,2,10;12,oscillatory,-0.4669741917322156,-2.0444543475700498e-17,21,-0.999913709559;-0.999913709559,1.0001491897601213,1.0001685411468786,True,2.6161251692057377,UNDERRESOLVED
7,2,11;13,oscillatory,0.4669741917322156,-2.0444543475700498e-17,21,0.999913709559;0.999913709559,1.0001491897601213,1.0001685411468786,True,2.6161251692057377,UNDERRESOLVED
8,2,14;16,oscillatory,-0.4410643020133532,1.5828033658606837e-17,20,-0.999899575645;-0.999899575645,1.709669311463792,1.7528204956439148,True,2.6161251692057377,UNDERRESOLVED
9,2,15;17,oscillatory,0.4410643020133532,1.5828033658606837e-17,20,0.999899575645;0.999899575645,1.709669311463792,1.7528204956439148,True,2.6161251692057377,UNDERRESOLVED
10,2,18;20,oscillatory,-0.4090940364556038,2.110404487814245e-17,19,-0.999877918017;-0.999877918017,2.3116099410523625,3.438320485946577,True,2.6161251692057377,UNDERRESOLVED
