cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status
0,5,0;2;10;12;26,oscillatory,-1.277217301084525,-6.832434529298571e-17,22,-0.999985869948;-0.999985818716;-0.999985818716;-0.999985663758;-0.999985663758,1.000734727776998,1.0014880303495903,False,1.3087633128710705,DIAGNOSTIC
1,5,1;3;11;13;27,oscillatory,1.277217301084525,-6.832434529298571e-17,22,0.999985663758;0.999985663758;0.999985818716;0.999985818716;0.999985869948,1.000734727776998,1.0014880303495903,False,1.3087633128710705,DIAGNOSTIC
2,2,4;28,oscillatory,-1.2633237699928879,-1.8466039268374644e-17,22,-0.999985401224;-0.999985401224,1.0000318896459026,1.0000491803030092,True,1.3087633128710705,DIAGNOSTIC
3,2,5;29,oscillatory,1.2633237699928879,-1.8466039268374644e-17,22,0.999985401224;0.999985401224,1.0000318896459026,1.0000491803030092,True,1.3087633128710705,DIAGNOSTIC
4,2,6;30,oscillatory,-1.2318686872909297,1.1211523841513083e-17,22,-0.999984523869;-0.999984523869,1.0006780126186015,1.0013405488671536,True,1.3087633128710705,DIAGNOSTIC
5,2,7;31,oscillatory,1.2318686872909297,1.1211523841513083e-17,22,0.999984523869;0.999984523869,1.0006780126186015,1.0013405488671536,True,1.3087633128710705,DIAGNOSTIC
6,2,8;36,oscillatory,-1.2104824209776328,-1.4838781554957405e-18,22,-0.99998388605;-0.99998388605,2.047204655453244,2.1995330052217,True,1.3087633128710705,DIAGNOSTIC
7,2,9;37,oscillatory,1.2104824209776328,-1.4838781554957405e-18,22,0.99998388605;0.99998388605,2.047204655453244,2.1995330052217,True,1.3087633128710705,DIAGNOSTIC
8,2,14;16,oscillatory,-1.2495114377221257,-2.802880960378294e-17,24,-0.999985024498;-0.999985024498,1.001704423095216,1.0033681989185348,True,1.3087633128710705,DIAGNOSTIC
9,2,15;17,oscillatory,1.2495114377221257,-2.802880960378294e-17,24,0.999985024498;0.999985024498,1.001704423095216,1.0033681989185348,True,1.3087633128710705,DIAGNOSTIC
10,2,18;20,oscillatory,-1.1854587616137688,1.3190028048839032e-17,23,-0.999983093483;-0.999983093483,1.0033320842076088,1.0056377274775652,True,1.3087633128710705,DIAGNOSTIC
11,2,19;21,oscillatory,1.1854587616137688,1.3190028048839032e-17,23,0.999983093483;0.999983093483,1.0033320842076088,1.0056377274775652,True,1.3087633128710705,DIAGNOSTIC
12,2,22;24,oscillatory,-1.1569229787838664,1.648753506104879e-16,23,-0.999982123389;-0.999982123389,1.3412286819523107,1.4024268375265558,True,1.3087633128710705,DIAGNOSTIC
13,2,23;25,oscillatory,1.1569229787838664,1.648753506104879e-16,23,0.999982123389;0.999982123389,1.3412286819523107,1.4024268375265558,True,1.3087633128710705,DIAGNOSTIC
14,2,32;34,oscillatory,-1.1250193843183693,3.2975070122097575e-17,23,-0.999980946462;-0.999980946462,2.8372242929001894,3.094764298349959,True,1.3087633128710705,DIAGNOSTIC
15,2,33;35,oscillatory,1.1250193843183693,3.2975070122097575e-17,23,0.999980946462;0.999980946462,2.8372242929001894,3.094764298349959,True,1.3087633128710705,DIAGNOSTIC
16,2,38;40,oscillatory,-1.0899111885881168,3.693207853674929e-17,23,-0.999979525096;-0.999979525096,4.588834981598199,6.669799896866118,True,1.3087633128710705,DIAGNOSTIC
17,2,39;41,oscillatory,1.0899111885881168,3.693207853674929e-17,23,0.999979525096;0.999979525096,4.588834981598199,6.669799896866118,True,1.3087633128710705,DIAGNOSTIC
18,2,42;44,oscillatory,-1.0517803079186296,7.122615146373077e-17,23,-0.999977810947;-0.999977810947,3.9378674348040636,4.980511799826426,True,1.3087633128710705,DIAGNOSTIC
19,2,43;45,oscillatory,1.0517803079186296,7.122615146373077e-17,23,0.999977810947;0.999977810947,3.9378674348040636,4.980511799826426,True,1.3087633128710705,DIAGNOSTIC
20,2,46;48,oscillatory,-1.0108271123016315,5.473861640268198e-17,23,-0.999975741585;-0.999975741585,1.094571670481254,1.1768536205593652,True,1.3087633128710705,DIAGNOSTIC
21,2,47;49,oscillatory,1.0108271123016315,5.473861640268198e-17,23,0.999975741585;0.999975741585,1.094571670481254,1.1768536205593652,True,1.3087633128710705,DIAGNOSTIC
22,2,50;52,oscillatory,-0.9672701014939992,1.0552022439071224e-17,23,-0.999973235819;-0.999973235819,9.591424290684662,10.096893606183968,True,1.3087633128710705,DIAGNOSTIC
23,2,51;53,oscillatory,0.9672701014939992,1.0552022439071224e-17,23,0.999973235819;0.999973235819,9.591424290684662,10.096893606183968,True,1.3087633128710705,DIAGNOSTIC
24,2,54;56,oscillatory,-0.8733067329849993,-9.233019634187322e-17,24,-0.999966454104;-0.999966454104,1.007483137148341,1.014908934164268,True,1.3087633128710705,DIAGNOSTIC
25,2,55;57,oscillatory,0.8733067329849993,-9.233019634187322e-17,24,0.999966454104;0.999966454104,1.007483137148341,1.014908934164268,True,1.3087633128710705,DIAGNOSTIC
26,2,58;60,oscillatory,-0.9213454965651181,-6.858814585396297e-17,24,-0.999970187102;-0.999970187102,1.1611009499524148,1.2020745345735975,True,1.3087633128710705,DIAGNOSTIC
27,2,59;61,oscillatory,0.9213454965651181,-6.858814585396297e-17,24,0.999970187102;0.999970187102,1.1611009499524148,1.2020745345735975,True,1.3087633128710705,DIAGNOSTIC
28,2,62;64,oscillatory,-0.8234238404362433,1.0552022439071224e-17,24,-0.999961846992;-0.999961846992,1.0624873481159791,1.0661239915051697,True,1.3087633128710705,DIAGNOSTIC
29,2,63;65,oscillatory,0.8234238404362433,1.0552022439071224e-17,24,0.999961846992;0.999961846992,1.0624873481159791,1.0661239915051697,True,1.3087633128710705,DIAGNOSTIC
30,2,66;68,oscillatory,-0.7719826936776147,-7.914016829303418e-18,24,-0.99995610712;-0.99995610712,1.0012293471294735,1.0019052116658633,True,1.3087633128710705,DIAGNOSTIC
31,2,67;69,oscillatory,0.7719826936776147,-7.914016829303418e-18,24,0.99995610712;0.99995610712,1.0012293471294735,1.0019052116658633,True,1.3087633128710705,DIAGNOSTIC
32,2,70;72,oscillatory,-0.7192841179712604,-1.1871025243955128e-17,24,-0.999948876331;-0.999948876331,1.0069050156414314,1.0111512703667098,True,1.3087633128710705,DIAGNOSTIC
