geometry,N,eta_a_max,eta_a_mean,status
ring,48,2.6161251692057377,2.616125169205723,UNDERRESOLVED
ring,64,1.9627069730967333,1.9627069730967204,DIAGNOSTIC
ring,96,1.3087633128710705,1.3087633128710454,DIAGNOSTIC
trefoil,48,2.2107596499573745,1.7562614363484987,UNDERRESOLVED
trefoil,64,1.6700899073700708,1.319864234004982,DIAGNOSTIC
trefoil,96,1.1151301242690912,0.8811846580500537,DIAGNOSTIC
