low_group,high_group,low_dimension,high_dimension,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,score,numerically_trackable,physical_interpretation_allowed
60,85,2,2,-0.0,-0.0,0.0,0.9928974724377624,0.9928974724377616,0.9950339879947224,0,0,-1.41563273727e-15;1.41563273727e-15,-1.98074075036e-15;1.98074075036e-15,5.651080130860832e-16,1.9026749600007742,2.7927726125122403,real_dominant,real_dominant,DIAGNOSTIC,DIAGNOSTIC,0.994496980461338,True,False
59,76,2,2,-0.0,-0.0,0.0,0.9928974724377619,0.9928974724377607,0.9950339879947219,2,0,-3.01106502111e-15;3.01106502111e-15,-5.44462070487e-15;5.44462070487e-15,2.4335556837644277e-15,2.3442535919521443,2.725398949482262,real_dominant,real_dominant,DIAGNOSTIC,DIAGNOSTIC,0.9944969804613376,True,False
57,83,2,2,-0.015233654835295436,-0.016970112781425517,0.10232447883497311,0.9997148472703651,0.999714847270365,0.998865295724851,1,2,0.930933894879;0.930933894879,0.947330797805;0.947330797805,0.01639690292609275,3.3292134478637756,4.256679905782612,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,0.9841965604681858,True,False
58,84,2,2,0.015233654835295436,0.016970112781425517,0.10232447883497311,0.9997148472703651,0.999714847270365,0.998865295724851,1,2,-0.930933894879;-0.930933894879,-0.947330797805;-0.947330797805,0.01639690292609275,3.3292134478637756,4.256679905782612,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,0.9841965604681858,True,False
54,70,2,2,-0.028444339131980145,-0.03211805514308626,0.11438164592282031,0.9998472170739832,0.9998472170739829,0.9994265897799971,3,3,0.97602889751;0.97602889751,0.98272290697;0.98272290697,0.006694009459636052,2.1311894991974936,3.0656536725566252,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,0.982607730800966,True,False
55,71,2,2,0.028444339131980145,0.03211805514308626,0.11438164592282031,0.9998472170739832,0.9998472170739829,0.9994265897799971,3,3,-0.97602889751;-0.97602889751,-0.98272290697;-0.98272290697,0.006694009459636052,2.1311894991974936,3.0656536725566252,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,0.982607730800966,True,False
44,74,2,2,-0.040025135465003185,-0.046844279992517494,0.14557048434949882,0.9998360047212943,0.9998360047212942,0.9995139290501049,4,4,0.986510366858;0.986510366858,0.99109337947;0.99109337947,0.004583012612081605,2.0377869566166087,11.281660499525302,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,0.977944512442878,True,False
45,75,2,2,0.040025135465003185,0.046844279992517494,0.14557048434949882,0.9998360047212943,0.9998360047212942,0.9995139290501049,4,4,-0.986510366858;-0.986510366858,-0.99109337947;-0.99109337947,0.004583012612081605,2.0377869566166087,11.281660499525302,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,0.977944512442878,True,False
40,68,2,2,-0.04865879293096058,-0.06001265008122211,0.18919106446549244,0.9997624571948146,0.999762457194814,0.9994567015413569,5,5,0.990109610445;0.990109610445,0.994185458007;0.994185458007,0.004075847562204027,1.449463093937611,2.6960426860298004,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,0.9713429900324041,False,False
41,69,2,2,0.04865879293096058,0.06001265008122211,0.18919106446549244,0.9997624571948146,0.999762457194814,0.9994567015413569,5,5,-0.990109610445;-0.990109610445,-0.994185458007;-0.994185458007,0.004075847562204027,1.449463093937611,2.6960426860298004,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,0.9713429900324041,False,False
