order,incoming,outgoing,mode_sum,detuning_hat,relative_detuning
6,"[2,4,7]","[3,3,7]",13,0.11339157072048778,0.0018517568006401006
6,"[2,2,5]","[3,3,3]",9,-0.07811370790307848,0.0019751817427222313
6,"[2,4,6]","[3,3,6]",12,0.11339157072048778,0.0019965791740239117
6,"[2,4,5]","[3,3,5]",11,0.11339157072048778,0.002198795066296281
6,"[2,4,4]","[3,3,4]",10,0.11339157072049488,0.002478013482825533
6,"[2,5,7]","[3,4,7]",14,-0.19150527862356626,0.0028498722752733486
6,"[2,3,4]","[3,3,3]",9,0.11339157072048778,0.0028602917788164836
6,"[2,5,6]","[3,4,6]",13,-0.19150527862356626,0.0030515764308247815
6,"[2,5,5]","[3,4,5]",12,-0.19150527862356626,0.0033286091536621452
6,"[2,2,4]","[2,3,3]",8,0.11339157072048778,0.003370631525765557
6,"[2,4,5]","[3,4,4]",11,-0.19150527862357336,0.0037025657952769885
6,"[3,5,7]","[4,4,7]",15,-0.30489684934406114,0.004162024903852256
6,"[2,3,5]","[3,3,4]",10,-0.19150527862356626,0.004199068222590456
6,"[3,5,6]","[4,4,6]",14,-0.30489684934406114,0.004430662211275735
6,"[3,5,5]","[4,4,5]",13,-0.30489684934405403,0.004794568895652622
6,"[2,2,5]","[2,3,4]",9,-0.19150527862356626,0.004835466691930273
6,"[3,4,5]","[4,4,4]",12,-0.30489684934406114,0.005276737012136944
6,"[3,3,5]","[3,4,4]",11,-0.30489684934406114,0.00590134885058244
6,"[3,6,6]","[4,4,7]",15,0.47649364254662885,0.006469918545468762
6,"[2,3,5]","[2,4,4]",10,-0.30489684934406114,0.006677064336122029
6,"[4,6,7]","[5,5,7]",17,-0.5877494885941417,0.006936157864836487
6,"[4,6,6]","[5,5,6]",16,-0.5877494885941559,0.007319842485380494
6,"[4,5,6]","[5,5,5]",15,-0.5877494885941559,0.007829110829539977
6,"[5,7,7]","[6,6,7]",19,-0.78139049189069,0.008217695022101571
6,"[4,4,6]","[4,5,5]",14,-0.5877494885941559,0.008485946750807497
6,"[2,5,5]","[4,4,4]",12,-0.4964021279676274,0.008605308379470229
6,"[5,6,7]","[6,6,6]",18,-0.7813904918907042,0.008620369131703087
6,"[2,6,6]","[3,4,7]",14,0.5898852132671237,0.00872759200481212
6,"[5,5,7]","[5,6,6]",17,-0.7813904918907042,0.009147456821964568
6,"[3,4,6]","[3,5,5]",13,-0.5877494885941559,0.009307814983511613
6,"[4,5,7]","[4,6,6]",16,-0.78139049189069,0.009815131293731334
6,"[2,4,6]","[2,5,5]",12,-0.5877494885941559,0.010285501194217865
6,"[3,5,7]","[3,6,6]",15,-0.78139049189069,0.010631871875660255
6,"[2,6,7]","[3,5,7]",15,-0.7792547672177221,0.010716594207591409
6,"[3,6,7]","[4,5,7]",16,-0.892646337938217,0.01133176898063618
6,"[2,6,6]","[3,5,6]",14,-0.7792547672177221,0.011413787239310892
6,"[2,5,7]","[2,6,6]",14,-0.78139049189069,0.011577392290347955
6,"[3,6,6]","[4,5,6]",15,-0.892646337938217,0.012008891325819192
6,"[2,5,5]","[3,3,6]",12,0.7011410593146437,0.012282017312925326
6,"[2,5,6]","[3,5,5]",13,-0.7792547672177221,0.0123593036524388
6,"[3,5,6]","[4,5,5]",14,-0.892646337938217,0.012916487552384389
6,"[2,4,6]","[3,4,5]",12,-0.7792547672177221,0.013613993824299776
6,"[3,4,6]","[4,4,5]",13,-0.8926463379382099,0.01410222654428853
6,"[2,6,7]","[4,4,7]",15,-1.0841516165617833,0.014878453206528516
6,"[2,3,6]","[3,3,5]",11,-0.7792547672177221,0.015242580967425598
6,"[4,7,7]","[5,6,7]",18,-1.3691399804848459,0.015285800162071133
6,"[3,3,6]","[3,4,5]",12,-0.8926463379382099,0.015610466919672737
6,"[2,6,6]","[4,4,6]",14,-1.0841516165617833,0.015844249137148433
6,"[4,6,7]","[5,6,6]",17,-1.3691399804848459,0.01608335957172895
6,"[4,5,7]","[5,5,6]",16,-1.3691399804848459,0.017134666018170635
6,"[2,5,6]","[4,4,5]",13,-1.0841516165617762,0.01715361842781449
6,"[2,2,6]","[2,3,5]",10,-0.7792547672177221,0.01727024549082564
6,"[2,3,6]","[2,4,5]",11,-0.8926463379382099,0.017441229896657216
6,"[4,4,7]","[4,5,6]",15,-1.3691399804848459,0.018478450943322053
6,"[2,4,6]","[4,4,4]",12,-1.0841516165617833,0.01889039157697533
6,"[3,6,6]","[5,5,5]",15,-1.480395826532373,0.019837535879329668
6,"[3,7,7]","[4,6,7]",17,-1.674036829828907,0.020022891699522313
6,"[2,7,7]","[3,6,7]",16,-1.5606452591084121,0.02012511701954057
6,"[3,4,7]","[3,5,6]",14,-1.3691399804848459,0.02014087766135397
6,"[3,3,6]","[4,4,4]",12,-1.197543187282271,0.020886773808760938
6,"[2,3,6]","[3,4,4]",11,-1.0841516165617833,0.021143454345129063
6,"[3,6,7]","[4,6,6]",16,-1.674036829828907,0.0211463122863502
6,"[2,6,7]","[3,6,6]",15,-1.5606452591084121,0.021347858003090702
6,"[2,2,6]","[3,3,4]",10,-0.9707600458412884,0.02146892448750957
6,"[2,4,7]","[2,5,6]",13,-1.3691399804848459,0.022091505417155686
6,"[3,5,7]","[4,5,6]",15,-1.674036829828907,0.022640040548399444
6,"[2,5,7]","[3,5,6]",14,-1.5606452591084121,0.02299042003025645
6,"[4,7,7]","[6,6,6]",18,-2.15053047237555,0.023905381795277226
6,"[2,5,6]","[3,3,7]",13,1.4825315512053336,0.02394301735198633
6,"[2,2,6]","[2,4,4]",10,-1.0841516165617833,0.02394661947859378
6,"[2,6,6]","[4,5,5]",14,-1.6719011051559391,0.024329378095723327
6,"[3,4,7]","[4,4,6]",14,-1.674036829828907,0.024570991709618822
6,"[2,4,7]","[3,4,6]",13,-1.5606452591084121,0.02514265810671219
6,"[4,4,7]","[5,5,5]",15,-1.9568894690790017,0.026306610329582605
6,"[3,7,7]","[5,5,7]",17,-2.2617863184230487,0.026958113565596357
6,"[3,3,7]","[3,4,6]",13,-1.6740368298289,0.026994100708922303
6,"[2,5,7]","[4,4,6]",14,-1.8655421084524733,0.02742038396236143
6,"[2,3,7]","[3,3,6]",12,-1.5606452591084192,0.02789062607086325
6,"[3,6,7]","[5,5,6]",16,-2.261786318423063,0.028465053261876812
6,"[2,3,7]","[2,4,6]",12,-1.674036829828907,0.02988678917712347
6,"[3,5,7]","[5,5,5]",15,-2.261786318423063,0.030467801262933997
6,"[2,2,7]","[2,3,6]",11,-1.5606452591084192,0.031241901076985486
6,"[2,7,7]","[4,5,7]",16,-2.453291597046629,0.031455092641726086
6,"[3,4,7]","[4,5,5]",14,-2.261786318423063,0.03305521539016201
6,"[2,6,7]","[4,5,6]",15,-2.453291597046629,0.033354611597607435
6,"[2,4,7]","[3,5,5]",13,-2.148394747702568,0.03444845765556506
6,"[2,5,7]","[4,5,5]",14,-2.453291597046629,0.03590424209233225
6,"[3,7,7]","[5,6,6]",17,-3.043176810313753,0.03610334463279276
6,"[3,3,7]","[3,5,5]",13,-2.2617863184230558,0.036299635566262936
6,"[2,4,7]","[4,4,5]",13,-2.453291597046622,0.03924140621956283
6,"[2,3,7]","[2,5,5]",12,-2.261786318423063,0.040169203361979613
6,"[3,3,7]","[4,4,5]",13,-2.56668316776711,0.041092416519535296
6,"[2,6,7]","[5,5,5]",15,-3.041041085640785,0.04118103395473722
6,"[2,7,7]","[4,6,6]",16,-3.234682088937319,0.04126703878173778
6,"[2,3,7]","[3,4,5]",12,-2.453291597046629,0.04349635856745273
6,"[2,2,7]","[3,3,5]",11,-2.3399000263261414,0.046478948641834834
6,"[2,7,7]","[5,5,6]",16,-3.822431577531475,0.04858321240594974
6,"[2,2,7]","[2,4,5]",11,-2.453291597046629,0.048676500051751136
6,"[2,3,7]","[4,4,4]",12,-2.7581884463906903,0.048770297154019614
6,"[2,2,7]","[3,4,4]",11,-2.6447968756702025,0.05237670591052155
