1 0 0
2 1 0
3 2 0
4 3 0
5 5 0
6 4 0
7 5 0
8 5 0
9 6 0
10 8 0
11 9 0
12 10 0
13 1 0
14 2 0
15 2 0
16 3 0
17 4 0
18 5 0
19 6 0
20 7 0
21 10 0
22 11 0
23 13 0
24 16 0
25 1 0
26 2 0
27 3 0
28 5 0
29 7 0
30 8 0
31 9 0
32 10 0
33 12 0
34 13 0
35 14 0
36 23 0
37 1 0
38 2 0
39 2 0
40 3 0
41 5 0
42 6 0
43 7 0
44 9 0
45 10 0
46 11 0
47 13 0
48 13 0
49 20 0
50 1 0
51 2 0
52 2 0
53 3 0
54 4 0
55 5 0
56 6 0
57 9 0
58 10 0
59 11 0
60 16 0
61 17 0
62 18 0
63 27 0
64 2 0
65 3 0
66 4 0
67 5 0
68 6 0
69 7 0
70 9 0
71 10 0
72 11 0
73 13 0
74 16 0
75 19 0
76 22 0
77 24 0
78 25 0
79 29 0
80 29 0
81 32 0
82 1 0
83 2 0
84 3 0
85 3 0
86 4 0
87 5 0
88 6 0
89 7 0
90 8 0
91 9 0
92 10 0
93 11 0
94 12 0
95 13 0
96 14 0
97 15 0
98 16 0
99 18 0
100 19 0
101 20 0
102 38 0
103 1 0
104 2 0
105 2 0
106 3 0
107 3 0
108 4 0
109 5 0
110 6 0
111 6 0
112 7 0
113 8 0
114 9 0
115 10 0
116 11 0
117 12 0
118 13 0
119 14 0
120 15 0
121 16 0
122 18 0
123 19 0
124 20 0
125 21 0
126 22 0
127 23 0
128 24 0
129 26 0
130 37 0
131 2 0
132 3 0
133 4 0
134 5 0
135 6 0
136 7 0
137 8 0
138 9 0
139 10 0
140 12 0
141 13 0
142 14 0
143 15 0
144 15 0
145 16 0
146 17 0
147 18 0
148 19 0
149 24 0
150 27 0
151 28 0
152 49 0
153 1 0
154 2 0
155 3 0
156 4 0
157 5 0
158 6 0
159 7 0
160 8 0
161 9 0
162 10 0
163 11 0
164 12 0
165 14 0
166 15 0
167 16 0
168 17 0
169 17 0
170 17 0
171 18 0
172 20 0
173 20 0
174 21 0
175 23 0
176 24 0
177 25 0
178 34 0
179 38 0
180 1 0
181 2 0
182 3 0
183 4 0
184 5 0
185 6 0
186 7 0
187 8 0
188 9 0
189 10 0
190 11 0
191 12 0
192 13 0
193 14 0
194 15 0
195 16 0
196 17 0
197 18 0
198 19 0
199 20 0
200 21 0
201 22 0
202 24 0
203 26 0
204 34 0
205 36 0
206 47 0
207 1 0
208 2 0
209 2 0
210 3 0
211 4 0
212 5 0
213 6 0
214 6 0
215 7 0
216 8 0
217 9 0
218 10 0
219 11 0
220 12 0
221 13 0
222 14 0
223 15 0
224 16 0
225 19 0
226 21 0
227 22 0
228 23 0
229 25 0
230 26 0
231 27 0
232 28 0
233 29 0
234 33 0
235 43 0
236 1 0
237 2 0
238 2 0
239 3 0
240 4 0
241 5 0
242 5 0
243 6 0
244 7 0
245 9 0
246 10 0
247 12 0
248 13 0
249 14 0
250 15 0
251 17 0
252 18 0
253 19 0
254 20 0
255 21 0
256 23 0
257 25 0
258 26 0
259 27 0
260 28 0
261 30 0
262 31 0
263 33 0
264 35 0
265 35 0
266 41 0
267 2 0
268 2 0
269 3 0
270 3 0
271 4 0
272 5 0
273 6 0
274 7 0
275 9 0
276 10 0
277 12 0
278 13 0
279 16 0
280 17 0
281 19 0
282 20 0
283 23 0
284 24 0
285 27 0
286 30 0
287 31 0
288 33 0
289 34 0
290 51 0
291 1 0
292 2 0
293 3 0
294 4 0
295 5 0
296 4 0
297 5 0
298 6 0
299 6 0
300 6 0
301 7 0
302 8 0
303 9 0
304 10 0
305 11 0
306 13 0
307 14 0
308 15 0
309 16 0
310 17 0
311 19 0
312 20 0
313 22 0
314 22 0
315 23 0
316 26 0
317 27 0
318 30 0
319 29 0
320 33 0
321 37 0
322 42 0
323 49 0
324 1 0
325 2 0
326 3 0
327 4 0
328 5 0
329 6 0
330 7 0
331 8 0
332 9 0
333 10 0
334 12 0
335 13 0
336 15 0
337 16 0
338 18 0
339 21 0
340 22 0
341 23 0
342 24 0
343 25 0
344 27 0
345 30 0
346 31 0
347 34 0
348 38 0
349 42 0
350 60 0
351 1 0
352 2 0
353 1 0
354 2 0
355 3 0
356 3 0
357 4 0
358 5 0
359 6 0
360 7 0
361 11 0
362 13 0
363 15 0
364 18 0
365 21 0
366 23 0
367 24 0
368 25 0
369 26 0
370 30 0
371 34 0
372 36 0
373 40 0
374 40 0
375 50 0
376 1 0
377 2 0
378 2 0
379 3 0
380 3 0
381 4 0
382 5 0
383 6 0
384 8 0
385 9 0
386 11 0
387 12 0
388 13 0
389 14 0
390 15 0
391 17 0
392 19 0
393 20 0
394 21 0
395 22 0
396 26 0
397 27 0
398 28 0
399 29 0
400 31 0
401 32 0
402 34 0
403 37 0
404 43 0
405 52 0
406 2 0
407 3 0
408 3 0
409 4 0
410 4 0
411 5 0
412 5 0
413 6 0
414 7 0
415 8 0
416 9 0
417 10 0
418 11 0
419 12 0
420 13 0
421 16 0
422 17 0
423 18 0
424 19 0
425 20 0
426 22 0
427 23 0
428 24 0
429 25 0
430 26 0
431 27 0
432 28 0
433 30 0
434 31 0
435 36 0
436 40 0
437 41 0
438 42 0
439 51 0
440 1 0
441 2 0
442 2 0
443 3 0
444 4 0
445 5 0
446 6 0
447 7 0
448 9 0
449 10 0
450 12 0
451 14 0
452 15 0
453 16 0
454 17 0
455 18 0
456 19 0
457 20 0
458 21 0
459 22 0
460 25 0
461 27 0
462 32 0
463 35 0
464 37 0
465 39 0
466 68 0
467 1 0
468 2 0
469 4 0
470 5 0
471 6 0
472 7 0
