kind,id,conway,component,samples,target_length,sampled_length,relative_length_error,coeff_count,max_harmonic
knot,3:1:1,3,1,512,16.371637,16.371638307410723,7.985827710221827e-08,183,250
link,L2a1,2,1,256,6.283185,6.283027602288602,-2.505062502500266e-05,2,1
link,L2a1,2,2,256,6.283185,6.283027602288602,-2.505062502500266e-05,2,1
link,L4a1,4,1,256,11.340641,11.340638314796058,-2.367770870481678e-07,228,255
link,L4a1,4,2,256,8.668674,8.66867075576275,-3.7424838550403905e-07,235,255
link,L6n1,"2,2,2-",1,256,8.423758,8.42375937072237,1.6272100533676337e-07,204,254
link,L6n1,"2,2,2-",2,256,8.401603,8.401602521717559,-5.6927522140703957e-08,249,255
link,L6n1,"2,2,2-",3,256,8.348813,8.348809936649864,-3.669204394762815e-07,237,255
