frame,time,component,rmsd,normalized_rmsd,Q_geom,dmin_mean,dmin_max,defect_fraction,largest_defect_cluster_fraction,Q_phase,global_phase_shift_rad
0,0.0,0,1.5365667845520026e-16,1.5365667845520026e-16,1.0,6.838885880112707e-29,6.735821320540018e-28,0.0,0.0,1.0,0.0
1,0.16666666666666666,0,0.0004753659033186874,0.0004753659033186874,0.9999997740272835,7.42628901641524e-10,1.4780765668533857e-09,0.0,0.0,0.9995735898237509,0.11666998567522176
2,0.3333333333333333,0,0.0009507318066373747,0.0009507318066373747,0.9999990961094404,2.970515606566099e-09,5.912306267413564e-09,0.0,0.0,0.9983989029108105,0.23335771918786008
3,0.5,0,0.0014260977099560621,0.0014260977099560621,0.9999979662473897,6.6836601147737134e-09,1.3302689101680502e-08,0.0,0.0,0.9967531860806693,0.35007115923843335
4,0.6666666666666666,0,0.0019014636132747495,0.0019014636132747495,0.9999963844426636,1.1882062426264383e-08,2.36492250696542e-08,0.0,0.0,0.9949921984979065,0.4668031060936849
5,0.8333333333333333,0,0.002376829516593437,0.002376829516593437,0.9999943506974064,1.856572254103807e-08,3.695191417133506e-08,0.0,0.0,0.9934362532294452,0.5835328310816436
6,1.0,0,0.0028521954199121242,0.0028521954199121242,0.9999918650143758,2.6734640459094844e-08,5.321075640672206e-08,0.0,0.0,0.9922807027332784,0.7002342643939914
7,1.1666666666666665,0,0.003327561323230812,0.003327561323230812,0.9999889273969419,3.638881618043467e-08,7.242575177581798e-08,0.0,0.0,0.9915626993242787,0.816887332344704
8,1.3333333333333333,0,0.003802927226549499,0.003802927226549499,0.9999855378490875,4.752824970505745e-08,9.459690027861753e-08,0.0,0.0,0.9911915722762518,0.9334874904438518
9,1.5,0,0.004278293129868187,0.004278293129868187,0.9999816963754083,6.015294103296337e-08,1.1972420191512493e-07,0.0,0.0,0.9910241703646814,1.0500491713940234
10,1.6666666666666665,0,0.004753659033186874,0.004753659033186874,0.9999774029811127,7.426289016415234e-08,1.478076566853399e-07,0.0,0.0,0.9909493197978518,1.1666014636282083
11,1.8333333333333333,0,0.005229024936505561,0.005229024936505561,0.9999726576720217,8.985809709862443e-08,1.788472645892603e-07,0.0,0.0,0.9909436990217428,1.2831776434436188
12,2.0,0,0.0057043908398242485,0.0057043908398242485,0.999967460454569,1.0693856183637944e-07,2.1284302562688906e-07,0.0,0.0,0.9910755034377831,1.3998027629203489
13,2.1666666666666665,0,0.006179756743142936,0.006179756743142936,0.9999618113358012,1.2550428437741743e-07,2.4979493979822446e-07,0.0,0.0,0.9914562970763718,1.5164843300172104
