basis,candidate_a,candidate_b,growth_A_over_B,pair_id,winner_anonymous
CONVERGED_GROWTH,84d0673eadfd9e78,5a15805b900c6118,1.00740581511071,P00065,TIE
NEUTRAL_NEUTRAL,3793a1c4a43a01b2,0ee1b1dfcb8125d9,1.0,P00066,TIE
MODE_GATE,e2758d8166aa8ace,98267758442da2f1,,P00067,A
NEUTRAL_NEUTRAL,b361696395f0bcbf,50195c73ba579378,1.0,P00068,TIE
NEUTRAL_NEUTRAL,5cf3fff2ad936610,f5e7ad751caabef1,1.0,P00069,TIE
MODE_GATE,e8e3a218ee8f2d9f,f3768ba2009650a1,,P00070,INDETERMINATE
NEUTRAL_NEUTRAL,aa3095090a568330,6c81463a1932402d,1.0,P00071,TIE
MODE_GATE,aec5da579a8e9fb8,59935617c4b10df8,,P00072,B
MODE_GATE,ab5d9bdf04ef5dc0,e8d8804010b520f8,,P00073,INDETERMINATE
MODE_GATE,b2093455d4b794e2,a1b1824646b9d21d,,P00074,INDETERMINATE
NEUTRAL_NEUTRAL,f80d5fffef544d78,d149de48cd11e948,1.0,P00075,TIE
NEUTRAL_NEUTRAL,abcc454e965b680e,088c9d07a7fe4064,1.0,P00076,TIE
MODE_GATE,35937504b1878818,5cf25cfe1af39b75,,P00077,B
NEUTRAL_NEUTRAL,c87cef0b3e8c2483,cb86c252ef2e09d5,1.0,P00078,TIE
MODE_GATE,1eee452ea3b0fc91,7bc8d48a1416b03a,,P00079,B
NEUTRAL_NEUTRAL,b4ba9ac3095d1d2e,c398cfd6fe1fb8f9,1.0,P00080,TIE
NEUTRAL_NEUTRAL,15510b7f43f1f8cc,d1d40c8a272adb3e,1.0,P00081,TIE
NEUTRAL_NEUTRAL,40fb382ab0621aca,78a0bfcee8148d15,1.0,P00082,TIE
MODE_GATE,909c3d0668e06d12,fbbd69ba6a92d24a,,P00083,B
CONVERGED_GROWTH,cb6f5e5a839d424d,b669bb20aead6c25,3.073141083994528,P00084,B
CONVERGED_GROWTH,e3f8e8d5503270a1,51de19b80584e704,1.1063932339939062,P00085,B
CONVERGED_GROWTH,2a5f00de5f7fa270,2eefa83162dee365,1.137312364498754,P00086,B
CONVERGED_GROWTH,c10a14047efdbfcb,ff534a414c40ce18,2.103887747350079,P00087,B
CONVERGED_GROWTH,5e7cb967ee58bb21,25c0d521510a74c7,1.0595853261670747,P00088,B
CONVERGED_GROWTH,a40022fc5b43fe40,3861e27a6fdf8777,0.9861829386098713,P00089,TIE
CONVERGED_GROWTH,34ab41814a953e89,e5c04efdc10b2ffb,2.5109256920697665e-05,P00090,A
MODE_GATE,f0b9e44d94e535a9,76de05165f106a08,,P00091,A
NEUTRAL_NEUTRAL,e6c8c09bbbc15bf7,0a0f9769aaec2658,1.0,P00092,TIE
MODE_GATE,66a3966ee5272432,e058cf38e547eada,,P00093,A
NEUTRAL_NEUTRAL,21dea1fdba9a2b91,e5b025acb1a5e1b2,1.0,P00094,TIE
MODE_GATE,8ad7a37291471c09,2ec2cc14b8298589,,P00095,INDETERMINATE
MODE_GATE,f9c73aedce1c283a,333e6316c3f98772,,P00096,INDETERMINATE
MODE_GATE,37c288996d46dc60,efeebeda18bf0494,,P00097,INDETERMINATE
MODE_GATE,946d86df0f139b16,4df743c05d55eb1a,,P00098,INDETERMINATE
NEUTRAL_NEUTRAL,b3511eb09825ab5c,028483adb5b4e342,1.0,P00099,TIE
CONVERGED_GROWTH,12c7bd87f597e6b1,c8fcaa11db3b4d59,1084096.7923593288,P00100,B
CONVERGED_GROWTH,0d219add3c9e78ca,4563b7c93c9e6e7d,0.9955031477111963,P00101,TIE
