axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid
-0.75,4835be560fd464c5,db27013b432c4da3,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,1,1,P00000,gaussian,CLOSED,0.0,0.0,0.0,-0.9309958750727791,0.15912499999999996,0.9937201119758472,True,False
-0.75,5b752d7e9d5a8b44,3ecbd4225c5bf2af,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,1,2,P00001,gaussian,OFFSET_CONTROL,0.022066057887597922,0.018335842724998698,1.203438435775495,-2.2304822988307795,0.0002500000000000835,0.27150430933619596,True,True
-0.75,ec6a8d53baf86bee,3a154ae9005321c0,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00002,gaussian,TIE,8.027748768134401e-17,6.452971585452893e-17,8.027748768134402e-05,1.1218819858296123,0.39549999999999996,0.29983688011485127,True,True
-0.75,2b5cae9ad6a30709,697e697bc58a2bef,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00003,gaussian,INDETERMINATE,nan,5.309488311962475e-16,nan,nan,nan,nan,False,False
0.75,31eca172877aad4e,ce46ebc6d19a77c8,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,1,P00004,gaussian,OFFSET_CONTROL,0.00028863160906737474,0.000546648451526071,0.5280022439679575,2.4532654151984943,0.32962500000000006,0.22919263689100117,False,True
0.75,f916ac9f29db8555,c545dbb9fabe06e9,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,2,P00005,gaussian,CLOSED,0.001107058994659179,0.0014853677318964486,0.7453097107783118,0.17315792021061452,0.3175000000000001,0.24676163731353315,True,True
0.75,49b796405c0db921,7820dfc61726cc28,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00006,gaussian,TIE,7.15530349662619e-17,2.423096473116912e-16,7.155303496626191e-05,-0.12094286207275685,0.20900000000000007,0.42600135203064415,True,True
0.75,356d6899786c610a,b4b73d2d45100228,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00007,gaussian,TIE,8.469800505009265e-17,1.156768824195047e-16,8.469800505009265e-05,0.033673024201340364,0.38775000000000004,0.518304040316034,True,True
-0.75,86700b28839de3d8,120b9c8d6dd7fe33,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00008,smooth_rankine,OFFSET_CONTROL,0.007268099313231519,0.00486184800940016,1.49492524224924,2.8443853659945417,0.06999999999999984,0.34275361034051244,True,True
-0.75,0d2bb238fbec9657,01d3c123f46972fa,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,2,P00009,smooth_rankine,CLOSED,0.014382867768729749,0.01698722021958898,0.846687544095296,-1.318458635008763,0.007500000000000062,0.46866492731304044,True,True
