axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,growth_effect_bounded,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,closed_phase_valid,phase_uncertainty_rad,phase_sampling_step_rad,dispersion_omega_rmse,carrier_phase_cycles_at_return,lambda_real,lambda_imag,omega_mode,T_mode,advective_frequency_mode_weighted,omega_intrinsic,T_intrinsic,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,intrinsic_over_swirl_frequency_ratio,clock_regime,axial_branch_continuation_enabled,axial_branch_continuation_success
-1.0,8510c6b4e0cdf1b6,2e2966b9d88ad793,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,1,P00000,gaussian,INDETERMINATE,0.0,0.0,nan,nan,nan,False,False,nan,nan,0.8127441317375893,False,False,False,False,nan,nan,nan,nan,0.0,-1.0236033654518202,1.0236033654518202,6.13830075129362,1.2621865778573846,-0.23858321240556446,26.33540408743798,-0.08877791950332513,nan,nan,nan,1.3207793553866565,0.7749995192438192,0.18063820533878616,FAST_SWIRL_LOCKED,False,True
-1.0,85f957bd2659c10d,fcf666763e68a556,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00001,gaussian,SYMMETRIC_CONTROL,0.028829028645273876,0.021451466304509986,1.3439186299365709,0.295589697066188,0.14672228074863264,False,True,1.133258872604025,0.0017062444104820607,0.19240453356584147,True,True,True,True,0.0001848251110201622,0.049999999999999996,9.996494399731144e-09,60.80652565270729,0.028829028645273876,-1.4724236961601516,1.4724236961601516,4.267240009492608,1.4916153133327028,-0.019191617172551245,327.39217600516196,-1.0183395409597291,251.4951032598988,251.9242153740996,1.133258872604025,1.3207793553866565,1.1148142876060487,0.014530524795288706,FAST_SWIRL_LOCKED,False,True
-1.0,8ea490810e4b189b,3b354f23016d58a1,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00002,gaussian,INDETERMINATE,0.0,nan,nan,nan,nan,False,False,nan,nan,0.19678976069249973,False,False,False,False,nan,nan,nan,nan,-6.9033580387693e-16,-2.2939532108478193,2.2939532108478193,2.7390206903380525,2.3928159099971498,-0.09886269914933044,63.554660769366016,nan,nan,nan,nan,1.3207793553866565,1.736817888235592,0.07485179015414616,OTHER_BRANCH,False,True
-1.0,5de8c85d01790e8b,9be65ae64765688d,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,2,P00003,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,OTHER_BRANCH,False,True
0.0,95261ca94235b8fe,8086601cb429bba1,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00004,gaussian,TIE,0.0,1.1791393315352596e-18,1.0,0.0,0.0,True,True,-1.540914083507203,0.4315972686581748,0.9430350521811625,True,True,True,True,0.08808542536768796,0.05000000000000001,5.932917982713744e-06,3745.194988361453,0.0,-1.5849823890954993,1.5849823890954993,3.9641988140733897,1.3454228803897799,0.24510346626793567,25.63482843735511,0.024695233738852088,10370.722169127754,14846.697531336074,-1.540914083507203,1.3207793553866565,1.2000357081834443,0.18557487688485405,OTHER_BRANCH,False,True
0.0,ebde8f69e1e6c2a9,bd352ddfd4d3f42f,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00005,gaussian,SYMMETRIC_CONTROL,6.519087389096648e-17,2.986637976000927e-17,nan,nan,nan,False,False,nan,nan,0.4242531812403921,False,True,False,False,nan,nan,nan,nan,6.519087389096648e-17,-1.578046688761968,1.578046688761968,3.9816219329410094,1.3339257762768144,0.004748454351607201,1323.2064250660696,0.07017889367285211,nan,nan,nan,1.3207793553866565,1.1947844901770113,0.0035951912272410534,FAST_SWIRL_LOCKED,False,True
0.0,882e0a6406f2f378,631ef7b07b09354e,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00006,gaussian,TIE,6.516184370025646e-18,7.397311804107398e-18,1.0,0.0,0.0,True,True,-1.2254679462940694,0.1996441262292259,0.8420568877873273,True,True,True,True,0.048772844359195856,0.05,3.4996108627467567e-06,7040.191838867958,6.516184370025646e-18,-3.167984427558267,3.167984427558267,1.9833384446344544,3.1634044857399264,0.01065417628850529,589.7391911900751,0.022045764301901468,11617.080020456153,13936.361810475119,-1.2254679462940694,1.3207793553866565,2.3985720360013074,0.008066582995148569,OTHER_BRANCH,False,True
0.0,ac425241775054d4,25814c2447ef8167,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00007,gaussian,TIE,2.1910703649752913e-17,2.5247516594658224e-17,1.0,0.0,0.0,True,True,2.2010180260009498,0.06444922923324736,0.382078598229806,True,True,True,True,0.0007025732221785764,0.05,1.5910857868953808e-07,1934.7846881955995,2.1910703649752913e-17,-3.0736780256547864,3.0736780256547864,2.044191113947622,3.1102078283312666,-0.036529802676480205,172.00162187640365,-0.06058085018294087,4227.53076647021,3955.0696670113657,2.2010180260009498,1.3207793553866565,2.327169949408371,0.02765776321949411,OTHER_BRANCH,False,True
1.0,14eb7562273b3bd0,48bd8c3badcf7f0d,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,1,P00008,gaussian,INDETERMINATE,0.0003096668967836193,0.0003050037543454001,nan,nan,nan,False,False,nan,nan,0.34390458026785453,False,False,False,False,nan,nan,nan,nan,0.0003096668967836193,-0.06463258072798805,0.06463258072798805,97.21390104509254,1.0122392942137954,-0.9442552475287809,6.654117436597115,-0.005378717800315876,nan,nan,nan,1.3207793553866565,0.04893518396119006,0.7149227792497947,SLOW_MODE,False,True
1.0,5d67823feb888824,257e59bc89384c8c,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00009,gaussian,TIE,0.0011676636421382226,0.0011771238959980127,0.9919633153951706,-0.008069152829474659,-0.004031150543480078,False,True,-0.27562638043790183,0.32307725225160544,0.3540443761199931,True,True,True,False,1.3851512495836136,0.05,7.563925200613726e-05,220.0876222342958,0.0011676636421382226,-0.07367091787541807,0.07367091787541807,85.28718642822977,1.0356663732440814,-0.960152711922296,6.543943717661526,0.009466976311758132,27052.71457046065,18312.597881089252,-0.27562638043790183,1.3207793553866565,0.05577836871462229,0.7269592063249751,SLOW_MODE,False,True
