axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid
-1.0,9200b770c506f0c5,2cd7b65a4f95fe18,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,1,P00000,gaussian,INDETERMINATE,0.0,0.0,0.0,-2.225357153000324,0.38,0.8127441317375893,False,False
-1.0,be9e40c026d81543,c806560afc8753f9,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,2,P00001,gaussian,CLOSED,0.028829028645273876,0.03287588178749354,0.8769051072644036,0.40122525972913864,0.0036249999999999893,0.19240453356584147,True,True
-1.0,b10e418b5769d14a,684238c65a6067cb,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00002,gaussian,INDETERMINATE,0.0,1.0669692428181955e-17,0.0,nan,nan,0.19678976069249973,False,False
-1.0,996bbb06ee1d0433,cb08cace8553cd40,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,2,2,P00003,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,nan,False,False
0.0,bbdf007853784594,0742c3e856047fbd,TORUS_T2_3,OFFSET_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00004,gaussian,TIE,0.0,0.0,0.0,1.6390836687778003,0.429875,0.9430350521811625,True,True
0.0,5aa5fe17157b3c5e,94889a0f72c32d22,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,2,P00005,gaussian,OFFSET_CONTROL,6.519087389096648e-17,1.6159862441854558e-17,6.519087389096649e-05,-1.4570317387112701,0.3025,0.4242531812403921,False,True
0.0,637f1fde16376839,878c1526fd66c534,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00006,gaussian,TIE,6.516184370025646e-18,1.442616977665473e-17,6.516184370025647e-06,2.391391170480013,0.20125000000000015,0.8420568877873273,True,True
0.0,96c2c5c85ebde356,767fe02c7b651482,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00007,gaussian,TIE,2.1910703649752913e-17,2.790255599718506e-17,2.1910703649752914e-05,-1.1619989280665979,0.06612499999999988,0.382078598229806,True,True
1.0,c8d128f4b13adee7,db0901d83b8b33db,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,1,P00008,gaussian,OFFSET_CONTROL,0.0003096668967836193,0.0006100075086908002,0.5076444017029025,-0.2564345585587807,0.36787499999999995,0.34390458026785453,False,True
1.0,eed83f3dd6ee91d2,81c01d391828d3fd,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,2,P00009,gaussian,CLOSED,0.0011676636421382226,0.0015062641382172194,0.7752051001627399,-2.909095781230494,0.32187500000000013,0.3540443761199931,True,True
