pair_key,topology_key,variant_key,fseries_present,short_present,fseries_relative_path,short_relative_path,fseries_sha256,short_sha256,fseries_rows,short_vertices,fseries_field_width,short_field_width,fseries_first_row_all_zero,fseries_first_row_zero_fields,fseries_first_numeric_tokens,short_first_numeric_tokens,fseries_zero_token_styles,short_zero_token_styles,harmonic_origin,origin_method,origin_status,origin_fit_rmsd_j0,origin_fit_rmsd_j1,origin_confidence_ratio
10_1/knot.10_1,10_1,10_1,True,False,10_1/knot.10_1.fseries,,a211ddc4c5376e680de437783edc6060e6c14ab3c1de526d94eb3ad58db9c1eb,,100,,6,,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,,"[""-0.000000"", ""0.000000""]",,0,EXPLICIT_CONSTANT_TERM_COMMENT,RESOLVED,,,
10_1/knot.10_1n,10_1,10_1n,True,False,10_1/knot.10_1n.fseries,,acde57b23c64b43156ea37eaef04a7733064eb7a6fc571eae8ba0fe2a4453caa,,50,,6,,False,0,1.054844 0.000068 0.000007 0.420461 0.000023 -0.000028,,[],,1,NO_EXPLICIT_ZERO_ROW_ASSUME_J1,RESOLVED,,,
12a_1202/knot.12a_1202,12a_1202,12a_1202,True,True,12a_1202/knot.12a_1202.fseries,12a_1202/knot.12a_1202.short,caa73875bab307dce64baa1e0cb9e0a0054edf8649ececcea64a61f67aab0089,782255e91575661c8b38585859fd6f865168037b407844bd8448a1e9b7c997ca,21,330,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.087543 0.670155 -0.055038,"[""0.000000""]",[],0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.02898030331875462,1.1277306613506728,38.913694206259784
12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,True,True,12a_1202/knot.12a_1202z6.fseries,12a_1202/knot.12a_1202z6.short,99d4553339b63ae269c3e1ca5bf70171a002155b492e300533e1dae985897cd7,c0d93dfba2330f043389b7f326e1fde3c7d19eb31e8e203656c3fa7c5fdc98e3,20,372,6,3,False,0,-0.074778 0.038826 0.003765 -0.084173 -0.071014 -0.045347,3.094025 -1.146124 -0.447005,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.4142135369899427,0.017329079910019037,81.60926860128889
15331/knot.15331,15331,15331,True,True,15331/knot.15331.fseries,15331/knot.15331.short,fd5fc08c7652f044f91b5f7d5da74937689efa4c7e3b6a3f19caec6c6152ce7e,e19e6e4c819314dc41c3b62920d56e18ef257bf764671d928843e9fea1c1bfe5,21,356,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-1.303569 -0.680015 0.304652,"[""0.000000""]",[],0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.041802571363491574,1.414213543550328,33.83077876365846
1_1/knot.1_1,1_1,1_1,True,False,1_1/knot.1_1.fseries,,03921dfa09a446acd2feb91a1a9d3e4825aea162422df274aeb27af84b15fbf3,,1,,6,,False,4,1.0 0.0 0.0 1.0 0.0 0.0,,"[""0.0""]",,1,NO_EXPLICIT_ZERO_ROW_ASSUME_J1,RESOLVED,,,
3_1/knot.3_1,3_1,3_1,True,True,3_1/knot.3_1.fseries,3_1/knot.3_1.short,f29c73b439fe4d645e67e8577ce0700cb006d393526e8674d251fe5b95583c4d,efe46ae0a80fe1ed8c14c7cc35bebbb4a5051f7d2a7afd3425f60db63338f902,5,94,6,3,False,4,0.000000 0.224483 0.224483 0.000000 0.000000 0.000000,1.113088 0.002162 -0.499993,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.0909156038141996,0.010352987785991035,105.37205552298178
3_1/knot.3_1p,3_1,3_1p,True,True,3_1/knot.3_1p.fseries,3_1/knot.3_1p.short,ed13ffeeaaaef3a082313298f3992605ba96dedc1456551f152a70b24a52ede2,0ae4d063a838acc4a312df1e02475542c5ba34c0231afff04ad1d75275c8a551,10,100,6,3,False,4,0.000 0.000 0.000 -0.221 0.064 0.000,0.020852 -0.023638 0.541729,"[""0.000""]","[""0.000000""]",1,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.690166073654334,0.017511458190389517,39.412256029775115
3_1/knot.3_1u,3_1,3_1u,True,True,3_1/knot.3_1u.fseries,3_1/knot.3_1u.short,cbdbaf08a467b769f4d7040ba9cb8c9fefa11d928c8dc1602b862c0b77fecc24,73cd5304e79a9cf52b71c88d1d7ebc21948a6d87526b0e95ba5aa6f257150e80,5,118,6,3,False,4,0.000000 -0.225000 0.225000 0.000000 0.000000 0.000000,-1.095785 -0.008559 0.619099,"[""0.000000""]","[""0.000000""]",1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.1323619480604197,0.016971800063049026,66.72020315192118
4_1/knot.4_1,4_1,4_1,True,True,4_1/knot.4_1.fseries,4_1/knot.4_1.short,2a603bb0e169a0217daeabfa179d43abd1ec42372dd51c5605926ddab4412c61,5e24c35acb650ea4ec162f34fdca425c3aada5ef1de302d9bdcf87dfed60b87f,10,119,6,3,False,3,0.000000 0.202133 0.104879 0.000000 0.000000 -0.027544,-0.036864 1.150262 -0.050238,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.823956474926157,0.0386042588021434,21.34366778414637
4_1/knot.4_1d,4_1,4_1d,True,True,4_1/knot.4_1d.fseries,4_1/knot.4_1d.short,35cde5f38a8f28ade098a4264aef444d9409a675b4d8c3c4431b0bfe8a54f966,b62c0dbc33a169cd0a19f48929bb8bee8d620cb3e35e726584298cfca05902a1,11,160,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.112457 0.495923 -0.139440,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.01704367391150604,1.2053891580680303,70.72355199510608
4_1/knot.4_1i8,4_1,4_1i8,False,True,,4_1/knot.4_1i8.short,,e63c8a4da2edba5154579278762599c593759e8ded7b40adf7e0fa74ba74ab08,,118,,3,,,,0.002618 -0.000971 1.302843,,[],,,,,,
4_1/knot.4_1p,4_1,4_1p,True,True,4_1/knot.4_1p.fseries,4_1/knot.4_1p.short,525ef21b7446fb820fc55e324bca18f4adb81f43a8063d6d42f40bdd1ddab44a,eac4ff3e8e92a51a9012755c3dfd1c8b29b2aec886b8e15661f8375795259769,11,109,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.071878 -1.170038 0.616463,"[""0.000000""]",[],0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.012104423904837212,0.8529697452710613,70.46760357840695
4_1/knot.4_1z,4_1,4_1z,True,True,4_1/knot.4_1z.fseries,4_1/knot.4_1z.short,0c1627082758aa6de4c30e49d78c79611634574329794233a5cc889741658933,1f80a41a256cc4aadf31c1f4afbca99aa1196e8efbe76ae20be7528b83778dd6,10,112,6,3,False,2,0.042736 0.107483 0.107483 -0.042736 0.000000 0.000000,-0.632000 -1.393102 0.849883,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.0025838658036625,0.04061726202372077,24.68368904871398
5_1/knot.5_1,5_1,5_1,True,True,5_1/knot.5_1.fseries,5_1/knot.5_1.short,fe0e3bafc612fd517b5e54083f53e58caa8fc8ad424ea3baae0c0eae02da3638,b7cf6cea68f6ad9d2da2fcf5e66c3c7da41390671b1ee06048583fb2e3734faa,7,159,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1.384482 0.206204 -0.561442,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.3402786435441605,0.010790760201245543,124.20613733863314
5_1/knot.5_1p,5_1,5_1p,True,True,5_1/knot.5_1p.fseries,5_1/knot.5_1p.short,d1eae317d534a7e9e94bebe51729017e065c7f486bc83daf0a8a7beb48a8e3db,e0a600a5babc6aa2b65cbd4832a4c4d673f4684c740b3ca162cc8e3cfdd123e4,10,187,6,3,False,4,0.000 0.000 0.000 -0.186 0.037 0.000,0.032307 0.053954 -0.628057,"[""0.000""]","[""0.000000""]",1,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.7939594142602997,0.027975887877251117,28.38013283953415
5_1/knot.5_1u,5_1,5_1u,True,True,5_1/knot.5_1u.fseries,5_1/knot.5_1u.short,40967dce870e753ec58ddf60ea1e24ee6be8f56ed896bc95ac8d2057145548cd,08071e7e16fbb777588317f3e28a5b3690a805c48e09e538185e25fa4b4cffd2,7,276,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-1.683388 -0.003423 0.910129,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.2590281122068991,0.023064471888495454,54.58733754207057
5_2/knot.5_2,5_2,5_2,True,True,5_2/knot.5_2.fseries,5_2/knot.5_2.short,66d4967373194aa89dcedbb17483f89ac4e4f628826eda9fcb5b06169d7ff3b8,7b07195f44ba38e80eeefed9efd0857081be03fd062970d41de1c41105f25f81,10,143,6,3,False,2,-0.215162 -0.028933 0.000000 0.000000 0.005818 -0.007493,0.005555 -1.866419 -0.581324,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.7563231635817375,0.03599658797118469,21.010968155847852
5_2/knot.5_2d,5_2,5_2d,True,True,5_2/knot.5_2d.fseries,5_2/knot.5_2d.short,b5f29f0ef2fe0ca1dfea4ae85b0c3e887406979e31dd8aeb74ebd5e70bc2a3a4,b84b78bca0532515e2b50b73a4ff9ba1f2541030317b9c8fa29e8633ba428c5f,11,196,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,0.110196 0.491826 0.107964,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.05434210611039609,1.2651136830111376,23.28054198784745
