knot_id,scale_over_rc,epsilon_over_rc,D_over_epsilon_proxy,centerline_points,local_minimum_count,candidate_surface_fraction_all_rays,mean_minimum_rho_over_rc,reach_estimate_over_rc,backend
0_1,0.5,0.0019,263.1578947368421,4096,128,1.0,0.0034978433013837604,0.49841014964554786,cpp
3_1,0.5,0.0019,263.1578947368421,5120,128,1.0,0.0034991424254620074,0.2309461019734544,cpp
4_1,0.5,0.0019,263.1578947368421,6144,128,1.0,0.0034971946884199976,0.24998602100322956,cpp
5_2,0.5,0.0019,263.1578947368421,7168,128,1.0,0.0035002703071803053,0.1783644896170557,cpp
0_1,1.0,0.0019,526.3157894736842,4096,128,1.0,0.003505393833963533,0.9968202992910957,cpp
3_1,1.0,0.0019,526.3157894736842,9216,128,1.0,0.0035054546022779466,0.46161553179933995,cpp
4_1,1.0,0.0019,526.3157894736842,11264,128,1.0,0.0035046430607608187,0.49997204147530677,cpp
5_2,1.0,0.0019,526.3157894736842,13312,128,1.0,0.0035054614487011076,0.35644378239192404,cpp
0_1,2.0,0.0019,1052.6315789473683,7168,128,1.0,0.0035072420756387607,1.9936405985820451,cpp
3_1,2.0,0.0019,1052.6315789473683,17408,128,1.0,0.0035069212220871864,0.9230673954295328,cpp
4_1,2.0,0.0019,1052.6315789473683,22528,128,1.0,0.003506842727186882,0.9999440829506135,cpp
5_2,2.0,0.0019,1052.6315789473683,26624,128,1.0,0.0035070916016748193,0.7124266877295324,cpp
0_1,4.0,0.0019,2105.2631578947367,13312,128,1.0,0.003507405874107946,3.9872811971646147,cpp
3_1,4.0,0.0019,2105.2631578947367,34816,128,1.0,0.0035074666609148236,1.8460597321563867,cpp
4_1,4.0,0.0019,2105.2631578947367,45056,128,1.0,0.00350748436330622,1.9998881786285725,cpp
5_2,4.0,0.0019,2105.2631578947367,52224,128,1.0,0.003507418866726641,1.4247619282209294,cpp
