cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,ppw,wavelength_status,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
0,2,0;98,oscillatory,-1.368633066808794,5.919025086916516e-17,64,5.0,UNDERRESOLVED,-0.999986364297;-0.999986364297,1227.5187378248936,2454.0374617473776,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
1,2,1;99,oscillatory,1.368633066808794,5.919025086916516e-17,64,5.0,UNDERRESOLVED,0.999986364297;0.999986364297,1227.5187378248936,2454.0374617473776,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
2,2,2;96,oscillatory,-1.3443572456061204,-2.374205048790988e-17,63,5.079365079365079,UNDERRESOLVED,-0.999985850098;-0.999985850098,16.911205818559306,32.82239526753448,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
3,2,3;97,oscillatory,1.3443572456061204,-2.374205048790988e-17,63,5.079365079365079,UNDERRESOLVED,0.999985850098;0.999985850098,16.911205818559306,32.82239526753448,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
4,2,4;16,oscillatory,-1.2675385921042437,-5.30898628965771e-17,60,5.333333333333333,UNDERRESOLVED,-0.999984023111;-0.999984023111,20.198012054116855,39.39600813092832,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
5,2,5;17,oscillatory,1.2675385921042437,-5.30898628965771e-17,60,5.333333333333333,UNDERRESOLVED,0.999984023111;0.999984023111,20.198012054116855,39.39600813092832,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
6,2,6;18,oscillatory,-1.2130024989274921,-1.4772831414699715e-16,58,5.517241379310345,UNDERRESOLVED,-0.999982509546;-0.999982509546,67.10398731929729,133.20795702678708,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
7,2,7;19,oscillatory,1.2130024989274921,-1.4772831414699715e-16,58,5.517241379310345,UNDERRESOLVED,0.999982509546;0.999982509546,67.10398731929729,133.20795702678708,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
8,2,8;10,oscillatory,-1.2406015237986259,-6.331213463442735e-17,59,5.423728813559322,UNDERRESOLVED,-0.9999833005;-0.9999833005,7.162678510168515,13.317894814733602,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
9,2,9;11,oscillatory,1.2406015237986259,-6.331213463442735e-17,59,5.423728813559322,UNDERRESOLVED,0.9999833005;0.9999833005,7.162678510168515,13.317894814733602,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
10,2,12;14,oscillatory,-1.1847460547143052,-3.693207853674929e-17,57,5.614035087719298,UNDERRESOLVED,-0.999981641724;-0.999981641724,1.611624393046195,2.211424868979557,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
11,2,13;15,oscillatory,1.1847460547143052,-3.693207853674929e-17,57,5.614035087719298,UNDERRESOLVED,0.999981641724;0.999981641724,1.611624393046195,2.211424868979557,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
12,2,20;22,oscillatory,-1.1558385333618888,-1.688323590251396e-16,56,5.714285714285714,UNDERRESOLVED,-0.999980687156;-0.999980687156,1.4923791830476065,1.6085368667020263,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
13,2,21;23,oscillatory,1.1558385333618888,-1.688323590251396e-16,56,5.714285714285714,UNDERRESOLVED,0.999980687156;0.999980687156,1.4923791830476065,1.6085368667020263,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
14,2,24;30,oscillatory,-1.3194170120436597,1.8993640390328205e-16,62,5.161290322580645,UNDERRESOLVED,-0.999985291892;-0.999985291892,44.563080949899295,88.12606311355768,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
15,2,25;31,oscillatory,1.3194170120436597,1.8993640390328205e-16,62,5.161290322580645,UNDERRESOLVED,0.999985291892;0.999985291892,44.563080949899295,88.12606311355768,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
16,2,26;28,oscillatory,-1.2938108503464392,5.276011219535612e-18,61,5.245901639344262,UNDERRESOLVED,-0.999984684766;-0.999984684766,1.0003720472006064,1.0005719527337884,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
17,2,27;29,oscillatory,1.2938108503464392,5.276011219535612e-18,61,5.245901639344262,UNDERRESOLVED,0.999984684766;0.999984684766,1.0003720472006064,1.0005719527337884,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
18,2,32;34,oscillatory,-1.126288207779579,-1.3717629170792594e-16,55,5.818181818181818,UNDERRESOLVED,-0.999979634357;-0.999979634357,164.84681474331924,328.6935102959555,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
19,2,33;35,oscillatory,1.126288207779579,-1.3717629170792594e-16,55,5.818181818181818,UNDERRESOLVED,0.999979634357;0.999979634357,164.84681474331924,328.6935102959555,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
