geometry,N_low,N_high,energy_rel_error,low_core_eta_a,high_core_eta_a,low_core_status,high_core_status,equilibrium_status,matched_clusters,numerically_trackable_clusters,numerically_trackable_fraction,physical_clusters,physical_fraction,numerical_tracking_ready,physical_interpretation_ready
ring,256,320,7.168553789383138e-05,0.49086153142881556,0.39269277348600645,RESOLVED,RESOLVED,relative_equilibrium_reference,232,214,0.9224137931034483,36,0.15517241379310345,True,False
ring,320,384,3.924521742979098e-05,0.39269277348600645,0.32724558415750077,RESOLVED,RESOLVED,relative_equilibrium_reference,250,238,0.952,42,0.168,True,False
trefoil,256,320,0.00037740258701004766,0.4192850069176911,0.3354619274422407,RESOLVED,RESOLVED,frozen_geometry_only,358,316,0.88268156424581,0,0.0,True,False
trefoil,320,384,0.00020506821226079833,0.3354619274422407,0.27955056017323465,RESOLVED,RESOLVED,frozen_geometry_only,344,328,0.9534883720930233,0,0.0,True,False
