low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
38,58,2,2,74;75,114;122,-0.0,-0.0,0.0,0.9976194404889143,0.9976194404889143,0.9967063948861118,0,0,24.0,32.0,RESOLVED,RESOLVED,-5.0748267572e-16;5.0748267572e-16,-5.44516866648e-16;5.44516866648e-16,3.7034190928124405e-17,2.1243237266872117,2.092290444747304,real_dominant,real_dominant,UNDERRESOLVED,DIAGNOSTIC,True,0.9977482630148765,True,False
39,62,2,2,76;77,120;121,-0.0,-0.0,0.0,0.9976194404889136,0.9976194404889133,0.9967063948861119,0,2,24.0,32.0,RESOLVED,RESOLVED,-3.5138716545e-15;3.5138716545e-15,-2.34520612769e-15;2.34520612769e-15,1.1686655268131788e-15,2.128336454323517,1.6525928898731825,real_dominant,real_dominant,UNDERRESOLVED,DIAGNOSTIC,True,0.9977482630148762,True,False
36,60,2,2,70;72,116;118,-0.013252774412093368,-0.015233654835295448,0.13003316962469838,0.9995833193145374,0.9995833193145373,0.9984415749815654,1,1,16.0,64.0,RESOLVED,RESOLVED,0.908426235001;0.908426235001,0.930933894879;0.930933894879,0.022507659877659347,1.9810313719093169,1.1662943082845636,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9798554098904091,True,False
37,61,2,2,71;73,117;119,0.013252774412093368,0.015233654835295448,0.13003316962469838,0.9995833193145374,0.9995833193145373,0.9984415749815654,1,1,16.0,64.0,RESOLVED,RESOLVED,-0.908426235001;-0.908426235001,-0.930933894879;-0.930933894879,0.022507659877659347,1.9810313719093169,1.1662943082845636,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9798554098904091,True,False
48,64,2,2,92;94,124;126,-0.0240382163672908,-0.028444339131980093,0.15490332695884187,0.9996961182489279,0.9996961182489277,0.9989218861527644,3,3,16.0,21.333333333333332,RESOLVED,RESOLVED,0.96510492032;0.96510492032,0.97602889751;0.97602889751,0.010923977190117062,1.272196931119867,3.951961794047386,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9763126434437215,False,False
49,65,2,2,93;95,125;127,0.0240382163672908,0.028444339131980093,0.15490332695884187,0.9996961182489279,0.9996961182489277,0.9989218861527644,3,3,16.0,21.333333333333332,RESOLVED,RESOLVED,-0.96510492032;-0.96510492032,-0.97602889751;-0.97602889751,0.010923977190117062,1.272196931119867,3.951961794047386,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9763126434437215,False,False
34,48,2,2,66;68,94;96,-0.03179355159944627,-0.04002513546500332,0.20566036241787308,0.9995823035359619,0.9995823035359619,0.9987932486829766,4,4,12.0,16.0,RESOLVED,RESOLVED,0.977455914346;0.977455914346,0.986510366858;0.986510366858,0.009054452512272881,2.599251249274887,3.819774543186869,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9685986399296402,False,False
35,49,2,2,67;69,95;97,0.03179355159944627,0.04002513546500332,0.20566036241787308,0.9995823035359619,0.9995823035359619,0.9987932486829766,4,4,12.0,16.0,RESOLVED,RESOLVED,-0.977455914346;-0.977455914346,-0.986510366858;-0.986510366858,0.009054452512272881,2.599251249274887,3.819774543186869,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9685986399296402,False,False
32,44,2,2,60;62,86;88,-0.03507629898530457,-0.048658792930960724,0.27913750275161175,0.9992622236587569,0.9992622236587567,0.9981294211724402,5,5,9.6,12.8,DIAGNOSTIC,RESOLVED,0.979853095623;0.979853095623,0.990109610445;0.990109610445,0.010256514821853635,1.9520312998434701,1.3921352801803693,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9572190640756224,False,False
33,45,2,2,61;63,87;89,0.03507629898530457,0.048658792930960724,0.27913750275161175,0.9992622236587569,0.9992622236587567,0.9981294211724402,5,5,9.6,12.8,DIAGNOSTIC,RESOLVED,-0.979853095623;-0.979853095623,-0.990109610445;-0.990109610445,0.010256514821853635,1.9520312998434701,1.3921352801803693,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9572190640756224,False,False
