theme,zip,cls,eligible,reason,n_text,legacy,C,Q,AB,chain
v0.4.3,SST_fermat_pybind_research_v0.4.3_flat.zip,C,True,"absolute observable present (C=22, Q=0)",40,0,22,0,9,21
v0.4.3,SST_fermat_pybind_research_v0.4.3_smoke_results.zip,C,True,"absolute observable present (C=5, Q=0)",40,0,5,0,15,0
v0.5.0,SST_fermat_pybind_research_v0.5.0.zip,C,True,"absolute observable present (C=29, Q=0)",50,0,29,0,76,25
v0.5.0,SST_fermat_pybind_research_v0.5.0_global_orbit_results.zip,A/B,False,no absolute dimensionful or action-scale observable found,34,0,0,0,69,0
v0.5.0,SST_fermat_pybind_research_v0.5.0_global_orbit_smoke_results.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,26,2,0,0,15,0
v0.5.0,SST_fermat_pybind_research_v0.5.0_smoke_results.zip,C,True,"absolute observable present (C=5, Q=0)",40,0,5,0,15,0
v0.5.1,SST_fermat_pybind_research_v0.5.1.zip,C,True,"absolute observable present (C=31, Q=0)",54,0,31,0,68,28
v0.6.0,SST_fermat_pybind_research_v0.6.0.zip,C,True,"absolute observable present (C=32, Q=0)",59,0,32,0,70,31
v0.6.0,SST_fermat_pybind_research_v0.6.0_global_orbit_smoke_results.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,26,2,0,0,16,0
v0.6.0,SST_fermat_pybind_research_v0.6.0_results.zip,C,True,"absolute observable present (C=5, Q=0)",49,0,5,0,16,0
v0.6.0,SST_fermat_pybind_research_v0.6.0_smoke_results.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
v0.6.1,SST_fermat_pybind_research_v0.6.1.zip,C,True,"absolute observable present (C=44, Q=0)",66,0,44,0,60,34
v0.6.1,SST_fermat_pybind_research_v0.6.1_python_smoke_results.zip,C,True,"absolute observable present (C=16, Q=0)",11,0,16,0,0,0
v0.6.1,SST_fermat_pybind_research_v0.6.1_results.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,0,0
v0.6.1,SST_fermat_pybind_research_v0.6.1_smoke_results.zip,A/B,False,no absolute dimensionful or action-scale observable found,11,0,0,0,0,0
FS_Attachment,sst_ffs_00_results.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,1,6
FS_Attachment,sst_ffs_02_ideal_3_1_1_results.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,5,1,3,0,4,30
