theme,zip,cls,eligible,reason,n_text,legacy,C,Q,AB,chain
Routes_v0819,SST_v0_8_19_RouteA_L2_photon_gas_falsifier_pack.zip,A/B,False,dominated by dimensionless observables (AB=7 vs CQ=1),9,0,0,1,7,5
Routes_v0819,SST_v0_8_19_RouteA_L2_torsion_degeneracy_attempt_pack.zip,X,False,uses legacy reference normalization (3 hits) -> gate 1 fails,18,3,7,0,39,77
Routes_v0819,SST_v0_8_19_RouteA_parallel_derivation_falsification_pack.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,14,1,1,0,71,88
SST21D,SST21D_knot_order_pipeline_v0.1.0 (1).zip,A/B,False,dominated by dimensionless observables (AB=50 vs CQ=1),48,0,1,0,50,4
SST21D,SST21D_knot_order_pipeline_v0.1.0.zip,A/B,False,dominated by dimensionless observables (AB=50 vs CQ=1),48,0,1,0,50,4
SST21D,SST21D_knot_order_pipeline_v0.2.0.zip,A/B,False,dominated by dimensionless observables (AB=57 vs CQ=4),212,0,4,0,57,3
Templates,SST_cpp_pybind_audit_template.zip,C,True,"absolute observable present (C=46, Q=0)",14,0,46,0,0,0
Trefoil,biot_savart_patched_files.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,0,0
Trefoil,fs_unified_attachment_audit_trefoil_patch_package.zip,A/B,False,dominated by dimensionless observables (AB=20 vs CQ=2),4,0,2,0,20,18
Trefoil,sst_ideal_trefoil_biot_package_v1.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,62,1,19,0,13,41
Trefoil,sst_ideal_trefoil_biot_package_v2.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,7,1,10,0,2,31
Trefoil,sst_ideal_trefoil_robustness_outputs_v9_2.zip,C,True,"absolute observable present (C=1, Q=0) [WARN: heavy calibrated-chain dependence]",15,0,1,0,1,30
Trefoil,sst_ideal_trefoil_robustness_outputs_v9_3.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,27,1,2,0,19,135
Trefoil,sst_ideal_trefoil_robustness_sweep_v9_3_log.zip,C,True,"absolute observable present (C=1, Q=0) [WARN: heavy calibrated-chain dependence]",26,0,1,0,1,55
Trefoil,sst_trefoil_bs.zip,C,True,"absolute observable present (C=9, Q=0) [WARN: heavy calibrated-chain dependence]",5,0,9,0,50,32
Trefoil,trefoil_closure.zip,X,False,uses legacy reference normalization (46 hits) -> gate 1 fails,245,46,57,0,510,2419
Trefoil,trefoil_compact_experimental_gear_bundle.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,2,0
Trefoil,trefoil_compact_stl_bundle.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
Trefoil,trefoil_from_fseries_bundle.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
Trefoil,trefoil_from_fseries_structures_bundle.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
Trefoil,trefoils.zip,A/B,False,no absolute dimensionful or action-scale observable found,39,0,0,0,12,0
TripleGear,Base plate and axle for Triple gear - 78218.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
TripleGear,Triple gear (solid) - 79310.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
TripleGear,Triple gear - 66708.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
TripleGear,triple_gear_blender_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,0,0
TripleGear,triple_gear_parametric_recovery_phase1.zip,C,True,"absolute observable present (C=1, Q=0)",3,0,1,0,2,1
TripleGear,triple_gear_split_clickfit_kit.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,0,0
v7.6-release-train,vortexring-lab-v7.6-release-train.zip,A/B,False,no absolute dimensionful or action-scale observable found,18,0,0,0,36,0
v7.6-release-train,vortexring-lab-v7.6.10-release-train.zip,A/B,False,no absolute dimensionful or action-scale observable found,23,0,0,0,38,0
v7.6-release-train,vortexring-lab-v7.6.11-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,17,0
v7.6-release-train,vortexring-lab-v7.6.12-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,2,0
v7.6-release-train,vortexring-lab-v7.6.13-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,0,0
v7.6-release-train,vortexring-lab-v7.6.14-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
v7.6-release-train,vortexring-lab-v7.6.15-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
v7.6-release-train,vortexring-lab-v7.6.16-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,6,0,0,0,13,0
v7.6-release-train,vortexring-lab-v7.6.16-planning-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,6,0
v7.6-release-train,vortexring-lab-v7.6.17-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,5,0
v7.6-release-train,vortexring-lab-v7.6.18-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,8,0,0,0,15,0
v7.6-release-train,vortexring-lab-v7.6.19-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,1403,1520
v7.6-release-train,vortexring-lab-v7.6.20-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,0,2
v7.6-release-train,vortexring-lab-v7.6.21-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,5,0,0,0,1850,1887
v7.6-release-train,vortexring-lab-v7.6.22-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,4,0,0,0,4,174
v7.6-release-train,vortexring-lab-v7.6.23-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,8,0,0,0,21,108
v7.6-release-train,vortexring-lab-v7.6.24-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,1,2
v7.6-release-train,vortexring-lab-v7.6.24a-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,1,2
v7.6-release-train,vortexring-lab-v7.6.24b-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,6,0,0,0,10,147
v7.6-release-train,vortexring-lab-v7.6.24c-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,7,0,0,0,11,294
v7.6-release-train,vortexring-lab-v7.6.24d-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,1,0
v7.6-release-train,vortexring-lab-v7.6.24e1-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
v7.6-release-train,vortexring-lab-v7.6.24f-package.zip,A/B,False,dominated by dimensionless observables (AB=19 vs CQ=3),4,0,3,0,19,0
v7.6-release-train,vortexring-lab-v7.6.24f1-package.zip,C,True,"absolute observable present (C=3, Q=0)",4,0,3,0,11,0
v7.6-release-train,vortexring-lab-v7.6.24f2-package.zip,C,True,"absolute observable present (C=3, Q=0)",4,0,3,0,11,0
v7.6-release-train,vortexring-lab-v7.6.24f3-package.zip,C,True,"absolute observable present (C=3, Q=0)",4,0,3,0,11,0
v7.6-release-train,vortexring-lab-v7.6.25-package.zip,C,True,"absolute observable present (C=4, Q=0)",4,0,4,0,11,0
v7.6-release-train,vortexring-lab-v7.6.25a-package.zip,C,True,"absolute observable present (C=3, Q=0)",4,0,3,0,11,0
v7.6-release-train,vortexring-lab-v7.6.25b-package (1).zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,2,0
v7.6-release-train,vortexring-lab-v7.6.25b-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,2,0
v7.6-release-train,vortexring-lab-v7.6.8-release-train.zip,A/B,False,no absolute dimensionful or action-scale observable found,20,0,0,0,36,0
v7.6-release-train,vortexring-lab-v7.6.9-release-train.zip,A/B,False,no absolute dimensionful or action-scale observable found,21,0,0,0,38,0
VortexLab,vortexlab-modular-v7.6.25b-m1.zip,A/B,False,no absolute dimensionful or action-scale observable found,9,0,0,0,0,0
VortexLab,vortexlab-session-7-6-24f-spec-benchmark-results.zip,A/B,False,no absolute dimensionful or action-scale observable found,18,0,0,0,9948,7181
VortexLab,vortexring-lab-v4-all-versions-audited.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,0,0
VortexLab,vortexring-lab-v4-all-versions.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
VortexLab,vortexring-lab-v7_5_2-package.zip,C,True,"absolute observable present (C=1, Q=0)",3,0,1,0,0,0
VortexLab,vortexring-lab-v7_5_4_flat-diagnostics-package (1).zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,0,0
VortexLab,vortexring-lab-v7_5_4_flat-diagnostics-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,0,0
VortexLab,vortexring-lab-v7_5_4_ideal-and-fseries-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,0,0,0,0,0,0
VortexLab,vortexring-lab-v7_5_4_speculative-swirl-clock-distance-control-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,19,0
VortexLab,vortexring-lab-v7_5_4_speculative-swirl-clock-package.zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,17,0
VortexLab,vortexring-lab-v7_5_4_zflow-potential-flow_ideal-fseries-integrated.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
