schema,catalog_id,topology_key,knotplot_key,conway,component_count,coefficient_count_total,source_database_sha256,source_entry_sha256,source_L,source_D,source_length_over_D,sample_count_per_component,sampled_total_length,sampled_length_over_source_D,source_length_relative_error,edge_cv_max,edge_ratio_max,flatness_min,curvature_max,min_curvature_radius,sampled_dcsd_proxy,inter_component_min_distance,sampled_reach_proxy,length_over_diameter_proxy,ropelength_radius_proxy,writhe_sum_midpoint_proxy,acn_self_sum_midpoint_proxy,linking_matrix_midpoint_proxy,bishop_closure_mismatch_max_rad,Q_geom_reference,Q_phase,Dmin_projected_det1,phase_structure_ir_exponent,catalog_topology_status,geometry_status,dynamic_status,epistemic_status,native_backend,native_backend_error,gates_json,entity_role,topology_class,crossing_number,braid_index,genus,determinant,chirality,amphichirality,metadata_status,notes
sst21d.master-row.v0.1,0:1:1,0_1,0.1.1,0,1,1,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,b9571ef8fee3f29e4963de209a9c0e9ed0d310ef9ac45b09c3efa361170f7609,6.283185,1.0,6.283185,600,6.2831565977034955,6.2831565977034955,-4.520366104774328e-06,3.580136037514826e-14,1.000000000000198,0.0,1.0000000000029698,0.9999999999970302,,,0.9999999999970302,3.1415782988610776,6.283156597722155,0.0,0.0,[[0.0]],0.0,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",reference ring,unknot,0,1,0,1,achiral,true,ORTHODOX_SEED,Reference only
sst21d.master-row.v0.1,0:1:2,0_2,0.1.2,0,2,4,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,ff9e8915826b7e850673f3271ecc51ffd5bcb8fb9cf44e994c2e5e66548b9403,12.0,1.0,12.0,600,12.566313195406991,12.566313195406991,0.04719276628391592,3.719988006760087e-14,1.0000000000002163,0.0,1.000000000010439,0.999999999989561,,1.0,0.5,12.566313195406991,25.132626390813982,0.0,0.0,"[[0.0,0.0],[0.0,0.0]]",0.0,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":false,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",,,,,,,,,,
sst21d.master-row.v0.1,2:2:1,2^2_1,2.2.1,2,2,4,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,258184fd5715dda885fcc06c7968aa35507c5a32f93e331def97cbe9da69fb0f,12.0,1.0,12.0,600,18.849469793110487,18.849469793110487,0.5707891494258739,4.4316300053089895e-14,1.0000000000001987,0.0,0.6666666666720564,1.499999999987873,,0.9999725850585452,0.4999862925292726,18.849986564388573,37.699973128777145,0.0,0.0,"[[0.0,-1.0000182773291162],[-1.0000182773291162,0.0]]",0.0,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":false,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",,,,,,,,,,
sst21d.master-row.v0.1,3:1:1,3_1,3.1.1,3,1,183,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,5d1cd894594503648a9150e4643b47e959c44fa9c1841801ccd5158dbdb3d7de,16.371637,1.0,16.371637,600,16.371860408730193,16.371860408730193,1.3646083784589571e-05,1.56733339085933e-05,1.0001092307831771,0.4448772237848156,2.083949564071408,0.479858062421771,0.9999790054561569,,0.479858062421771,17.05906568090561,34.11813136181122,-3.4151050134124685,4.281887355758432,[[0.0]],2.6222348401643742,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",electron candidate,"T(2,3) torus knot",3,2,1,3,chiral,false,ORTHODOX_TOPOLOGY_SST_ASSIGNMENT_HYPOTHESIS,Particle assignment not certified
sst21d.master-row.v0.1,4:1:1,4_1,4.1.1,2 2,1,220,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,f6fc8f3e95c6fd992bea5c5a1f178d91f7fdb7d1e2ae96b1e1d24cfd913082f7,21.043322,1.0,21.043322,600,21.043776182309813,21.043776182309813,2.1583203916804496e-05,1.5076306875127776e-05,1.0001524161404498,0.8592911811644807,1.6962245731299734,0.5895445779061796,0.9999702371441161,,0.4999851185720581,21.04440252382929,42.08880504765858,-0.0003013303497653085,6.502440822616771,[[0.0]],0.001980344389186032,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",dark-sector candidate,hyperbolic figure-eight knot,4,3,1,5,achiral,true,ORTHODOX_TOPOLOGY_SST_ASSIGNMENT_HYPOTHESIS,Particle assignment not certified
sst21d.master-row.v0.1,5:1:1,5_1,5.1.1,5,1,233,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,bb97e2c682165434cf1f124f4b68dc140669f49f8ec62aefc777920585940774,23.598564,1.0,23.598564,600,23.599265994183394,23.599265994183394,2.974732629470848e-05,2.7445363813428354e-05,1.0002260302543555,0.4032661834795845,1.9348622304196565,0.5168326634724312,0.9999139579625124,,0.4999569789812562,23.601296697838627,47.202593395677255,-6.286510735052621,7.791954587446247,[[0.0]],1.8348891602489843,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",catalogue candidate,"T(2,5) torus knot",5,2,2,5,chiral,false,ORTHODOX_TOPOLOGY_ONLY,
sst21d.master-row.v0.1,5:1:2,5_2,5.1.2,3 2,1,241,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,d889277c076a6ebb6c96a307c13bb212d47bdeae73923cf246e4948ddc7fd019,24.734148,1.0,24.734148,600,24.734881957513863,24.734881957513863,2.9673854699272168e-05,3.795005563552871e-05,1.000379002191896,0.5654538573453248,2.42282283372888,0.41274169372959707,0.9998699883574405,,0.41274169372959707,29.964118398126548,59.928236796253096,4.550877455542125,8.25235267189032,[[0.0]],2.8458297203085694,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",catalogue candidate,hyperbolic twist knot,5,3,1,7,chiral,false,ORTHODOX_TOPOLOGY_ONLY,
sst21d.master-row.v0.1,6:1:1,6_1,6.1.1,4 2,1,240,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,a8dbf8222d79ac43a8507cd6dc847ca2eb0ccf789c590f5bc441442bd8c79bdc,28.354929,1.0,28.354929,600,28.356026298727315,28.356026298727315,3.869869423112795e-05,4.399103118029135e-05,1.0004465857446225,0.5491279856180046,2.0662878985108786,0.48395966540803664,0.9998371391217078,,0.48395966540803664,29.295856995458237,58.591713990916475,-1.1224554837196634,10.13494819456437,[[0.0]],0.7301316395076367,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",,,,,,,,,,
sst21d.master-row.v0.1,6:1:2,6_2,6.1.2,3 1 2,1,249,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,e08f79f641174c25ef53e202c939b7a2c40f5b63e412cd27944fb99bf5ea80cc,28.508783,1.0,28.508783,600,28.50991706361281,28.50991706361281,3.97794466641966e-05,4.963126915960271e-05,1.000579069428761,0.6476241070114652,2.275847815753338,0.43939669123657366,0.9998827975295055,,0.43939669123657366,32.44211623826602,64.88423247653203,-2.7802907252003672,10.4092903637148,[[0.0]],1.3511266285936463,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",,,,,,,,,,
sst21d.master-row.v0.1,6:1:3,6_3,6.1.3,2 1 1 2,1,247,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,114f9ad75f77e20d281db09722f85356fc6229315caee9734420ca18f50f582c,28.915367,1.0,28.915367,600,28.91648306815936,28.91648306815936,3.859775182375235e-05,5.088511408884891e-05,1.000512514926891,0.6575345659900084,2.450851916246718,0.4080213877350123,0.9998061202073003,,0.4080213877350123,35.43500896935707,70.87001793871414,0.0027487103977113657,10.569821716511484,[[0.0]],0.02712991611225788,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",,,,,,,,,,
sst21d.master-row.v0.1,6:2:3,6^2_3,6.2.3,6,3,6,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,a36584c00a5164d537c3e702f15c29d902a357cb3049bc252f46337292c223ae,18.0,1.0,18.0,600,23.7980156467524,23.7980156467524,0.32211198037513333,4.916394624616828e-06,1.0000153388295716,0.0,1.5027085503338076,0.6654650363025237,2.0,0.4276980418366586,0.2138490209183293,55.64209633637055,111.2841926727411,0.0,0.0,"[[0.0,5.906337668971028e-16,1.8493973394235146e-16],[5.906337668971028e-16,0.0,5.390200699483584e-16],[1.8493973394235146e-16,5.390200699483584e-16,0.0]]",0.0,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":false,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",,,,,,,,,,
sst21d.master-row.v0.1,7:1:1,7_1,7.1.1,7,1,222,942cb24b2a461b66cc3d35352f0723de97718a0e579ec524b8bb1c7ac4b9ad27,f1bef3af64f514ca4255d661080a0c6e6729362d78b79c462acbca9a311347a9,30.700289,1.0,30.700289,600,30.70174189068628,30.70174189068628,4.732498401813697e-05,4.406626303918714e-05,1.000467309434421,0.4140859817487962,2.0905482006067575,0.47834343150268505,0.9998857243340294,,0.47834343150268505,32.091735632533656,64.18347126506731,9.167682043826119,11.442738861743559,[[0.0]],1.118903107200653,1.0,,,,CATALOG_LABEL_ONLY_NOT_RECOMPUTED,FOURIER_CATALOG_SAMPLED,NOT_MEASURED_REQUIRES_TRAJECTORY,RESEARCH_TRACK_DIAGNOSTIC_ONLY,True,,"{""G0_PARSE"":true,""G1_FINITE"":true,""G2_EDGE_UNIFORMITY"":true,""G3_POSITIVE_REACH_PROXY"":true,""G4_SOURCE_LENGTH_CONSISTENCY"":true,""G5_NATIVE_BACKEND_AVAILABLE"":true,""G6_TOPOLOGY_SIDECAR_PRESENT"":false,""G7_RIDGERUNNER_RESIDUAL_PRESENT"":false,""G8_DYNAMIC_TRAJECTORY_PRESENT"":false,""G9_PHASE_FIELD_PRESENT"":false,""G10_CONVERGENCE_CERTIFIED"":false}",,,,,,,,,,
