family,topology_class,seed_kind,seed,seed_sha256,n,rg,length,ds_cv,min_nonlocal_vertex_distance
knot_0.1,0.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_0.1_final.txt,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc,384,0.50213615260605,3.154982386928924,2.0988069664831242e-05,0.032858094041941316
knot_10.123,10.123,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.123_final.txt,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c,384,1.8114084836721531,46.19837850776606,0.0015336297048851807,0.4715620526806625
knot_10.1,10.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.1_final.txt,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a,384,2.004296629301958,43.85312991413151,0.0012613248108379025,0.44602906279329024
knot_3.1,3.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_3.1_final.txt,0301d9112581299b98294f80e0bb7d214f9b6de04ab76f587e278fa3f3ee9732,384,1.2393023264162726,16.373246803296738,0.00019172663155522625,0.16992889899235278
knot_4.1,4.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_4.1_final.txt,edc6781b9ed771d49631ad89e250aaa22fcd153797b5a23e4949af9bbf4d18f3,384,1.4633016900190094,22.428554705891486,0.0005265260075795369,0.23183671460900457
knot_5.1,5.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.1_final.txt,d54052906876c24f94e2975ff42a4a73de955b3c6fa66d0c19cf3aff56ab7f6a,384,1.490877406197695,23.680291348347765,0.000406892929818712,0.2450175418526208
knot_5.2,5.2,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.2_final.txt,97b268e68edccf6878ebbece4f714c4f4dd4037eb21a8599dd65d505e068d1b0,384,1.5883570081554057,25.977662040499442,0.0005697821626927592,0.26693943294475503
knot_6.1,6.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.1_final.txt,44e5a96d7022d54c0abc39e9f9dbd08397e526c52000e2f8de8061d6d0f4bf13,384,1.7011049127118136,29.58243535931888,0.0006783311510215422,0.30299143471788625
knot_6.2,6.2,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.2_final.txt,61f2ba7a09821bc3a9de94eb5e44692aa26ee8a4b624d8b34396203c2f20f642,384,1.508956399201183,28.513651344200724,0.0005318509451424358,0.2943683467533884
knot_6.3,6.3,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,384,1.5000522983360318,28.92169473371819,0.0005220687439532883,0.2980250764243138
knot_7.1,7.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.1_final.txt,79b66c2d6bb799e8fe933ebcdf41957b275f577a82eec0c770ac55a81461516e,384,1.6520606697915354,30.70927092514266,0.0006429291288246264,0.3170420164399008
knot_7.2,7.2,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.2_final.txt,24cb1998ccbef26ac4d8755fb2f845acd0a6f73d7836db2cb1f67926417f3386,384,1.6460607891998933,31.931425157060097,0.0006944849273314965,0.3294077689292394
knot_7.3,7.3,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.3_final.txt,04e7ec789ef929f30bf24f0937343aaf0cf28a7f34cb1ca53ca2ec9ded05ae58,384,1.667470097599124,31.967710420707675,0.0007291296968723702,0.329630734091235
knot_7.4,7.4,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.4_final.txt,ffb8021c4db519e46ac7cbf603f745d8d480c633d79b7f4c1e69ca2fc57c5398,384,1.61348893592395,32.13773352998423,0.0006975471337593453,0.33109460722508516
knot_8.17,8.17,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.17_final.txt,26272c74a20e2338c04f0690c8d0294aa19e64e03e7ab3f7598c662ee190358b,384,1.6607535450090354,37.43875249434949,0.0009225614907488611,0.38458216726327366
knot_8.18,8.18,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.18_final.txt,9836871d37b6abf573047a71c9bfa2ee4c7b83edf8fa84f1ae0ee94e0ddcc5ae,384,1.6268505997692524,37.46299370884325,0.0008627881291793632,0.3857441248313965
knot_8.1,8.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.1_final.txt,254f4e6a6972ff14d532cc9fc1bc6ae3f13cde047993a6d51256bbcfd9d0b95a,384,1.872033846485836,36.83779895369478,0.0010015904607598783,0.3760931662406162
knot_9.1,9.1,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_9.1_final.txt,7861bfb1a9b29bd6e57229c4349f96dfd59a8b149d91da6b5156426a0fd198ef,384,2.2698329598842,40.18794121598563,0.0011563686836643266,0.4131164665950019
knot_9.2,9.2,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_9.2_final.txt,5a27e68f78ff4ccacce8f3baa7f43506c437ed62551f6808c9eac35269e11dde,384,1.9267307359928314,40.477424740685734,0.001230802439844613,0.41162473216445367
knot_9.35,9.35,knot,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_9.35_final.txt,d5c78e55dbf668790ba1d0638103853eaa22d58ba42b32f072072de8106c4256,384,1.828410633532792,40.76416537761197,0.0014774139874504395,0.41691482272015723
link_0.2.1,0.2,link,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_0.2.1_final.txt,da65b64ff17e69faaa8592c0010946fb03a8f6261e71842049224723eb7b8e6a,384,1.9634821000660134,24.495939374355686,0.02056047461266704,0.028590759238566306
