setting,t,charge,hooke,power,late_E_median,late_drift_per_1000,late_span,late_dL_median,late_dRg_median,direct_equilibrium
Q01,1.215,42.05861390426932,1.432984180219293,6.215,0.003958503341185748,1.6809549847244227e-05,0.0005043630687019407,0.0011622609227368574,0.006754745759634639,False
Q02,1.22,42.16996622486302,1.43476600812143,6.22,0.0036869731876530976,1.676633515522937e-05,0.0005030660154266009,0.0008630187034684988,0.006510927671837696,False
Q03,1.225,42.28131854545672,1.436547836023567,6.225,0.0034153646267192084,1.6723354115252243e-05,0.0005017759352380358,0.0005637066698834792,0.006267022583554938,False
Q04,1.23,42.39267086605042,1.4383296639257042,6.23,0.0031436811524439,1.6680364432092257e-05,0.0005004850588358201,0.00026432953339261545,0.006023032771495185,False
Q05,1.235,42.50402318664412,1.440111491827841,6.235,0.0028719260676850766,1.6637667379898995e-05,0.0004992037721442966,-3.510791532362889e-05,0.005778960050693782,False
Q06,1.24,42.61537550723782,1.4418933197299781,6.24,0.002600101819557221,1.6594985719667868e-05,0.0004979233414723616,-0.00033460492801129504,0.005534808567125737,False
Q07,1.245,42.726727827831525,1.4436751476321152,6.245,0.0023282129566623844,1.655252810194792e-05,0.0004966482414702211,-0.0006341555248606245,0.005290581438185393,False
Q08,1.25,42.83808014842522,1.4454569755342521,6.25,0.002056259642429087,1.6510229240998515e-05,0.0004953791210446923,-0.0009337588844798295,0.005046278169338003,False
Q09,1.255,42.94943246901892,1.447238803436389,6.255,0.0017842467302816856,1.6467979866037173e-05,0.0004941111643275709,-0.0012334095521112087,0.00480190301267458,False
Q10,1.26,43.060784789612626,1.449020631338526,6.26,0.001512179717043538,1.6426049012714905e-05,0.0004928523217381797,-0.0015331029897138748,0.004557462423800951,False
Q11,1.265,43.17213711020632,1.4508024592406632,6.265,0.001240055143426344,1.638411694637129e-05,0.0004915944588290144,-0.0018328402930331,0.004312950579885788,False
Q12,1.27,43.28348943080003,1.4525842871428,6.27,0.0009678818261210365,1.6342370882002617e-05,0.0004903412091867843,-0.0021326145288004805,0.0040683781810425534,False
Q13,1.275,43.39484175139373,1.4543661150449372,6.275,0.0006956602819208069,1.6300737342929125e-05,0.0004890918701779823,-0.002432422215791763,0.0038237427796333767,False
Q14,1.28,43.50619407198743,1.4561479429470743,6.28,0.00042339203204777576,1.6259306465639654e-05,0.0004878477098289591,-0.0027322630190327324,0.003579047083128284,False
Q15,1.285,43.61754639258113,1.4579297708492112,6.285,0.00015108344306943855,1.6218063769042326e-05,0.00048661078655115597,-0.003032130204282779,0.0033342970904216562,True
Q16,1.29,43.72889871317483,1.4597115987513483,6.29,-0.00012126722517211141,1.6176774736230687e-05,0.0004853710840782566,-0.0033320244619206574,0.0030894900115764345,True
Q17,1.295,43.84025103376853,1.4614934266534851,6.295,-0.00039365406058791685,1.613578536640069e-05,0.0004841413785617865,-0.0036319404761616103,0.0028446323549857766,False
Q18,1.3,43.951603354362234,1.4632752545556222,6.3,-0.0006660756000343437,1.6094771641327887e-05,0.00048291007871609226,-0.003931874929923196,0.0025997237298545084,False
Q19,1.31,44.17430799554964,1.4668389103598962,6.3100000000000005,-0.0012110113691360669,1.6013488101427898e-05,0.0004804706115020263,-0.00453179076645055,0.002109768028178416,False
Q20,1.32,44.39701263673704,1.4704025661641702,6.32,-0.0017560531188132444,1.5932569799801983e-05,0.0004780422883161606,-0.005131745479928396,0.0016196392423019068,False
