step,time_hat,recurrence_rms_over_D,shift,plus_rms_over_D,minus_rms_over_D,pair_min_distance_over_D,segment_max_over_min
70,0.21,0.7019663968394085,0,0.646946473590137,0.7529766961152848,0.21962503696635985,4.374068186217829
80,0.24,0.7756551382914683,0,0.7209304653354739,0.8267654148953563,0.1432199886875418,4.244758846725162
90,0.27,0.8457918732779629,0,0.7897543407335234,0.8983406186400842,0.09422513468877892,4.292950639735848
100,0.3,0.917358999974966,0,0.8461374622195145,0.9834360501318116,0.07383546242882094,4.676705579971731
110,0.33,1.020306534242866,0,0.9658398142934405,1.0720094685976382,0.08727029143258878,5.150924378621744
120,0.36,1.1156577311971516,0,1.090254553380678,1.1404952236606039,0.09177823607745061,5.77174774341457
130,0.39,1.1815655673489318,32,1.163531839722366,1.1993281610307887,0.09577070320132308,6.727782126054065
140,0.42,1.2680239900138337,32,1.2575809498398764,1.2783817243300377,0.13776218357520245,8.007338116093942
150,0.45,1.316121214568321,0,1.3040776778071281,1.3280555384165051,0.09540501199485751,8.645916905267818
160,0.48,1.3678761477490344,0,1.357129531119772,1.3785389899905285,0.07441641390976274,8.396057306203533
170,0.51,1.4229069690553224,32,1.402322803923281,1.4431975744052359,0.058816195262462095,8.688422165664358
180,0.54,1.4847526022382438,32,1.447097652749515,1.521475916047743,0.09393683037954878,8.965322643806303
190,0.5700000000000001,1.5648883779108889,32,1.5171239929552596,1.611237431491906,0.0849606599326187,8.89789546657382
200,0.6,1.5931794301497895,32,1.561687315588991,1.6240609968942872,0.1008449680014273,8.665293279887186
210,0.63,1.6252086334384608,32,1.6004048865209453,1.6496394768572007,0.10980682948713714,7.88476609957296
220,0.66,1.646762659466439,32,1.6385603107285232,1.6549243551689015,0.11484330354538193,7.147603678283048
230,0.6900000000000001,1.6795337256489347,32,1.6732197280770305,1.6858240752694837,0.11956558370909383,6.190178127555607
240,0.72,1.7082236163061428,32,1.7180530431397552,1.6983373008829252,0.12533998835779064,6.236436606555128
250,0.75,1.739961435870134,0,1.7477426944210912,1.732145222182084,0.12807480705587082,6.340974947784683
260,0.78,1.7546973518237237,47,1.7669045159325956,1.7424046672835152,0.1378810701984422,6.685432328835231
270,0.81,1.7706187730166627,47,1.7923788765691049,1.7485878992910076,0.14436239991213765,6.7096533936460645
280,0.84,1.7979057281846555,47,1.8182275024940002,1.7773516151996553,0.15001363896142675,6.5117910433220265
290,0.87,1.8166024143765243,47,1.8501970209420444,1.7823747214136585,0.15807573376526154,5.957404603595832
300,0.9,1.8497601600722227,47,1.8718026713886609,1.8274517938821542,0.1702970456788726,5.889602108173362
310,0.93,1.860431821801972,47,1.859194350026966,1.861668471015883,0.1805611101945414,6.139293873410653
320,0.96,1.8684494527975548,47,1.866959451980165,1.869938266355573,0.18935240996035718,6.460128810890286
330,0.99,1.8893773533410976,32,1.885530406577285,1.8932164832656935,0.16261160022782398,6.91516226708254
340,1.02,1.9091274133824865,32,1.8908718001658076,1.9272101069667325,0.13751471553063407,7.364185608327593
350,1.05,1.9299763981227764,32,1.9020494194708482,1.9575049937388513,0.08810637816689816,7.647125725909438
360,1.08,1.945572524329126,32,1.9226794095302466,1.968199375829907,0.062916241723332,7.404406070042014
370,1.11,1.9719293004026435,32,1.9519588619452726,1.9916995086724893,0.14757355151342635,6.357637607080244
380,1.1400000000000001,1.9882156690895683,32,1.972536211504823,2.00377243915789,0.19108142951085427,6.074350005374595
390,1.17,2.0096622282728287,32,1.9944083254094183,2.024801218646073,0.16765437069159964,6.474600351219584
400,1.2,2.020609591487043,32,2.0050421919682924,2.036057968439468,0.1307864215158415,6.671357936385137
410,1.23,2.018162017392665,32,1.9990695235909726,2.0370755746271727,0.10842321205423247,6.791635621624616
420,1.26,2.0345704187527227,32,2.0180864152960676,2.0509219385741444,0.14873850847649853,7.317026961179557
430,1.29,2.0521643308822437,32,2.0364845715937183,2.067725192464289,0.16189676703188993,7.358267769675153
440,1.32,2.068504349340334,32,2.04541309791897,2.09134065741124,0.153527450318754,7.3739275076784345
450,1.35,2.0827003087770737,32,2.048897299122719,2.1159633763389825,0.14279213670959495,7.509544637392301
460,1.3800000000000001,2.1031372843948692,32,2.0619273966485716,2.1435550576026015,0.1279419786294093,7.833558335271802
470,1.41,2.118799773047332,32,2.068185083590673,2.168233247725874,0.10869923567946567,8.43390060381035
480,1.44,2.132922685928852,32,2.078042291293312,2.1864259886619397,0.08850707239226503,9.17260351978395
490,1.47,2.153558630068767,32,2.0949942361008262,2.2105720293606455,0.07057809838475129,9.970997560072336
500,1.5,2.1623550116637036,32,2.0889589362334937,2.2333403134463192,0.06297188925821312,10.715607380467372
510,1.53,2.173076709868687,32,2.0910523062798734,2.2521156778347455,0.06689331311451019,11.389309005995925
520,1.56,2.1773970878100983,32,2.099421812004639,2.252674901375463,0.062321630978697556,12.02135271204864
530,1.59,2.1874365139855696,32,2.1052812466371837,2.2666159529114034,0.03605957936992049,12.505452642086897
