candidate_id,carrier_id,family,source,source_qualified,condition,gamma_core,beta_total_thread_over_core,n_threads,helix_turns,thread_gamma_each,hole_clearance,bundle_radius,thread_density_proxy,link_matrix_json
CAND_5A2596EDED87AE19,TORUS_T2_3,torus,"analytic T(2,q)",True,null,1.0,0.0,3,1.0,0.0,0.6618174420968784,0.18,2.180193118665027,"[[2.0022688138554408, 2.002179797112656, 2.002174284780889]]"
CAND_B3DF2669D52CA86E,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.6618174420968784,0.18,2.180193118665027,"[[2.0022688138554408, 2.002179797112656, 2.002174284780889]]"
CAND_BF10D3369EF0F98E,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.6618174420968784,0.18,2.180193118665027,"[[2.0022688138554408, 2.002179797112656, 2.002174284780889]]"
CAND_10A218A784FF5612,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,0.5,3,1.0,0.16666666666666666,0.6618174420968784,0.18,2.180193118665027,"[[2.0022688138554408, 2.002179797112656, 2.002174284780889]]"
CAND_96720C5E5BDD9AE6,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,1.0,3,1.0,0.3333333333333333,0.6618174420968784,0.18,2.180193118665027,"[[2.0022688138554408, 2.002179797112656, 2.002174284780889]]"
CAND_8F3C450DCECC1A08,TORUS_T2_5,torus,"analytic T(2,q)",True,null,1.0,0.0,3,1.0,0.0,0.672276080607461,0.18,2.1128859884838915,"[[2.0004694618545025, 2.0004260992733354, 2.0003882711014427]]"
CAND_9685BF290743508D,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.672276080607461,0.18,2.1128859884838915,"[[2.0004694618545025, 2.0004260992733354, 2.0003882711014427]]"
CAND_1380731D39265366,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.672276080607461,0.18,2.1128859884838915,"[[2.0004694618545025, 2.0004260992733354, 2.0003882711014427]]"
CAND_CB457F5786FF7020,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,0.5,3,1.0,0.16666666666666666,0.672276080607461,0.18,2.1128859884838915,"[[2.0004694618545025, 2.0004260992733354, 2.0003882711014427]]"
CAND_5CE34AFFB122016E,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,1.0,3,1.0,0.3333333333333333,0.672276080607461,0.18,2.1128859884838915,"[[2.0004694618545025, 2.0004260992733354, 2.0003882711014427]]"
CAND_B9AFC9DEFA3090B2,TORUS_T2_7,torus,"analytic T(2,q)",True,null,1.0,0.0,3,1.0,0.0,0.6747152195687994,0.18,2.097637163357285,"[[1.997980261142313, 1.997920096808582, 1.9979204297172493]]"
CAND_E30F7FBCF09B8CA3,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.6747152195687994,0.18,2.097637163357285,"[[1.997980261142313, 1.997920096808582, 1.9979204297172493]]"
CAND_FA7B0D6E851CA1C1,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.6747152195687994,0.18,2.097637163357285,"[[1.997980261142313, 1.997920096808582, 1.9979204297172493]]"
CAND_B2BDB77FD9CF7AE0,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,0.5,3,1.0,0.16666666666666666,0.6747152195687994,0.18,2.097637163357285,"[[1.997980261142313, 1.997920096808582, 1.9979204297172493]]"
CAND_CB2C3C4CF1F35C38,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,1.0,3,1.0,0.3333333333333333,0.6747152195687994,0.18,2.097637163357285,"[[1.997980261142313, 1.997920096808582, 1.9979204297172493]]"
CAND_E9D90ABA8BCABA7F,TORUS_T2_9,torus,"analytic T(2,q)",True,null,1.0,0.0,3,1.0,0.0,0.6720434371057341,0.18,2.1143490911602125,"[[1.9948666376422142, 1.9948043630636967, 1.994803740427428]]"
CAND_2FC1CC107F8885E0,TORUS_T2_9,torus,"analytic T(2,q)",True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.6720434371057341,0.18,2.1143490911602125,"[[1.9948666376422142, 1.9948043630636967, 1.994803740427428]]"
CAND_30F6C66F2C7AAA5C,TORUS_T2_9,torus,"analytic T(2,q)",True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.6720434371057341,0.18,2.1143490911602125,"[[1.9948666376422142, 1.9948043630636967, 1.994803740427428]]"
CAND_0695E37AE621BE18,TORUS_T2_9,torus,"analytic T(2,q)",True,active,1.0,0.5,3,1.0,0.16666666666666666,0.6720434371057341,0.18,2.1143490911602125,"[[1.9948666376422142, 1.9948043630636967, 1.994803740427428]]"
CAND_ED37B314F749BACF,TORUS_T2_9,torus,"analytic T(2,q)",True,active,1.0,1.0,3,1.0,0.3333333333333333,0.6720434371057341,0.18,2.1143490911602125,"[[1.9948666376422142, 1.9948043630636967, 1.994803740427428]]"
CAND_A98F6D0778211637,TWIST_4_1,twist,knot.4_1.fseries,True,null,1.0,0.0,3,1.0,0.0,0.2780694140475547,0.098,12.349942585301694,"[[1.0035445736953819, 0.9930118920590923, 1.0221324512036254]]"
CAND_F85D3EAE8171E55D,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.2780694140475547,0.098,12.349942585301694,"[[1.0035445736953819, 0.9930118920590923, 1.0221324512036254]]"
CAND_F5699440C4D8D558,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.2780694140475547,0.098,12.349942585301694,"[[1.0035445736953819, 0.9930118920590923, 1.0221324512036254]]"
CAND_6E9180E1E4775F05,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,0.5,3,1.0,0.16666666666666666,0.2780694140475547,0.098,12.349942585301694,"[[1.0035445736953819, 0.9930118920590923, 1.0221324512036254]]"
CAND_1E9E3D337528F22E,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,1.0,3,1.0,0.3333333333333333,0.2780694140475547,0.098,12.349942585301694,"[[1.0035445736953819, 0.9930118920590923, 1.0221324512036254]]"
CAND_39D0319DA6FDBA15,TWIST_5_2,twist,knot.5_2.fseries,True,null,1.0,0.0,3,1.0,0.0,0.30808863531889563,0.098,10.060510647948187,"[[-1.0123367442267819, -1.0192293587388626, -1.0011714923064925]]"
CAND_FDB83AA0798E2296,TWIST_5_2,twist,knot.5_2.fseries,True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.30808863531889563,0.098,10.060510647948187,"[[-1.0123367442267819, -1.0192293587388626, -1.0011714923064925]]"
CAND_FD445CDF135CCDCB,TWIST_5_2,twist,knot.5_2.fseries,True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.30808863531889563,0.098,10.060510647948187,"[[-1.0123367442267819, -1.0192293587388626, -1.0011714923064925]]"
CAND_3F5FC720619DAE09,TWIST_5_2,twist,knot.5_2.fseries,True,active,1.0,0.5,3,1.0,0.16666666666666666,0.30808863531889563,0.098,10.060510647948187,"[[-1.0123367442267819, -1.0192293587388626, -1.0011714923064925]]"
CAND_930BB1AC9EE262C0,TWIST_5_2,twist,knot.5_2.fseries,True,active,1.0,1.0,3,1.0,0.3333333333333333,0.30808863531889563,0.098,10.060510647948187,"[[-1.0123367442267819, -1.0192293587388626, -1.0011714923064925]]"
CAND_0876179CE1EB18BB,TWIST_6_1,twist,knot.6_1.fseries,True,null,1.0,0.0,3,1.0,0.0,0.21366535265615413,0.098,20.917181946777905,"[[-2.162624223642834, -1.7853217909578964, -2.122253750777935]]"
CAND_53C2286757846C42,TWIST_6_1,twist,knot.6_1.fseries,True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.21366535265615413,0.098,20.917181946777905,"[[-2.162624223642834, -1.7853217909578964, -2.122253750777935]]"
CAND_A9493FA4571B60F7,TWIST_6_1,twist,knot.6_1.fseries,True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.21366535265615413,0.098,20.917181946777905,"[[-2.162624223642834, -1.7853217909578964, -2.122253750777935]]"
CAND_787A2F092618029A,TWIST_6_1,twist,knot.6_1.fseries,True,active,1.0,0.5,3,1.0,0.16666666666666666,0.21366535265615413,0.098,20.917181946777905,"[[-2.162624223642834, -1.7853217909578964, -2.122253750777935]]"
CAND_A8730A4F02E9E946,TWIST_6_1,twist,knot.6_1.fseries,True,active,1.0,1.0,3,1.0,0.3333333333333333,0.21366535265615413,0.098,20.917181946777905,"[[-2.162624223642834, -1.7853217909578964, -2.122253750777935]]"
CAND_23540E0F8C51258B,TWIST_7_2,twist,knot.7_2.fseries,True,null,1.0,0.0,3,1.0,0.0,0.23025806603043095,0.098,18.011159688846583,"[[3.0575410856156986, 2.990392356899421, 3.327913797296761]]"
CAND_C8C691B2C6DC071E,TWIST_7_2,twist,knot.7_2.fseries,True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.23025806603043095,0.098,18.011159688846583,"[[3.0575410856156986, 2.990392356899421, 3.327913797296761]]"
CAND_E03FEE6398808C5B,TWIST_7_2,twist,knot.7_2.fseries,True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.23025806603043095,0.098,18.011159688846583,"[[3.0575410856156986, 2.990392356899421, 3.327913797296761]]"
CAND_018377CE5035B28F,TWIST_7_2,twist,knot.7_2.fseries,True,active,1.0,0.5,3,1.0,0.16666666666666666,0.23025806603043095,0.098,18.011159688846583,"[[3.0575410856156986, 2.990392356899421, 3.327913797296761]]"
CAND_AAD389D0D91F46F8,TWIST_7_2,twist,knot.7_2.fseries,True,active,1.0,1.0,3,1.0,0.3333333333333333,0.23025806603043095,0.098,18.011159688846583,"[[3.0575410856156986, 2.990392356899421, 3.327913797296761]]"
CAND_A8F432D763185E08,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,null,1.0,0.0,3,1.0,0.0,0.6675345113012162,0.18,2.14300870438636,"[[1.0004935484810606, 1.0004506515103193, 1.000454715979239], [1.0004065085422793, 1.0003773005686816, 1.00039687345844], [1.0004066691382458, 1.0003969835844726, 1.0003797143260078]]"
CAND_B7FFB3969C4BF6E0,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,active,1.0,-1.0,3,1.0,-0.3333333333333333,0.6675345113012162,0.18,2.14300870438636,"[[1.0004935484810606, 1.0004506515103193, 1.000454715979239], [1.0004065085422793, 1.0003773005686816, 1.00039687345844], [1.0004066691382458, 1.0003969835844726, 1.0003797143260078]]"
CAND_1B67D03FC100B0DA,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,active,1.0,-0.5,3,1.0,-0.16666666666666666,0.6675345113012162,0.18,2.14300870438636,"[[1.0004935484810606, 1.0004506515103193, 1.000454715979239], [1.0004065085422793, 1.0003773005686816, 1.00039687345844], [1.0004066691382458, 1.0003969835844726, 1.0003797143260078]]"
CAND_607D35F76D467B59,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,active,1.0,0.5,3,1.0,0.16666666666666666,0.6675345113012162,0.18,2.14300870438636,"[[1.0004935484810606, 1.0004506515103193, 1.000454715979239], [1.0004065085422793, 1.0003773005686816, 1.00039687345844], [1.0004066691382458, 1.0003969835844726, 1.0003797143260078]]"
