pair_id,carrier_id,family,candidate_null,candidate_active,beta,gamma_core,n_threads,helix_turns
PAIR_8DB04C21CD2D,TORUS_T2_3,torus,CAND_5A2596EDED87AE19,CAND_B3DF2669D52CA86E,-1.0,1.0,3,1.0
PAIR_EE0306D40131,TORUS_T2_3,torus,CAND_5A2596EDED87AE19,CAND_BF10D3369EF0F98E,-0.5,1.0,3,1.0
PAIR_E0CF6453B670,TORUS_T2_3,torus,CAND_5A2596EDED87AE19,CAND_10A218A784FF5612,0.5,1.0,3,1.0
PAIR_7D0EA6615D6A,TORUS_T2_3,torus,CAND_5A2596EDED87AE19,CAND_96720C5E5BDD9AE6,1.0,1.0,3,1.0
PAIR_45BE7044C0AC,TORUS_T2_5,torus,CAND_8F3C450DCECC1A08,CAND_9685BF290743508D,-1.0,1.0,3,1.0
PAIR_02934F51E1D5,TORUS_T2_5,torus,CAND_8F3C450DCECC1A08,CAND_1380731D39265366,-0.5,1.0,3,1.0
PAIR_63414B164DA3,TORUS_T2_5,torus,CAND_8F3C450DCECC1A08,CAND_CB457F5786FF7020,0.5,1.0,3,1.0
PAIR_34297FCE1317,TORUS_T2_5,torus,CAND_8F3C450DCECC1A08,CAND_5CE34AFFB122016E,1.0,1.0,3,1.0
PAIR_FF9547FAB2AB,TORUS_T2_7,torus,CAND_B9AFC9DEFA3090B2,CAND_E30F7FBCF09B8CA3,-1.0,1.0,3,1.0
PAIR_C331F41C5BDC,TORUS_T2_7,torus,CAND_B9AFC9DEFA3090B2,CAND_FA7B0D6E851CA1C1,-0.5,1.0,3,1.0
PAIR_EE505F3347BE,TORUS_T2_7,torus,CAND_B9AFC9DEFA3090B2,CAND_B2BDB77FD9CF7AE0,0.5,1.0,3,1.0
PAIR_5F6BE15C48FF,TORUS_T2_7,torus,CAND_B9AFC9DEFA3090B2,CAND_CB2C3C4CF1F35C38,1.0,1.0,3,1.0
PAIR_2880926129BD,TORUS_T2_9,torus,CAND_E9D90ABA8BCABA7F,CAND_2FC1CC107F8885E0,-1.0,1.0,3,1.0
PAIR_FC7FB6B4AC5F,TORUS_T2_9,torus,CAND_E9D90ABA8BCABA7F,CAND_30F6C66F2C7AAA5C,-0.5,1.0,3,1.0
PAIR_706FD989FC35,TORUS_T2_9,torus,CAND_E9D90ABA8BCABA7F,CAND_0695E37AE621BE18,0.5,1.0,3,1.0
PAIR_4C2A1E27F83C,TORUS_T2_9,torus,CAND_E9D90ABA8BCABA7F,CAND_ED37B314F749BACF,1.0,1.0,3,1.0
PAIR_1101E8E870B3,TWIST_4_1,twist,CAND_A98F6D0778211637,CAND_F85D3EAE8171E55D,-1.0,1.0,3,1.0
PAIR_AA19613B1CFD,TWIST_4_1,twist,CAND_A98F6D0778211637,CAND_F5699440C4D8D558,-0.5,1.0,3,1.0
PAIR_4C2AE292CA92,TWIST_4_1,twist,CAND_A98F6D0778211637,CAND_6E9180E1E4775F05,0.5,1.0,3,1.0
PAIR_72649232C615,TWIST_4_1,twist,CAND_A98F6D0778211637,CAND_1E9E3D337528F22E,1.0,1.0,3,1.0
PAIR_91807E40BF4E,TWIST_5_2,twist,CAND_39D0319DA6FDBA15,CAND_FDB83AA0798E2296,-1.0,1.0,3,1.0
PAIR_E04BC1E564B0,TWIST_5_2,twist,CAND_39D0319DA6FDBA15,CAND_FD445CDF135CCDCB,-0.5,1.0,3,1.0
PAIR_5FC69091ECE9,TWIST_5_2,twist,CAND_39D0319DA6FDBA15,CAND_3F5FC720619DAE09,0.5,1.0,3,1.0
PAIR_E6BE2C06513D,TWIST_5_2,twist,CAND_39D0319DA6FDBA15,CAND_930BB1AC9EE262C0,1.0,1.0,3,1.0
PAIR_A7E66700D8C2,TWIST_6_1,twist,CAND_0876179CE1EB18BB,CAND_53C2286757846C42,-1.0,1.0,3,1.0
PAIR_C78289E9BE50,TWIST_6_1,twist,CAND_0876179CE1EB18BB,CAND_A9493FA4571B60F7,-0.5,1.0,3,1.0
PAIR_F70A723C2525,TWIST_6_1,twist,CAND_0876179CE1EB18BB,CAND_787A2F092618029A,0.5,1.0,3,1.0
PAIR_6A320A640D36,TWIST_6_1,twist,CAND_0876179CE1EB18BB,CAND_A8730A4F02E9E946,1.0,1.0,3,1.0
PAIR_A450A3234BA6,TWIST_7_2,twist,CAND_23540E0F8C51258B,CAND_C8C691B2C6DC071E,-1.0,1.0,3,1.0
PAIR_4509056D0B46,TWIST_7_2,twist,CAND_23540E0F8C51258B,CAND_E03FEE6398808C5B,-0.5,1.0,3,1.0
PAIR_B3BEAB1F0FF2,TWIST_7_2,twist,CAND_23540E0F8C51258B,CAND_018377CE5035B28F,0.5,1.0,3,1.0
PAIR_AF0CC5648EEB,TWIST_7_2,twist,CAND_23540E0F8C51258B,CAND_AAD389D0D91F46F8,1.0,1.0,3,1.0
PAIR_E4B108F114AF,TRIPLE_GEAR_T3_3,triple_gear,CAND_A8F432D763185E08,CAND_B7FFB3969C4BF6E0,-1.0,1.0,3,1.0
PAIR_EC1E5E40CB18,TRIPLE_GEAR_T3_3,triple_gear,CAND_A8F432D763185E08,CAND_1B67D03FC100B0DA,-0.5,1.0,3,1.0
PAIR_A6701C96927C,TRIPLE_GEAR_T3_3,triple_gear,CAND_A8F432D763185E08,CAND_607D35F76D467B59,0.5,1.0,3,1.0
PAIR_F6D97F387BD2,TRIPLE_GEAR_T3_3,triple_gear,CAND_A8F432D763185E08,CAND_66393BBA3C658658,1.0,1.0,3,1.0
