knot_id,epsilon_over_rc,point_counts,branch_count,weakly_certified_branch_count,strongly_certified_branch_count,highest_backend
0_1,0.0019,4096 8192 16384,128,128,128,cpp
3_1,0.0019,4096 8192 16384,128,0,0,cpp
4_1,0.0019,4096 8192 16384,128,0,0,cpp
5_2,0.0019,4096 8192 16384,128,0,0,cpp
