candidate,family,swept_variable,swept_value,checkpoint,n_points,length,rg,bbox_x,bbox_y,bbox_z,min_nonlocal_point_distance,thickness_proxy,ropelength_proxy,turn_mean,turn_max,sha256
F00_MEB_tight,baseline,baseline,MEB,i00000,300,325.3260685330196,24.839844321450922,60.820056,53.967424,24.551612,7.3420610289746975,3.6710305144873487,88.61982139596861,0.04916734681358134,0.36813940704858733,6e65e8d61156c387b4d3e2f9db4e5893f2833e39b6666a11bda1bf0140a39a49
F00_MEB_tight,baseline,baseline,MEB,i01000,300,332.05030738845477,25.243291272654414,61.93012,54.89932,25.405024,7.686975486262072,3.843487743131036,86.39296638369277,0.049421856373842644,0.06148687165665267,b022a364890576bb36558945f788a13d1910b8ee02befed910a78bcef50eb458
F00_MEB_tight,baseline,baseline,MEB,i04000,300,335.8667442195778,25.470615154950796,62.41874,55.332732,25.846294,7.780838580629726,3.890419290314863,86.33175993541693,0.049786868839970765,0.06066045601446102,8cca5a8c392ca1fd57d657460bec8f68cf32dbd7f7759419f144c7cf3d2dd1f6
F00_MEB_tight,baseline,baseline,MEB,i10000,300,336.1003422030651,25.497763373115028,62.455406,55.378162,25.898114,7.785073272234565,3.8925366361172826,86.3448115258634,0.049643471234566076,0.06099978428898635,8f0e5d2d7d8c6f5e62b19ccb85b9df56bef99512246c5a3dd4236203fce30665
F10_M_only,force_ablation,forces,M,i00000,300,325.3260685330196,24.839844321450922,60.820056,53.967424,24.551612,7.3420610289746975,3.6710305144873487,88.61982139596861,0.04916734681358134,0.36813940704858733,6e65e8d61156c387b4d3e2f9db4e5893f2833e39b6666a11bda1bf0140a39a49
F10_M_only,force_ablation,forces,M,i01000,300,303.0866260804455,23.620346362826947,58.509994,51.682466,22.149358,6.90365741062692,3.45182870531346,87.80465427322595,0.047433462413888045,0.18399701152970363,7be9d62b7aad2e5e00ff39e9126f50b4fa2f49e4d34d6f365e5fae43fda9436a
F10_M_only,force_ablation,forces,M,i04000,300,300.00382102255344,23.441375656549926,58.509994,51.682466,22.149358,6.841702037537519,3.4208510187687593,87.6985929456032,0.04675768259356144,0.2810679499255498,e7a568b166f31c10953719eb8ff43ed96d2d0deb3e6abf7dae629c40bf67f002
F10_M_only,force_ablation,forces,M,i10000,300,300.00382102255344,23.441375656549926,58.509994,51.682466,22.149358,6.841702037537519,3.4208510187687593,87.6985929456032,0.04675768259356144,0.2810679499255498,e7a568b166f31c10953719eb8ff43ed96d2d0deb3e6abf7dae629c40bf67f002
F11_ME,force_ablation,forces,ME,i00000,300,325.3260685330196,24.839844321450922,60.820056,53.967424,24.551612,7.3420610289746975,3.6710305144873487,88.61982139596861,0.04916734681358134,0.36813940704858733,6e65e8d61156c387b4d3e2f9db4e5893f2833e39b6666a11bda1bf0140a39a49
F11_ME,force_ablation,forces,ME,i01000,300,332.04985058650215,25.243260457801572,61.929198,54.899814,25.404768,7.687118194703528,3.843559097351764,86.39124368226484,0.0494220069605876,0.06143624018483351,a37238867ffda6156778296bee7e2b31715add7184e69b416a3ac4b510339e0a
F11_ME,force_ablation,forces,ME,i04000,300,335.86672622052015,25.470607214612954,62.418418,55.332914,25.846112,7.780857833317159,3.8904289166585797,86.33154169257772,0.049786901834033274,0.06064777953874138,06812d6af23046eed8b4d0b777cd4b46488311e75a8f8e29ad4f9da09b9b6f3b
F11_ME,force_ablation,forces,ME,i10000,300,336.1003391511016,25.49775715705142,62.45533,55.378188,25.898056,7.785079121754576,3.892539560877288,86.34474586440744,0.049643530778308194,0.06099659310843641,204a86b4d3597f8a661b3e96c39a97634ca53c7fa63005a59d15fab29f82f058
F12_MB,force_ablation,forces,MB,i00000,300,325.3260685330196,24.839844321450922,60.820056,53.967424,24.551612,7.3420610289746975,3.6710305144873487,88.61982139596861,0.04916734681358134,0.36813940704858733,6e65e8d61156c387b4d3e2f9db4e5893f2833e39b6666a11bda1bf0140a39a49
F12_MB,force_ablation,forces,MB,i01000,300,303.08578466346245,23.620371422488255,58.51003,51.682484,22.152042,6.903864474496801,3.4519322372484007,87.8017770432996,0.04743347813244,0.1713235107972172,ac58367d3bb86e589249aeac273b6b4e744441bc40d6337f9549fe57eb4b93a4
F12_MB,force_ablation,forces,MB,i04000,300,300.0037381195071,23.441316550017095,58.51003,51.682484,22.152042,6.841706797457708,3.420853398728854,87.69850769722686,0.04675759199353398,0.28106714501323343,cc2853ffe31814a3679615baab4152f6a9f278b1d8e0bf891dad00dd90d2cf87
