case_id,dataset,overall,backend,components,original_points,resampled_points,thickness,rr_residual,relative_equilibrium_residual,omega_eff,spectral_modes,gap_sigma0,gap_to_2omega_ratio,dispersion_train_r2,dispersion_holdout_nrmse,gap_delta_aic,c_eff,evanescent_observed_length,evanescent_predicted_length,evanescent_length_ratio,evanescent_exp_r2,evanescent_delta_aic,geometry_qc,relative_equilibrium_gate,kelvin_gap_gate,evanescent_gate,kirchhoff_detailed_balance
CASE_FCC8FFD3307C13AA,knot_0.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999913,0.997774,0.00010906267805806843,1.28165978941595e-09,6,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_E233D2985656C590,knot_10.123_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999803,0.00499112,0.682383207903409,0.00012145266742417733,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_E532440B7E83A02E,knot_10.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999811,0.0665496,0.8255943837489508,0.03708311671972743,0,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_DC26EA480B3A5F67,knot_3.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.499984,0.00999506,0.4969461438325265,0.08461914464066093,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_3EAA00CD24E8693B,knot_4.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999792,0.00999795,0.6788282167304788,0.10214043968831384,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_7A6E69AC7D131B1B,knot_5.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999952,0.0486732,0.5351332552273974,0.10183724851830002,3,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_D2229CFA6C130093,knot_5.2_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.499998,0.0361876,0.8633996761771652,0.059591206970715536,0,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_69B45AB18F2580BF,knot_6.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999974,0.0257312,0.7595886729003758,0.06948108535201446,1,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_AD468D2244FAA465,knot_6.2_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999956,0.00499708,0.6599861776286804,0.04863100736899025,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_18013FB16D819269,knot_6.3_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999913,0.00497171,0.6393194831223563,0.00441223878241135,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_9014E06D6A507CCC,knot_7.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999575,0.00999204,0.5571635493232205,0.11310241135647339,3,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_921792C16D389891,knot_7.2_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999886,0.00494787,0.6611487495346744,0.10674205592152795,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_A08E42A2E70C07F2,knot_7.3_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999833,0.00498068,0.7804368090472951,0.09094527850911237,1,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_25415C442DCD35CF,knot_7.4_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999851,0.00499277,0.8420185269664575,0.08191512591085665,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_DB092B7F9056E39D,knot_8.17_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999803,0.00497229,0.6589905236401801,0.006454686591109314,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_EBAAA54DEF6E2C53,knot_8.18_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.499985,0.00489124,0.6575193363860175,2.5198172077848368e-05,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_923E526F6116F790,knot_8.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999736,0.00497284,0.7284608521708983,0.07976562535884353,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_7A622E5098F8CA57,knot_9.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999895,0.00487171,0.5365664156670897,0.0761951625055178,9,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_1BD56CF7F6F79B3E,knot_9.2_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999674,0.00499885,0.73574501537331,0.037955865331290854,1,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_82275A9AC2E9CACB,knot_9.35_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999736,0.025224,0.8961703618526419,0.04136866566873212,1,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_F0CEE3873B225E7E,link_0.2.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.5016683,1.0,0.10509358588024642,3.031401951373272e-08,4,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
